date,Port,OperatorCountryofDomicileName,vessel_type,count
13/11/2023,GRE,"Hong Kong, China",Tanker,1
21/01/2023,KDI,Indonesia,Passenger,2
31/10/2023,ING,Indonesia,Tanker,3
27/02/2023,SLG,Indonesia,Cargo,1
30/07/2023,BUR,Indonesia,Cargo,2
31/10/2023,SRG,Indonesia,Cargo,4
17/03/2023,BPN,Indonesia,Sailing,2
02/05/2023,BPN,Indonesia,Sailing,1
16/10/2023,GRE,Indonesia,Tanker,4
11/04/2023,CXP,Indonesia,Tanker,2
28/09/2023,MUO,Indonesia,Passenger,1
19/05/2023,SRG,Indonesia,Tanker,1
02/10/2023,PNK,Indonesia,Cargo,4
16/05/2023,TQP,Indonesia,Tanker,1
17/06/2023,CBN,Indonesia,Cargo,5
11/01/2023,BUR,Singapore,Passenger,12
29/10/2023,IBP,Singapore,Tanker,2
04/06/2023,BUR,Indonesia,Passenger,19
18/04/2023,IBP,Switzerland,Cargo,1
05/06/2023,GRE,Denmark,Cargo,1
24/11/2023,LUW,Indonesia,Passenger,1
24/03/2023,TBY,Indonesia,Cargo,1
16/03/2023,ING,Indonesia,Cargo,2
08/07/2023,TEI,Indonesia,Passenger,7
01/11/2023,TEI,Indonesia,Passenger,12
18/03/2023,LMR,Indonesia,Passenger,9
30/10/2023,LMR,Indonesia,Passenger,10
05/03/2023,GRE,Indonesia,Cargo,12
22/12/2023,DUM,Indonesia,Tanker,7
30/03/2023,IBP,"Hong Kong, China",Cargo,2
13/04/2023,BUR,Norway,Tanker,1
02/02/2023,IBP,"China, People's Republic Of",Tanker,1
12/08/2023,LMR,Indonesia,Passenger,14
24/11/2023,KBH,Indonesia,Passenger,1
28/07/2023,NAM,Indonesia,Passenger,1
14/09/2023,AMQ,Indonesia,Passenger,1
13/07/2023,BUR,Indonesia,Cargo,6
01/04/2023,TJB,Singapore,Passenger,1
26/11/2023,SUR,Norway,Cargo,1
26/04/2023,TBY,"Hong Kong, China",Tanker,1
18/04/2023,TPR,Indonesia,Passenger,5
05/12/2023,GRE,Indonesia,Passenger,5
16/11/2023,PNK,Indonesia,Tanker,5
25/08/2023,BPN,Indonesia,Pleasure Craft,1
07/06/2023,GRE,Indonesia,Tanker,1
22/06/2023,BIT,Indonesia,Tanker,3
02/12/2023,IBP,Indonesia,Passenger,79
04/02/2023,TNJ,Indonesia,Passenger,3
18/04/2023,TNJ,Indonesia,Passenger,2
03/12/2023,GRE,Indonesia,Passenger,10
22/11/2023,BUR,Singapore,Passenger,19
16/12/2023,TJB,Singapore,Passenger,1
21/04/2023,DUM,Singapore,Tanker,2
12/04/2023,DUM,Malaysia,Tanker,1
29/07/2023,BDJ,Thailand,Cargo,1
31/07/2023,SUB,Indonesia,Tanker,2
22/06/2023,LTU,Indonesia,Passenger,1
30/06/2023,TAG,India,Tanker,1
16/02/2023,SUB,Indonesia,Cargo,3
01/07/2023,GTO,Indonesia,Cargo,2
30/09/2023,FKQ,Indonesia,Cargo,1
04/04/2023,KTJ,Indonesia,Cargo,1
07/04/2023,BUR,Indonesia,Tanker,8
28/11/2023,IBP,Indonesia,Tanker,6
16/09/2023,DUM,Indonesia,Passenger,3
14/02/2023,SUB,"Korea, South",Cargo,2
23/04/2023,TPR,Denmark,Cargo,2
12/02/2023,IBP,Colombia,Passenger,1
28/10/2023,IBP,Colombia,Passenger,3
27/08/2023,TEI,Indonesia,Passenger,5
13/09/2023,MSK,Indonesia,Passenger,2
17/10/2023,TPR,Indonesia,Pleasure Craft,1
31/10/2023,BIT,Indonesia,Tanker,2
19/10/2023,TPR,Indonesia,Other,4
21/01/2023,BIK,Indonesia,Passenger,2
