date,Port,OperatorCountryofDomicileName,vessel_type,count
05/06/2023,GRE,Denmark,Cargo,1
21/01/2023,KDI,Indonesia,Passenger,2
11/04/2023,GTO,Indonesia,Passenger,1
24/11/2023,LUW,Indonesia,Passenger,1
16/03/2023,ING,Indonesia,Cargo,1
08/07/2023,TEI,Indonesia,Passenger,7
01/11/2023,TEI,Indonesia,Passenger,12
04/06/2023,BUR,Indonesia,Passenger,19
18/03/2023,LMR,Indonesia,Passenger,9
30/10/2023,LMR,Indonesia,Passenger,10
05/03/2023,GRE,Indonesia,Cargo,12
30/03/2023,FKQ,Indonesia,Passenger,2
22/12/2023,DUM,Indonesia,Tanker,7
30/03/2023,IBP,"Hong Kong, China",Cargo,2
12/10/2023,NDA,Indonesia,Passenger,2
12/02/2023,IBP,Colombia,Passenger,1
28/10/2023,IBP,Colombia,Passenger,3
30/07/2023,BUR,Indonesia,Cargo,2
18/04/2023,TPR,Indonesia,Passenger,5
27/08/2023,TEI,Indonesia,Passenger,5
16/10/2023,GRE,Indonesia,Tanker,4
17/10/2023,TPR,Indonesia,Pleasure Craft,1
31/10/2023,BIT,Indonesia,Tanker,1
04/07/2023,PNK,Indonesia,Passenger,2
19/10/2023,TPR,Indonesia,Other,4
19/07/2023,KDI,Indonesia,Cargo,1
01/01/2023,TJB,Indonesia,Passenger,3
12/05/2023,TJB,Indonesia,Passenger,3
01/02/2023,BUR,Indonesia,Tanker,2
12/05/2023,IMW,Indonesia,Cargo,1
29/10/2023,IBP,Singapore,Tanker,2
15/02/2023,BUR,Saudi Arabia,Passenger,1
26/05/2023,GRE,Chinese Taipei,Cargo,1
21/05/2023,DUM,Singapore,Tanker,5
23/04/2023,TPR,Denmark,Cargo,2
29/09/2023,DUM,"China, People's Republic Of",Tanker,1
07/04/2023,BUR,Indonesia,Tanker,8
25/08/2023,BDJ,Indonesia,Tanker,2
22/03/2023,BLW,Singapore,Cargo,2
02/12/2023,IBP,Indonesia,Passenger,79
04/03/2023,SOQ,Indonesia,Tanker,3
18/09/2023,SOQ,Indonesia,Tanker,1
13/11/2023,TLI,Indonesia,Passenger,1
19/07/2023,TNJ,Indonesia,Passenger,2
25/11/2023,TLN,Indonesia,Tanker,1
18/07/2023,PNJ,Indonesia,Tanker,1
13/06/2023,MUO,Indonesia,Cargo,1
11/01/2023,BUR,Singapore,Passenger,12
25/03/2023,BUR,Philippines,Cargo,1
06/06/2023,SOQ,Indonesia,Passenger,2
21/01/2023,KDI,Indonesia,Cargo,1
01/05/2023,BUR,Indonesia,Tanker,4
30/04/2023,MKQ,Indonesia,Cargo,1
01/12/2023,IBP,Indonesia,Cargo,4
27/11/2023,PTL,Malaysia,Tanker,1
24/09/2023,GRE,"China, People's Republic Of",Cargo,1
09/05/2023,BUR,Singapore,Tanker,1
07/04/2023,BLW,Chinese Taipei,Cargo,1
05/01/2023,BPN,"Hong Kong, China",Cargo,1
06/10/2023,GRE,Indonesia,Dredging,2
23/10/2023,GRE,Indonesia,Dredging,3
13/06/2023,BIK,Indonesia,Cargo,2
25/08/2023,TBY,Indonesia,Cargo,1
21/01/2023,BIK,Indonesia,Passenger,2
02/07/2023,PTL,Indonesia,Cargo,2
02/10/2023,PNK,Indonesia,Cargo,7
07/04/2023,TPR,Indonesia,Pleasure Craft,1
08/02/2023,BPN,Indonesia,Other,6
05/12/2023,AMQ,Indonesia,Cargo,1
06/12/2023,SMA,Indonesia,Tanker,1
16/11/2023,PNK,Indonesia,Tanker,8
29/09/2023,BAD,Indonesia,Tanker,1
31/03/2023,KDI,Indonesia,Tanker,1
22/06/2023,BIT,Indonesia,Tanker,3
19/06/2023,TPR,Germany,Cargo,1
21/10/2023,GRE,"China, People's Republic Of",Cargo,3
05/11/2023,GRE,Chinese Taipei,Cargo,2
