date,Port,status_country_domicile,vessel_type,count
2023-11-11,IMW,Foreign,Tanker,54
2023-07-06,TBY,Foreign,Tanker,260
2023-10-04,LMR,Domestic,Passenger,22
2023-12-03,LMR,Domestic,Passenger,28
2023-03-27,IBP,Domestic,Tanker,98
2023-06-23,SUB,Domestic,Cargo,1241
2023-09-30,GRE,Domestic,Cargo,1514
2023-02-28,TPR,Domestic,Passenger,6
2023-05-11,GRE,Domestic,Cargo,1246
2023-09-20,IMW,Domestic,Cargo,236
2023-01-03,SUB,Foreign,Passenger,6
2023-01-31,SUB,Foreign,Passenger,8
2023-03-20,TBY,Foreign,Cargo,563
2023-02-19,BPN,Foreign,Tanker,2
2023-11-23,TBY,Domestic,Cargo,126
2023-08-16,PTM,Domestic,Pleasure Craft,5
2023-11-30,PTM,Domestic,Pleasure Craft,3
2023-01-21,WNQ,Domestic,Cargo,1
2023-04-05,BPN,Domestic,Tanker,6
2023-11-21,BPN,Domestic,Tanker,8
2023-09-13,BUR,Foreign,Passenger,26
2023-11-11,TPR,Foreign,Cargo,146
2023-03-20,GRE,Foreign,Cargo,293
2023-09-10,BPN,Domestic,Cargo,4
2023-05-03,KDI,Domestic,Passenger,3
2023-01-14,SLG,Domestic,Cargo,1
2023-06-10,SUB,Domestic,Cargo,1320
2023-09-12,GRE,Domestic,Tanker,59
2023-11-08,SUB,Domestic,Tanker,135
2023-04-13,KDI,Domestic,Cargo,4
2023-05-29,SRG,Domestic,Cargo,2
2023-07-03,TPR,Domestic,Cargo,123
2023-03-06,CXP,Domestic,Tanker,1
2023-05-30,BDJ,Domestic,Pleasure Craft,1
2023-03-09,AMQ,Domestic,Passenger,4
2023-06-16,TPR,Domestic,Other,3
2023-05-24,CXP,Domestic,Tanker,3
2023-10-18,GRE,Domestic,Cargo,993
2023-03-12,GRE,Foreign,Cargo,962
2023-09-02,SRG,Foreign,Cargo,3
2023-02-23,BUR,Domestic,Cargo,11
2023-06-08,MAK,Domestic,Other,1
2023-04-30,PNJ,Domestic,Passenger,6
2023-08-09,SUB,Domestic,Passenger,31
2023-10-13,GRE,Domestic,Passenger,33
2023-05-16,TPR,Domestic,Cargo,12
2023-10-12,TBY,Domestic,Tanker,379
2023-02-25,IBP,Domestic,Tanker,23
2023-08-25,TPR,Domestic,Fishing,1
2023-09-17,PNK,Domestic,Sailing,1
2023-07-14,PNJ,Domestic,Tanker,3
2023-05-23,TBY,Foreign,Cargo,240
2023-03-13,MPG,Foreign,Tanker,168
2023-05-31,SUB,Foreign,Cargo,322
2023-11-06,MPG,Foreign,Tanker,156
2023-07-20,DUM,Foreign,Tanker,57
2023-06-22,SUB,Foreign,Cargo,680
2023-10-06,SOQ,Domestic,Other,1
2023-12-17,PTM,Domestic,Other,1
2023-09-03,GTO,Domestic,Cargo,1
2023-11-09,BDJ,Domestic,Tanker,7
2023-12-13,AMQ,Domestic,Tanker,9
2023-04-12,TPR,Domestic,Other,4
2023-07-07,LMR,Domestic,Passenger,11
2023-01-30,PNJ,Foreign,Cargo,2
2023-03-31,BOA,Domestic,Other,1
2023-02-17,ARE,Domestic,Tanker,1
2023-10-12,TRE,Domestic,Cargo,17
2023-10-08,IMW,Domestic,Tanker,122
2023-10-31,IMW,Domestic,Tanker,252
2023-11-02,IMW,Domestic,Tanker,161
2023-07-02,PNK,Domestic,Cargo,19
2023-07-31,BDJ,Domestic,Cargo,5
2023-08-31,BUR,Domestic,Cargo,3
2023-01-12,AEA,Domestic,Cargo,1
2023-05-29,DUM,Domestic,Tanker,1
2023-03-10,BUR,Domestic,Passenger,9
2023-08-01,SUB,Domestic,Cargo,773
2023-04-27,AMQ,Domestic,Passenger,2
2023-11-27,GRE,Foreign,Tanker,4
2023-08-03,TPR,Foreign,Cargo,658
2023-06-29,PNJ,Domestic,Cargo,7
2023-04-05,BUR,Domestic,Tanker,1
2023-02-27,TPR,Domestic,Passenger,19
2023-07-21,TPR,Domestic,Passenger,6
2023-10-21,TPR,Domestic,Passenger,4
2023-02-09,SRG,Domestic,Cargo,1
2023-02-16,LTU,Domestic,Cargo,2
2023-03-11,MKQ,Domestic,Passenger,1
2023-06-14,BUR,Foreign,Passenger,21
2023-07-29,BLW,Foreign,Tanker,1
2023-06-15,SKJ,Domestic,Passenger,1
2023-05-31,TQP,Domestic,Tanker,4
2023-07-21,MKW,Domestic,Passenger,3
2023-09-12,MKW,Domestic,Passenger,4
2023-12-17,WSR,Domestic,Passenger,1
2023-08-19,SRG,Domestic,Passenger,2
2023-12-16,SRG,Domestic,Passenger,2
2023-11-19,DJJ,Domestic,Cargo,1
2023-09-01,SOQ,Domestic,Tanker,1
2023-01-09,MJU,Domestic,Passenger,1
2023-02-10,BUR,Foreign,Cargo,8
2023-11-14,IBP,Foreign,Tanker,15
2023-08-17,KDI,Foreign,Tanker,1
2023-03-24,MPG,Domestic,Cargo,559
2023-02-01,BPN,Domestic,Passenger,51
2023-02-07,IBP,Domestic,Cargo,9
2023-12-05,SXK,Domestic,Passenger,1
2023-07-29,PNK,Foreign,Cargo,1
2023-11-16,SRG,Foreign,Passenger,1
2023-10-23,BOA,Foreign,Fishing,1
2023-05-07,BMU,Domestic,Passenger,1
2023-08-10,BOA,Domestic,Passenger,2
2023-05-18,MKW,Domestic,Passenger,2
2023-01-02,AEA,Domestic,Cargo,1
2023-01-23,BOA,Domestic,Tanker,2
2023-01-22,PNJ,Foreign,Cargo,1
2023-08-22,BUR,Foreign,Other,1
2023-05-14,SUB,Foreign,Cargo,515
2023-05-10,TPR,Foreign,Cargo,83
2023-06-03,GRE,Foreign,Cargo,949
2023-07-07,TBY,Foreign,Tanker,70
2023-04-07,TUA,Domestic,Passenger,1
2023-02-09,IBP,Domestic,Passenger,92
2023-04-20,IPI,Domestic,Tanker,10
2023-07-10,LMR,Domestic,Passenger,21
2023-05-16,IBP,Domestic,Tanker,11
2023-03-20,TPR,Domestic,Passenger,6
2023-04-15,BLW,Domestic,Cargo,3
2023-01-18,GRE,Domestic,Other,128
2023-06-13,BDJ,Domestic,Cargo,2
2023-08-30,TPR,Domestic,Cargo,264
2023-03-23,TPR,Domestic,Tanker,149
2023-05-11,BBM,Domestic,Tanker,1
2023-12-06,GRE,Domestic,Passenger,55
2023-07-20,GRE,Domestic,Cargo,1688
2023-11-13,SUB,Domestic,Cargo,657
2023-03-04,LMR,Foreign,Passenger,2
2023-07-31,MAK,Foreign,Cargo,6
2023-03-25,IBP,Foreign,Tanker,13
2023-02-23,TBY,Foreign,Cargo,367
2023-05-29,BPN,Foreign,Cargo,2
2023-08-20,IBP,Foreign,Cargo,7
2023-11-17,TPR,Foreign,Cargo,353
2023-11-10,PTM,Domestic,Pleasure Craft,3
2023-11-28,PTM,Domestic,Pleasure Craft,3
2023-05-14,TPR,Domestic,Cargo,10
2023-04-03,SUB,Domestic,Cargo,1437
2023-11-01,IBP,Domestic,Tanker,6
2023-11-15,BDJ,Domestic,Cargo,3
2023-12-17,SUB,Domestic,Cargo,1044
2023-04-04,BOA,Domestic,Tanker,4
2023-09-06,BUR,Foreign,Passenger,25
2023-03-21,SLG,Domestic,Cargo,1
2023-12-29,KDI,Domestic,Cargo,3
2023-11-06,TAG,Domestic,Tanker,1
2023-04-21,BPN,Domestic,Tanker,6
2023-11-02,AMQ,Domestic,Tanker,3
2023-01-18,IMW,Foreign,Cargo,986
2023-10-20,TPR,Domestic,Cargo,93
2023-01-16,TQP,Domestic,Tanker,1
2023-06-23,IBP,Foreign,Cargo,7
2023-02-12,LMR,Foreign,Passenger,1
2023-08-26,BUR,Domestic,Passenger,10
2023-06-17,SRG,Foreign,Cargo,2
2023-07-31,GRE,Foreign,Tanker,8
2023-04-19,TBY,Foreign,Cargo,291
2023-11-25,GRE,Foreign,Cargo,1208
2023-03-10,BPN,Foreign,Cargo,2
2023-10-28,BUR,Domestic,Cargo,5
2023-02-22,SNE,Domestic,Cargo,1
2023-08-30,BUR,Domestic,Fishing,1
2023-12-08,DNA,Domestic,Tanker,3
2023-04-06,BPN,Domestic,Pleasure Craft,3
2023-04-21,LTU,Domestic,Cargo,5
2023-08-26,DUM,Domestic,Tanker,3
2023-01-10,GTO,Domestic,Cargo,1
2023-04-10,BBM,Domestic,Tanker,1
2023-12-18,TUA,Domestic,Tanker,1
2023-04-28,MAK,Foreign,Cargo,55
2023-10-28,PTM,Domestic,Other,1
2023-03-29,IBP,Domestic,Cargo,1
2023-09-23,TQP,Domestic,Passenger,1
2023-02-02,GRE,Domestic,Passenger,43
2023-04-08,GRE,Foreign,Tanker,4
2023-08-15,TPR,Domestic,Tanker,126
2023-05-27,MPG,Foreign,Cargo,118
2023-01-09,TUA,Domestic,Passenger,2
2023-06-16,BDJ,Domestic,Cargo,2
2023-06-25,BDJ,Domestic,Cargo,3
2023-06-16,BKS,Domestic,Cargo,1
2023-07-05,BPN,Domestic,Sailing,5
2023-09-15,GRE,Domestic,Passenger,23
2023-03-29,BOA,Foreign,Cargo,5
2023-02-26,SRG,Domestic,Passenger,2
2023-07-26,SRG,Domestic,Cargo,1
2023-08-09,SRG,Domestic,Passenger,3
2023-06-14,BMU,Domestic,Cargo,1
2023-03-19,TPR,Foreign,Cargo,613
2023-05-26,DUM,Domestic,Passenger,5
2023-09-17,TPR,Domestic,Passenger,3
2023-10-15,GRE,Domestic,Tanker,25
2023-07-15,TEI,Domestic,Passenger,1
2023-11-16,TJB,Domestic,Passenger,2
2023-07-16,SRG,Foreign,Tanker,1
2023-03-15,BPN,Foreign,Cargo,1
2023-07-02,TPR,Domestic,Passenger,2
2023-05-28,MKW,Domestic,Passenger,3
2023-10-17,MKW,Domestic,Passenger,3
2023-02-11,SRG,Domestic,Passenger,1
2023-12-27,BDJ,Domestic,Passenger,2
2023-05-01,BPN,Foreign,Tanker,2
2023-07-29,SKJ,Foreign,Tanker,1
2023-03-06,MPG,Domestic,Tanker,205
2023-07-10,BPN,Domestic,Passenger,60
2023-10-17,BPN,Domestic,Passenger,38
2023-02-03,CXP,Domestic,Tanker,4
2023-05-10,KBH,Domestic,Passenger,4
2023-12-15,SXK,Domestic,Passenger,1
2023-04-01,MLD,Foreign,Cargo,1
2023-09-14,GTO,Domestic,Passenger,2
2023-01-18,BAD,Domestic,Tanker,1
2023-03-31,BAD,Domestic,Tanker,1
2023-08-08,PNK,Domestic,Cargo,4
2023-05-12,TPR,Foreign,Other,1
2023-11-21,GTO,Domestic,Passenger,2
2023-09-24,TPR,Foreign,Cargo,260
2023-06-30,TPR,Foreign,Other,168
2023-10-06,TUA,Domestic,Passenger,1
2023-01-28,IPI,Domestic,Tanker,7
2023-07-17,IPI,Domestic,Tanker,1
2023-02-21,CEB,Domestic,Cargo,1
2023-01-17,LMR,Domestic,Passenger,13
2023-03-19,SUB,Domestic,Cargo,1326
2023-05-30,BLW,Domestic,Cargo,3
2023-05-07,BGG,Domestic,Cargo,1
2023-04-13,IBP,Domestic,Tanker,15
2023-05-23,GRE,Domestic,Passenger,48
2023-09-28,SUB,Foreign,Passenger,3
2023-10-31,SUB,Foreign,Passenger,10
2023-06-10,DUM,Foreign,Tanker,7
2023-03-30,DUM,Foreign,Tanker,3
2023-01-16,TPR,Foreign,Cargo,514
