date,Port,status_country_domicile,vessel_type,count
2023-12-10,DUM,Domestic,Tanker,9
2023-06-23,SUB,Domestic,Cargo,19
2023-02-27,TPR,Domestic,Passenger,7
2023-02-28,TPR,Domestic,Passenger,4
2023-01-27,BLW,Domestic,Cargo,4
2023-07-03,TPR,Domestic,Cargo,9
2023-06-28,MLD,Domestic,Tanker,2
2023-06-10,SUB,Domestic,Cargo,10
2023-01-03,SUB,Foreign,Passenger,1
2023-01-31,SUB,Foreign,Passenger,1
2023-11-23,TBY,Domestic,Cargo,3
2023-08-16,PTM,Domestic,Pleasure Craft,5
2023-11-30,PTM,Domestic,Pleasure Craft,2
2023-01-21,WNQ,Domestic,Cargo,3
2023-05-11,GRE,Domestic,Cargo,6
2023-04-05,BPN,Domestic,Tanker,3
2023-11-21,BPN,Domestic,Tanker,5
2023-11-11,TPR,Foreign,Cargo,8
2023-10-01,GRE,Domestic,Other,1
2023-03-05,BDJ,Domestic,Cargo,2
2023-06-04,TQP,Domestic,Tanker,1
2023-05-16,TPR,Domestic,Cargo,13
2023-05-29,SRG,Domestic,Cargo,5
2023-05-30,BDJ,Domestic,Pleasure Craft,1
2023-07-06,TPR,Domestic,Pleasure Craft,1
2023-08-03,TPR,Foreign,Cargo,9
2023-02-23,BUR,Domestic,Cargo,4
2023-07-31,BLW,Foreign,Cargo,2
2023-04-30,PNJ,Domestic,Passenger,3
2023-08-09,SUB,Domestic,Passenger,13
2023-12-03,LMR,Domestic,Passenger,13
2023-03-27,IBP,Domestic,Tanker,5
2023-10-12,TBY,Domestic,Tanker,2
2023-02-25,IBP,Domestic,Tanker,4
2023-02-19,BPN,Foreign,Tanker,1
2023-12-12,CBN,Foreign,Tanker,1
2023-07-20,DUM,Foreign,Tanker,10
2023-09-28,BLW,Domestic,Tanker,2
2023-06-22,SUB,Foreign,Cargo,1
2023-03-05,BLW,Domestic,Other,1
2023-04-12,TPR,Domestic,Other,4
2023-11-14,IBP,Foreign,Tanker,5
2023-10-12,TRE,Domestic,Cargo,2
2023-08-22,BUR,Foreign,Other,1
2023-08-30,BUR,Domestic,Cargo,2
2023-03-27,LTU,Domestic,Cargo,2
2023-07-07,LMR,Domestic,Passenger,9
2023-10-04,LMR,Domestic,Passenger,10
2023-03-08,BUR,Foreign,Other,1
2023-07-14,PNJ,Domestic,Tanker,5
2023-07-07,BUR,Domestic,Cargo,1
2023-08-01,SUB,Domestic,Cargo,8
2023-07-21,TPR,Domestic,Passenger,4
2023-10-21,TPR,Domestic,Passenger,2
2023-07-02,PNK,Domestic,Cargo,1
2023-06-29,PNJ,Domestic,Cargo,2
2023-06-14,BUR,Foreign,Passenger,4
2023-09-13,BUR,Foreign,Passenger,5
2023-03-16,SRG,Foreign,Cargo,1
2023-07-21,MKW,Domestic,Passenger,1
2023-11-14,WSR,Domestic,Passenger,1
2023-11-16,WSR,Domestic,Passenger,1
2023-11-29,NBX,Domestic,Passenger,1
2023-12-16,SRG,Domestic,Passenger,3
2023-08-19,SRG,Domestic,Passenger,2
2023-01-09,MJU,Domestic,Passenger,1
2023-02-10,BUR,Foreign,Cargo,6
2023-05-14,SUB,Foreign,Cargo,1
2023-08-17,KDI,Foreign,Tanker,1
2023-02-01,BPN,Domestic,Passenger,27
2023-02-07,IBP,Domestic,Cargo,5
2023-02-08,BDJ,Domestic,Passenger,2
2023-11-16,SRG,Foreign,Passenger,1
2023-05-07,BMU,Domestic,Passenger,1
2023-05-13,LUW,Domestic,Passenger,2
2023-05-18,MKW,Domestic,Passenger,2
2023-09-16,MKQ,Domestic,Cargo,2
2023-04-30,GRE,Foreign,Tanker,1
2023-01-22,PNJ,Foreign,Cargo,2
2023-01-21,BPN,Foreign,Tanker,3
2023-07-07,TBY,Foreign,Tanker,5
2023-04-07,TUA,Domestic,Passenger,2
2023-02-09,IBP,Domestic,Passenger,92
2023-01-16,TQP,Domestic,Tanker,1
2023-03-02,REO,Domestic,Tanker,1
2023-04-20,IPI,Domestic,Tanker,5
2023-11-02,MKW,Domestic,Cargo,2
2023-03-20,TPR,Domestic,Passenger,4
2023-04-15,BLW,Domestic,Cargo,3
2023-09-16,BLW,Domestic,Cargo,2
2023-07-02,TPR,Domestic,Passenger,5
2023-08-30,TPR,Domestic,Cargo,13
2023-11-01,IBP,Domestic,Tanker,9
2023-05-11,BBM,Domestic,Tanker,1
2023-11-13,SUB,Domestic,Cargo,20
2023-08-16,BUR,Domestic,Dredging,1
2023-05-10,TPR,Foreign,Cargo,9
2023-03-25,IBP,Foreign,Tanker,4
2023-02-23,TBY,Foreign,Cargo,2
2023-07-31,MAK,Foreign,Cargo,1
2023-11-10,PTM,Domestic,Pleasure Craft,2
2023-11-28,PTM,Domestic,Pleasure Craft,3
2023-04-03,SUB,Domestic,Cargo,12
2023-12-17,SUB,Domestic,Cargo,13
2023-03-19,TPR,Foreign,Cargo,11
2023-04-11,KDI,Domestic,Passenger,3
2023-12-29,KDI,Domestic,Cargo,2
2023-08-08,PNK,Domestic,Cargo,2
2023-10-20,TPR,Domestic,Cargo,19
2023-02-12,LMR,Foreign,Passenger,1
2023-09-15,SRG,Foreign,Cargo,1
2023-08-20,IBP,Foreign,Cargo,2
2023-02-22,SNE,Domestic,Cargo,1
2023-06-16,BDJ,Domestic,Cargo,1
2023-04-05,TPR,Domestic,Other,8
2023-02-09,SRG,Domestic,Tanker,4
2023-10-15,GRE,Domestic,Tanker,6
2023-12-06,GRE,Domestic,Passenger,1
2023-05-07,ING,Foreign,Tanker,1
2023-06-23,IBP,Foreign,Cargo,3
2023-11-17,TPR,Foreign,Cargo,4
2023-10-22,BPN,Foreign,Cargo,1
2023-06-29,BDJ,Domestic,Cargo,2
2023-03-29,IBP,Domestic,Cargo,2
2023-11-02,AMQ,Domestic,Tanker,3
2023-05-14,TPR,Domestic,Cargo,12
2023-08-26,DUM,Domestic,Tanker,4
2023-05-16,IBP,Domestic,Tanker,8
2023-05-27,TLA,Foreign,Tanker,1
2023-06-17,SRG,Foreign,Cargo,2
2023-11-15,BDJ,Domestic,Cargo,5
2023-01-09,TUA,Domestic,Passenger,2
2023-09-23,BDJ,Domestic,Cargo,5
2023-07-05,BPN,Domestic,Sailing,3
2023-07-10,LMR,Domestic,Passenger,15
2023-03-29,BOA,Foreign,Cargo,2
2023-04-21,BPN,Domestic,Tanker,9
2023-02-26,SRG,Domestic,Passenger,1
2023-07-26,SRG,Domestic,Cargo,1
2023-08-05,PNK,Domestic,Passenger,1
2023-08-27,SRG,Domestic,Cargo,2
2023-09-15,BPN,Foreign,Tanker,1
2023-05-26,DUM,Domestic,Passenger,4
2023-08-12,DUM,Domestic,Passenger,2
2023-09-17,TPR,Domestic,Passenger,2
2023-05-16,BUR,Foreign,Cargo,4
2023-09-06,BUR,Foreign,Passenger,3
2023-07-20,GRE,Domestic,Cargo,2
2023-05-28,MKW,Domestic,Passenger,3
2023-05-01,SRG,Domestic,Passenger,1
2023-08-09,SRG,Domestic,Passenger,3
2023-03-10,BPN,Foreign,Cargo,4
2023-07-10,BPN,Domestic,Passenger,45
2023-10-17,BPN,Domestic,Passenger,17
2023-04-29,PNK,Domestic,Tanker,7
2023-12-20,IBP,Foreign,Tanker,3
2023-03-20,SRG,Foreign,Passenger,1
2023-09-14,GTO,Domestic,Passenger,1
2023-11-21,GTO,Domestic,Passenger,1
2023-01-18,BAD,Domestic,Tanker,1
2023-03-31,BAD,Domestic,Tanker,2
2023-07-02,BLW,Domestic,Tanker,1
2023-08-27,BPN,Domestic,Tanker,6
2023-01-28,IPI,Domestic,Tanker,3
2023-07-17,IPI,Domestic,Tanker,1
2023-01-17,LMR,Domestic,Passenger,7
2023-12-02,LMR,Domestic,Passenger,11
2023-05-30,BLW,Domestic,Cargo,2
2023-11-23,WGP,Domestic,Cargo,1
2023-08-25,IBP,Domestic,Tanker,11
2023-02-03,SUB,Domestic,Passenger,10
2023-05-23,GRE,Domestic,Passenger,2
2023-04-01,SRG,Foreign,Passenger,1
2023-10-31,SUB,Foreign,Passenger,1
2023-08-13,BLW,Foreign,Cargo,2
2023-11-24,PTM,Domestic,Pleasure Craft,5
2023-02-06,BPN,Domestic,Cargo,2
2023-10-06,ARE,Domestic,Passenger,3
2023-01-29,BDJ,Domestic,Other,4
2023-05-23,TTK,Domestic,Cargo,2
2023-04-13,IBP,Domestic,Tanker,8
2023-09-03,MAK,Domestic,Cargo,3
2023-06-28,BOA,Domestic,Tanker,1
2023-12-05,LTU,Foreign,Cargo,1
2023-03-30,DUM,Foreign,Tanker,3
2023-09-24,TPR,Foreign,Cargo,5
2023-09-17,KDI,Domestic,Passenger,3
2023-04-15,MAK,Domestic,Cargo,6
2023-10-10,TPR,Domestic,Cargo,10
2023-08-24,BPN,Domestic,Sailing,2
2023-06-17,SRG,Domestic,Cargo,1
2023-11-28,SUB,Domestic,Tanker,4
2023-01-09,NGG,Domestic,Cargo,1
2023-06-11,SUB,Domestic,Cargo,18
2023-10-12,BLW,Foreign,Cargo,4
2023-10-18,BLW,Foreign,Tanker,2
2023-04-20,SNE,Domestic,Tanker,1
2023-04-11,MAK,Domestic,Passenger,2
2023-08-25,LMR,Domestic,Passenger,14
2023-08-30,LMR,Domestic,Passenger,17
2023-10-01,BKS,Domestic,Tanker,1
2023-03-19,SUB,Domestic,Cargo,20
2023-02-25,MAK,Domestic,Passenger,4
2023-08-26,MAK,Domestic,Passenger,3
2023-12-03,BAD,Domestic,Passenger,1
2023-01-30,BUR,Foreign,Passenger,6
2023-01-12,MLD,Foreign,Cargo,2
2023-06-27,SUB,Domestic,Tanker,11
2023-06-05,SRG,Domestic,Cargo,2
2023-06-10,MAK,Domestic,Cargo,5
2023-05-24,GRE,Foreign,Tanker,1
2023-07-13,TUA,Domestic,Tanker,1
2023-09-05,SUB,Domestic,Tanker,4
