date,Port,OperatorCountryofDomicileName,vessel_type,count
2023-11-13,GRE,"Hong Kong, China",Tanker,1
2023-01-21,KDI,Indonesia,Passenger,2
2023-04-21,PNK,Indonesia,Tanker,1
2023-10-16,GRE,Indonesia,Tanker,5
2023-02-12,IBP,Colombia,Passenger,1
2023-10-28,IBP,Colombia,Passenger,3
2023-07-30,BUR,Indonesia,Cargo,2
2023-04-18,TPR,Indonesia,Passenger,4
2023-10-17,TPR,Indonesia,Pleasure Craft,1
2023-10-31,BIT,Indonesia,Tanker,1
2023-07-23,IMW,Indonesia,Passenger,1
2023-10-11,PNK,Indonesia,Passenger,2
2023-10-19,TPR,Indonesia,Other,5
2023-07-19,KDI,Indonesia,Cargo,2
2023-03-07,BPN,Indonesia,Cargo,3
2023-10-02,PNK,Indonesia,Cargo,3
2023-02-01,BUR,Indonesia,Tanker,2
2023-05-16,TQP,Indonesia,Tanker,1
2023-05-12,IMW,Indonesia,Cargo,2
2023-02-15,BUR,Saudi Arabia,Passenger,2
2023-05-26,GRE,Chinese Taipei,Cargo,1
2023-08-31,SRG,Singapore,Cargo,1
2023-05-21,DUM,Singapore,Tanker,5
2023-08-05,BPN,Greece,Cargo,2
2023-07-02,TBY,"Korea, South",Tanker,1
2023-05-09,MLD,Indonesia,Passenger,1
2023-03-18,LMR,Indonesia,Passenger,10
2023-08-12,LMR,Indonesia,Passenger,13
2023-04-05,ARE,Indonesia,Tanker,1
2023-08-25,BDJ,Indonesia,Tanker,2
2023-03-17,BPN,Indonesia,Sailing,2
2023-05-02,BPN,Indonesia,Sailing,3
2023-01-11,BUR,Singapore,Passenger,7
2023-02-12,DUM,Thailand,Tanker,1
2023-04-18,IBP,Switzerland,Cargo,1
2023-03-03,BPN,Chinese Taipei,Cargo,1
2023-06-18,TPR,Indonesia,Other,3
2023-10-30,LMR,Indonesia,Passenger,9
2023-07-28,NAM,Indonesia,Passenger,2
2023-06-20,BPN,Greece,Cargo,1
2023-07-31,SUB,Indonesia,Tanker,2
2023-09-13,LTU,Indonesia,Passenger,2
2023-01-16,NGG,Indonesia,Tanker,1
2023-10-26,PTM,Indonesia,Pleasure Craft,1
2023-02-16,SUB,Indonesia,Cargo,4
2023-12-02,IBP,Indonesia,Passenger,79
2023-10-16,BIT,Indonesia,Tanker,1
2023-09-30,FKQ,Indonesia,Cargo,1
2023-04-04,KTJ,Indonesia,Cargo,1
2023-11-18,LTU,Indonesia,Tanker,2
2023-11-28,IBP,Indonesia,Tanker,6
2023-09-16,DUM,Indonesia,Passenger,2
2023-02-14,SUB,"Korea, South",Cargo,2
2023-11-22,BUR,Singapore,Passenger,2
2023-05-23,DUM,Denmark,Tanker,1
2023-10-07,GRE,Liberia,Cargo,1
2023-04-30,WNQ,"Korea, South",Cargo,1
2023-07-09,BIT,Indonesia,Tanker,1
2023-09-08,BUR,Indonesia,Cargo,2
2023-12-13,BLW,Indonesia,Cargo,1
2023-08-25,SUB,Indonesia,Tanker,1
2023-10-24,TPR,Indonesia,Passenger,3
2023-12-04,PNJ,Singapore,Cargo,1
2023-02-12,TQP,Indonesia,Passenger,1
2023-12-03,GRE,Indonesia,Passenger,5
2023-06-04,BUR,Indonesia,Passenger,4
2023-10-01,BLW,United States Of America,Tanker,1
2023-07-30,TPR,Switzerland,Cargo,2
2023-04-23,TPR,Denmark,Cargo,2
2023-09-22,BDJ,Indonesia,Passenger,2
2023-09-18,SOQ,Indonesia,Tanker,2
2023-07-18,PNJ,Indonesia,Tanker,4
2023-09-29,BAD,Indonesia,Tanker,2
2023-12-22,DUM,Indonesia,Tanker,5
2023-03-05,GRE,Indonesia,Cargo,12
2023-12-08,MAK,Singapore,Tanker,1
2023-07-26,BUR,Norway,Passenger,2
2023-07-28,BUR,Norway,Passenger,1
2023-07-05,SRG,Indonesia,Passenger,1
2023-08-10,SRG,Indonesia,Passenger,4
2023-07-04,IBP,Indonesia,Pleasure Craft,1
