date,Port,status_country_domicile,vessel_type,count
2023-11-11,TPR,Foreign,Cargo,2
2023-05-24,CXP,Domestic,Tanker,1
2023-04-09,ARE,Domestic,Tanker,1
2023-11-02,IMW,Domestic,Tanker,1
2023-03-20,GRE,Domestic,Pleasure Craft,1
2023-09-12,GRE,Domestic,Tanker,1
2023-05-16,TPR,Domestic,Cargo,2
2023-09-04,BOA,Domestic,Tanker,2
2023-05-11,GRE,Domestic,Cargo,2
2023-12-17,PTM,Domestic,Other,1
2023-10-18,GRE,Domestic,Cargo,3
2023-12-13,AMQ,Domestic,Tanker,1
2023-07-29,BLW,Foreign,Tanker,1
2023-05-31,TQP,Domestic,Tanker,1
2023-07-21,MKW,Domestic,Passenger,1
2023-09-12,MKW,Domestic,Passenger,1
2023-02-27,TPR,Domestic,Passenger,1
2023-03-20,GRE,Foreign,Cargo,2
2023-08-30,TPR,Domestic,Cargo,4
2023-11-06,TAG,Domestic,Tanker,1
2023-07-05,BPN,Domestic,Sailing,2
2023-05-29,BPN,Foreign,Cargo,1
2023-11-13,SUB,Domestic,Cargo,2
2023-10-15,GRE,Domestic,Tanker,2
2023-04-21,BPN,Domestic,Tanker,2
2023-12-17,SUB,Domestic,Cargo,3
2023-02-14,TRE,Domestic,Cargo,1
2023-10-20,TPR,Domestic,Cargo,4
2023-11-02,AMQ,Domestic,Tanker,1
2023-09-06,BUR,Foreign,Passenger,1
2023-08-25,IBP,Domestic,Tanker,2
2023-01-03,GRE,Domestic,Cargo,1
2023-11-28,SUB,Domestic,Tanker,2
2023-06-11,SUB,Domestic,Cargo,3
2023-06-07,TBY,Foreign,Tanker,1
2023-11-15,IBP,Foreign,Cargo,1
2023-06-05,SRG,Domestic,Cargo,1
2023-10-10,TPR,Domestic,Cargo,5
2023-06-30,KUM,Domestic,Tanker,1
2023-06-10,MAK,Domestic,Cargo,2
2023-11-24,PTM,Domestic,Pleasure Craft,1
2023-04-13,IBP,Domestic,Tanker,1
2023-03-19,SUB,Domestic,Cargo,5
2023-02-19,BLW,Domestic,Cargo,1
2023-02-03,BPN,Domestic,Cargo,1
2023-12-08,MAK,Domestic,Passenger,1
2023-06-10,DUM,Foreign,Tanker,2
2023-02-08,WSR,Domestic,Passenger,1
2023-07-24,TPR,Domestic,Tanker,1
2023-05-22,WNQ,Domestic,Tanker,1
2023-02-01,BUR,Foreign,Cargo,2
2023-02-13,KOL,Domestic,Passenger,1
2023-03-05,MPG,Foreign,Cargo,1
2023-10-07,GRE,Foreign,Cargo,1
2023-02-18,MLH,Foreign,Cargo,1
2023-07-24,IBP,Domestic,Passenger,3
2023-10-14,DUM,Domestic,Tanker,2
2023-09-08,FKQ,Domestic,Passenger,1
2023-10-22,LMR,Domestic,Passenger,3
2023-03-03,BPN,Domestic,Sailing,1
2023-09-21,SOQ,Domestic,Pleasure Craft,1
2023-09-14,DUM,Foreign,Tanker,2
2023-04-22,PKS,Domestic,Tanker,1
2023-02-16,LMR,Domestic,Passenger,3
2023-10-05,AEA,Domestic,Cargo,1
2023-03-22,IBP,Domestic,Passenger,3
2023-10-09,NAM,Domestic,Passenger,1
2023-07-07,BDJ,Domestic,Tanker,1
2023-06-27,KTJ,Domestic,Cargo,1
2023-08-01,GRE,Domestic,Tanker,2
2023-03-18,TQP,Domestic,Passenger,1
2023-07-24,TQP,Domestic,Passenger,1
2023-01-14,DUM,Domestic,Passenger,1
2023-07-30,TLN,Domestic,Tanker,1
2023-01-04,BUR,Foreign,Cargo,2
2023-10-24,PNJ,Foreign,Tanker,1
2023-07-19,PNJ,Domestic,Tanker,1
2023-12-24,PNJ,Domestic,Tanker,1
2023-02-23,GRE,Domestic,Cargo,1
2023-09-13,TQP,Domestic,Tanker,1
2023-08-17,BDJ,Domestic,Cargo,3
2023-02-22,LTU,Domestic,Tanker,1
2023-02-28,GRE,Domestic,Cargo,2
2023-04-12,BKS,Domestic,Cargo,1
2023-01-16,WNQ,Domestic,Cargo,1
2023-05-04,DUM,Foreign,Tanker,1
2023-09-15,GRE,Domestic,Cargo,2
2023-06-02,SUB,Domestic,Cargo,4
2023-10-31,DUM,Domestic,Tanker,2
2023-06-09,IBP,Domestic,Passenger,1
2023-09-15,IBP,Domestic,Passenger,2
2023-11-13,DUM,Domestic,Tanker,1
