date,Port,status_country_domicile,vessel_type,count
12/07/2023,BUR,Foreign,Cargo,1
09/08/2023,SUB,Domestic,Passenger,1
04/10/2023,LMR,Domestic,Passenger,5
23/06/2023,SUB,Domestic,Cargo,15
10/07/2023,LBO,Domestic,Passenger,1
27/01/2023,BLW,Domestic,Cargo,1
23/01/2023,BOA,Domestic,Tanker,1
01/07/2023,BLW,Foreign,Cargo,2
09/11/2023,BDJ,Domestic,Tanker,3
10/09/2023,SUB,Foreign,Tanker,1
13/09/2023,WNQ,Domestic,Cargo,1
15/07/2023,LBO,Domestic,Passenger,1
05/11/2023,LBO,Domestic,Passenger,3
09/01/2023,MJU,Domestic,Passenger,1
17/04/2023,MJU,Domestic,Passenger,1
03/08/2023,TPR,Foreign,Cargo,1
31/05/2023,SUB,Foreign,Cargo,1
30/04/2023,PNJ,Domestic,Passenger,1
16/05/2023,TPR,Domestic,Cargo,4
12/10/2023,TBY,Domestic,Tanker,1
17/09/2023,PNK,Domestic,Sailing,1
05/08/2023,FKQ,Domestic,Passenger,1
29/09/2023,BUR,Domestic,Passenger,2
27/05/2023,BLW,Foreign,Cargo,2
15/12/2023,BOA,Domestic,Passenger,2
10/06/2023,SUB,Domestic,Cargo,6
17/06/2023,MOF,Domestic,Passenger,1
09/04/2023,ARE,Domestic,Tanker,1
04/02/2023,TGP,Domestic,Passenger,2
01/08/2023,SUB,Domestic,Cargo,5
06/08/2023,KAT,Domestic,Passenger,2
31/07/2023,BLW,Foreign,Cargo,2
08/02/2023,BDJ,Domestic,Passenger,1
29/07/2023,SMA,Domestic,Tanker,2
05/03/2023,BDJ,Domestic,Cargo,2
08/11/2023,SUB,Domestic,Tanker,4
07/02/2023,IBP,Domestic,Cargo,2
26/10/2023,CXP,Domestic,Tanker,1
21/07/2023,TPR,Domestic,Passenger,2
21/06/2023,SUB,Foreign,Tanker,2
13/09/2023,BUR,Foreign,Passenger,3
24/01/2023,BUR,Foreign,Pleasure Craft,1
07/03/2023,BBM,Domestic,Passenger,1
07/03/2023,MSK,Domestic,Cargo,1
31/07/2023,BDJ,Domestic,Cargo,3
27/03/2023,LTU,Domestic,Cargo,1
16/09/2023,MKQ,Domestic,Cargo,1
20/04/2023,IPI,Domestic,Tanker,10
31/01/2023,DRA,Domestic,Passenger,1
09/08/2023,TQP,Domestic,Cargo,1
13/06/2023,BDJ,Domestic,Cargo,1
23/10/2023,TQP,Domestic,Passenger,1
03/04/2023,SUB,Domestic,Cargo,7
13/11/2023,SUB,Domestic,Cargo,10
23/09/2023,BDJ,Domestic,Cargo,2
22/02/2023,SNE,Domestic,Cargo,1
16/05/2023,IBP,Domestic,Tanker,2
06/04/2023,BPN,Domestic,Pleasure Craft,2
30/08/2023,TPR,Domestic,Cargo,6
25/06/2023,BDJ,Domestic,Cargo,2
10/04/2023,BBM,Domestic,Tanker,1
06/12/2023,GRE,Domestic,Passenger,1
23/02/2023,TBY,Foreign,Cargo,3
10/07/2023,LMR,Domestic,Passenger,5
16/06/2023,BDJ,Domestic,Cargo,2
28/07/2023,LUW,Domestic,Passenger,1
29/04/2023,PNK,Domestic,Tanker,1
31/01/2023,GTO,Domestic,Cargo,1
20/10/2023,BKS,Domestic,Tanker,1
25/03/2023,IBP,Foreign,Tanker,1
14/10/2023,BKS,Domestic,Cargo,1
15/01/2023,BKI,Domestic,Passenger,1
14/08/2023,BLW,Foreign,Tanker,1
14/05/2023,TPR,Domestic,Cargo,4
04/09/2023,BKI,Domestic,Cargo,1
09/02/2023,IBP,Domestic,Passenger,1
21/03/2023,TBY,Domestic,Cargo,2
20/03/2023,TPR,Domestic,Passenger,1
29/05/2023,BPN,Foreign,Cargo,1
19/03/2023,TPR,Foreign,Cargo,1
05/06/2023,SMQ,Domestic,Tanker,1
15/04/2023,BLW,Domestic,Cargo,3
17/10/2023,MKW,Domestic,Passenger,1
15/08/2023,TPR,Domestic,Tanker,1
16/04/2023,TNJ,Foreign,Passenger,2
06/09/2023,BUR,Foreign,Passenger,2
09/01/2023,TBY,Foreign,Cargo,2
01/06/2023,TPR,Domestic,Tanker,2
14/04/2023,SMA,Domestic,Passenger,1
26/01/2023,PPS,Domestic,Cargo,1
17/12/2023,SUB,Domestic,Cargo,6
16/09/2023,BLW,Domestic,Cargo,1
24/07/2023,DUM,Domestic,Other,1
08/08/2023,PNK,Domestic,Cargo,3
19/12/2023,ARE,Domestic,Cargo,1
05/11/2023,SUR,Domestic,Other,1
17/04/2023,TJB,Foreign,Other,1
17/09/2023,SKJ,Foreign,Cargo,1
06/10/2023,TUA,Domestic,Passenger,1
28/01/2023,IPI,Domestic,Tanker,3
15/08/2023,GRE,Domestic,Passenger,1
30/03/2023,DUM,Foreign,Tanker,2
03/02/2023,SUB,Domestic,Passenger,1
04/10/2023,ARE,Domestic,Passenger,1
14/01/2023,BDJ,Domestic,Cargo,3
19/03/2023,SUB,Domestic,Cargo,20
28/01/2023,IPI,Domestic,Cargo,2
19/05/2023,TBY,Foreign,Tanker,1
01/03/2023,PNJ,Foreign,Tanker,1
20/04/2023,SNE,Domestic,Tanker,1
17/01/2023,LMR,Domestic,Passenger,6
27/05/2023,BMU,Domestic,Tanker,1
26/11/2023,BOA,Domestic,Tanker,1
20/07/2023,BPN,Domestic,Pleasure Craft,1
02/07/2023,BDJ,Domestic,Cargo,2
03/12/2023,BAD,Domestic,Passenger,1
16/07/2023,TNJ,Domestic,Passenger,1
31/07/2023,TUA,Domestic,Tanker,1
08/04/2023,DUM,Domestic,Tanker,1
24/09/2023,TPR,Foreign,Cargo,3
30/09/2023,TBY,Foreign,Cargo,1
02/12/2023,LMR,Domestic,Passenger,3
15/04/2023,MAK,Domestic,Cargo,2
17/02/2023,BKS,Domestic,Tanker,3
23/07/2023,BKS,Domestic,Tanker,1
04/08/2023,PNK,Domestic,Cargo,1
30/06/2023,KUM,Domestic,Tanker,1
10/10/2023,TPR,Domestic,Cargo,7
01/03/2023,CEB,Foreign,Passenger,1
31/12/2023,MOF,Domestic,Passenger,1
16/04/2023,PNJ,Domestic,Passenger,1
01/08/2023,SKJ,Domestic,Cargo,1
20/06/2023,CBN,Foreign,Tanker,1
02/01/2023,KDI,Domestic,Cargo,1
16/04/2023,GTO,Domestic,Cargo,1
05/09/2023,SUB,Domestic,Tanker,2
24/05/2023,GRE,Foreign,Tanker,1
24/08/2023,BLW,Domestic,Cargo,2
16/08/2023,MSK,Domestic,Tanker,1
11/06/2023,SUB,Domestic,Cargo,10
13/01/2023,BPN,Domestic,Cargo,1
24/07/2023,TPR,Domestic,Tanker,6
29/04/2023,KUM,Domestic,Passenger,2
10/03/2023,CBN,Domestic,Tanker,1
29/01/2023,BDJ,Domestic,Other,1
31/08/2023,SUR,Domestic,Other,1
19/05/2023,TBY,Domestic,Other,1
27/12/2023,TUA,Domestic,Passenger,2
17/04/2023,ING,Domestic,Cargo,1
23/10/2023,KUM,Domestic,Passenger,1
10/12/2023,DUM,Foreign,Tanker,1
06/11/2023,BUR,Domestic,Fishing,1
22/10/2023,LMR,Domestic,Passenger,4
15/02/2023,PNK,Domestic,Tanker,1
01/10/2023,BPN,Domestic,Pleasure Craft,1
14/10/2023,DUM,Domestic,Tanker,2
27/01/2023,MOF,Domestic,Cargo,1
29/07/2023,DUM,Domestic,Tanker,1
10/02/2023,BDJ,Domestic,Cargo,2
11/05/2023,BWB,Domestic,Passenger,1
02/02/2023,MAK,Domestic,Passenger,1
28/12/2023,BMU,Domestic,Passenger,2
26/02/2023,TEI,Domestic,Passenger,1
11/02/2023,SUB,Domestic,Other,1
03/06/2023,KAT,Domestic,Passenger,1
05/06/2023,AMQ,Domestic,Tanker,1
06/11/2023,TPR,Foreign,Cargo,2
17/06/2023,KDI,Domestic,Tanker,2
29/01/2023,TBY,Domestic,Cargo,5
11/03/2023,BBM,Domestic,Tanker,1
14/09/2023,DUM,Foreign,Tanker,2
30/08/2023,SUB,Domestic,Tanker,5
11/11/2023,PNK,Domestic,Cargo,1
18/06/2023,NBX,Domestic,Cargo,2
22/08/2023,PNK,Domestic,Tanker,1
13/01/2023,BIK,Domestic,Tanker,1
30/01/2023,MKW,Domestic,Tanker,1
25/12/2023,TPR,Domestic,Tanker,2
05/08/2023,TPR,Domestic,Tanker,1
22/10/2023,TPR,Domestic,Tanker,3
23/04/2023,TNJ,Foreign,Passenger,3
22/01/2023,BLW,Domestic,Cargo,1
19/12/2023,SUR,Domestic,Other,1
14/08/2023,TUA,Domestic,Passenger,1
22/06/2023,SUB,Domestic,Cargo,23
09/03/2023,PNK,Domestic,Tanker,1
06/02/2023,DRA,Domestic,Passenger,1
15/09/2023,IBP,Domestic,Passenger,2
18/01/2023,BOA,Domestic,Tanker,2
26/11/2023,SMA,Domestic,Cargo,1
20/08/2023,BDJ,Domestic,Cargo,1
