date,Port,status_country_domicile,vessel_type,count
2023-07-12,BUR,Foreign,Cargo,10
2023-08-22,BUR,Foreign,Tanker,5
2023-07-07,BUR,Domestic,Cargo,6
2023-08-20,BUR,Domestic,Cargo,4
2023-08-09,SUB,Domestic,Passenger,35
2023-11-08,SUB,Domestic,Tanker,134
2023-12-16,SRG,Domestic,Passenger,4
2023-06-23,SUB,Domestic,Cargo,1240
2023-09-30,GRE,Domestic,Cargo,1513
2023-07-10,LBO,Domestic,Passenger,2
2023-10-13,GRE,Domestic,Passenger,32
2023-01-27,BLW,Domestic,Cargo,4
2023-03-07,TQP,Domestic,Cargo,1
2023-06-10,SUB,Domestic,Cargo,1323
2023-08-11,TQP,Domestic,Cargo,1
2023-05-11,GRE,Domestic,Cargo,1247
2023-07-03,TPR,Domestic,Cargo,126
2023-11-09,BDJ,Domestic,Tanker,4
2023-09-20,IMW,Domestic,Cargo,236
2023-10-18,GRE,Domestic,Cargo,991
2023-03-10,BUR,Domestic,Passenger,30
2023-07-01,TJB,Domestic,Passenger,8
2023-07-24,TJB,Domestic,Passenger,9
2023-09-29,BUR,Domestic,Passenger,30
2023-02-23,BUR,Domestic,Cargo,11
2023-08-01,SUB,Domestic,Cargo,768
2023-05-31,TQP,Domestic,Tanker,4
2023-10-21,BWB,Domestic,Tanker,1
2023-04-29,BUR,Domestic,Other,4
2023-09-10,SUB,Foreign,Tanker,5
2023-04-09,MOF,Domestic,Passenger,1
2023-07-15,LBO,Domestic,Passenger,1
2023-11-05,LBO,Domestic,Passenger,4
2023-09-19,TQP,Domestic,Passenger,3
2023-04-05,BUR,Domestic,Tanker,6
2023-09-28,BLW,Domestic,Tanker,2
2023-01-21,WNQ,Domestic,Cargo,3
2023-03-14,GNS,Domestic,Cargo,1
2023-01-09,MJU,Domestic,Passenger,1
2023-04-17,MJU,Domestic,Passenger,1
2023-12-05,SXK,Domestic,Passenger,2
2023-06-14,BUR,Foreign,Passenger,32
2023-05-14,SUB,Foreign,Cargo,515
2023-05-31,SUB,Foreign,Cargo,321
2023-06-22,SUB,Foreign,Cargo,679
2023-03-20,TBY,Foreign,Cargo,562
2023-08-03,TPR,Foreign,Cargo,660
2023-03-20,GRE,Foreign,Cargo,294
2023-07-31,BLW,Foreign,Cargo,2
2023-11-11,TPR,Foreign,Cargo,148
2023-06-08,MAK,Domestic,Other,1
2023-04-30,PNJ,Domestic,Passenger,3
2023-12-03,LMR,Domestic,Passenger,15
2023-03-27,IBP,Domestic,Tanker,99
2023-09-10,BPN,Domestic,Cargo,3
2023-10-12,TBY,Domestic,Tanker,379
2023-02-25,IBP,Domestic,Tanker,21
2023-02-07,IBP,Domestic,Cargo,7
2023-08-05,FKQ,Domestic,Passenger,2
2023-04-28,TNJ,Domestic,Passenger,3
2023-05-23,TBY,Foreign,Cargo,240
2023-02-19,BPN,Foreign,Tanker,2
2023-07-23,TNJ,Foreign,Passenger,4
2023-09-13,BUR,Foreign,Passenger,43
2023-12-12,CBN,Foreign,Tanker,1
2023-07-20,DUM,Foreign,Tanker,61
2023-03-13,MPG,Foreign,Tanker,168
2023-11-20,IMW,Foreign,Tanker,59
2023-07-06,TBY,Foreign,Tanker,259
2023-03-12,GRE,Foreign,Cargo,964
2023-11-06,MPG,Foreign,Tanker,156
2023-06-20,BLW,Foreign,Tanker,1
2023-05-27,BLW,Foreign,Cargo,4
2023-11-29,DNA,Domestic,Passenger,1
2023-08-30,BUR,Domestic,Cargo,6
2023-08-24,BMU,Domestic,Passenger,1
2023-12-15,BOA,Domestic,Passenger,2
2023-12-25,LTU,Domestic,Passenger,1
2023-02-27,TPR,Domestic,Passenger,19
2023-08-21,TJQ,Domestic,Passenger,1
2023-02-17,LBO,Domestic,Passenger,2
2023-01-30,GTO,Domestic,Cargo,1
2023-05-29,SRG,Domestic,Cargo,4
2023-12-09,MPG,Domestic,Cargo,94
2023-07-31,BDJ,Domestic,Cargo,3
2023-09-12,GRE,Domestic,Tanker,57
2023-05-16,TUA,Domestic,Passenger,1
2023-06-17,MOF,Domestic,Passenger,2
2023-04-15,LUW,Domestic,Passenger,1
2023-04-28,BGG,Domestic,Passenger,1
2023-05-13,LUW,Domestic,Passenger,2
2023-06-10,BGG,Domestic,Passenger,2
2023-07-02,KDI,Domestic,Passenger,3
2023-08-06,KAT,Domestic,Passenger,3
2023-01-27,BPN,Foreign,Cargo,2
2023-06-12,MAK,Foreign,Tanker,1
2023-02-10,BUR,Foreign,Cargo,19
2023-02-01,BPN,Domestic,Passenger,53
2023-06-14,WNQ,Domestic,Passenger,1
2023-09-08,TTK,Domestic,Passenger,1
2023-10-04,LMR,Domestic,Passenger,10
2023-02-17,ARE,Domestic,Tanker,1
2023-03-09,MAK,Domestic,Tanker,24
2023-04-09,ARE,Domestic,Tanker,1
2023-06-29,BBM,Domestic,Tanker,4
2023-10-20,KUM,Domestic,Tanker,1
2023-12-17,PTM,Domestic,Other,2
2023-02-28,TPR,Domestic,Passenger,4
2023-02-04,TGP,Domestic,Passenger,3
2023-05-29,DUM,Domestic,Tanker,3
2023-11-23,TBY,Domestic,Cargo,126
2023-03-24,MPG,Domestic,Cargo,559
2023-11-13,TJB,Domestic,Passenger,7
2023-07-13,DJJ,Domestic,Passenger,1
2023-02-08,BDJ,Domestic,Passenger,2
2023-10-28,ISG,Domestic,Passenger,1
2023-07-29,SMA,Domestic,Tanker,2
2023-07-25,MPG,Domestic,Cargo,350
2023-03-09,AMQ,Domestic,Passenger,2
2023-11-21,BPN,Domestic,Tanker,8
2023-04-13,KDI,Domestic,Cargo,1
2023-09-13,WNQ,Domestic,Cargo,1
2023-04-12,TPR,Domestic,Other,4
2023-07-14,PNJ,Domestic,Tanker,6
2023-09-23,TJB,Domestic,Tanker,3
2023-03-28,CXP,Domestic,Tanker,2
2023-05-08,CXP,Domestic,Tanker,1
2023-07-21,MKW,Domestic,Passenger,2
2023-09-12,MKW,Domestic,Passenger,2
2023-07-21,TPR,Domestic,Passenger,5
2023-10-31,IMW,Domestic,Tanker,255
2023-01-18,MAK,Foreign,Tanker,1
2023-06-21,SUB,Foreign,Tanker,7
2023-08-10,CEB,Domestic,Cargo,1
2023-01-18,TNJ,Foreign,Passenger,1
2023-01-24,BUR,Foreign,Pleasure Craft,2
2023-02-10,MPG,Foreign,Cargo,83
2023-03-07,BBM,Domestic,Passenger,1
2023-06-26,BIK,Domestic,Passenger,2
2023-07-07,LMR,Domestic,Passenger,7
2023-09-07,TJB,Domestic,Cargo,2
2023-05-16,TPR,Domestic,Cargo,15
2023-03-05,BDJ,Domestic,Cargo,3
2023-10-25,IMW,Domestic,Cargo,223
2023-09-16,MKQ,Domestic,Cargo,2
2023-10-08,IMW,Domestic,Tanker,126
2023-11-02,IMW,Domestic,Tanker,163
2023-05-20,IMW,Domestic,Other,11
2023-10-27,TPR,Foreign,Other,1
2023-11-14,IBP,Foreign,Tanker,14
2023-12-30,BOA,Foreign,Fishing,1
2023-09-30,MPG,Domestic,Tanker,57
2023-08-19,SRG,Domestic,Passenger,1
2023-02-02,BKS,Domestic,Tanker,1
2023-05-03,KDI,Domestic,Passenger,1
2023-11-03,IMW,Domestic,Cargo,187
2023-08-31,BUR,Domestic,Cargo,3
2023-03-23,NDA,Domestic,Passenger,3
2023-10-07,NDA,Domestic,Passenger,1
2023-10-10,SUB,Domestic,Dredging,9
2023-11-20,GRE,Domestic,Dredging,29
2023-11-22,SUB,Domestic,Dredging,31
2023-06-22,NBX,Domestic,Passenger,1
2023-05-18,MKW,Domestic,Passenger,3
2023-08-19,MKW,Domestic,Cargo,1
2023-12-26,BLW,Domestic,Tanker,1
2023-05-24,PNJ,Foreign,Passenger,1
2023-01-23,BOA,Domestic,Tanker,1
2023-12-30,TJB,Domestic,Cargo,3
2023-09-07,IMW,Domestic,Other,1
2023-12-30,IBP,Domestic,Cargo,3
2023-12-13,IMW,Domestic,Cargo,3
2023-06-29,SGQ,Domestic,Other,1
2023-12-14,TEI,Domestic,Cargo,1
2023-08-11,SRG,Domestic,Tanker,2
2023-08-05,CBN,Domestic,Passenger,1
2023-02-12,IBP,Foreign,Passenger,1
2023-09-04,IBP,Foreign,Passenger,2
2023-10-07,MSK,Domestic,Passenger,1
2023-06-04,TQP,Domestic,Tanker,1
2023-09-30,IMW,Domestic,Passenger,1
2023-01-12,MAK,Domestic,Other,1
2023-10-31,DJJ,Domestic,Passenger,1
2023-11-16,WSR,Domestic,Passenger,2
2023-05-06,TBY,Domestic,Tanker,104
2023-10-14,BUR,Foreign,Tanker,12
2023-10-13,BKS,Foreign,Cargo,1
2023-03-27,LTU,Domestic,Cargo,2
2023-06-17,SOQ,Domestic,Cargo,2
2023-04-27,AMQ,Domestic,Passenger,4
2023-11-29,SXK,Domestic,Passenger,1
2023-12-17,WSR,Domestic,Passenger,1
2023-12-10,BUR,Domestic,Pleasure Craft,1
2023-05-05,NAM,Domestic,Tanker,1
2023-09-11,NAM,Domestic,Tanker,1
2023-08-14,PNJ,Foreign,Cargo,1
2023-07-19,BUR,Foreign,Dredging,2
2023-09-28,PNJ,Foreign,Cargo,2
2023-05-08,FKQ,Domestic,Passenger,2
2023-07-16,FKQ,Domestic,Passenger,1
2023-09-03,NAM,Domestic,Passenger,2
2023-05-18,MAK,Domestic,Sailing,1
2023-10-09,BUR,Foreign,Dredging,1
2023-03-06,BKI,Domestic,Cargo,1
2023-04-18,SKJ,Domestic,Tanker,1
2023-12-08,BBM,Domestic,Passenger,1
2023-02-25,ENE,Domestic,Passenger,2
