date,Port,status_country_domicile,vessel_type,count
2023-08-06,KAT,Domestic,Passenger,1
2023-05-16,TPR,Domestic,Cargo,4
2023-11-03,IMW,Domestic,Cargo,1
2023-09-04,BOA,Domestic,Tanker,2
2023-10-31,IMW,Domestic,Tanker,1
2023-03-20,GRE,Foreign,Cargo,2
2023-04-30,PNJ,Domestic,Passenger,1
2023-09-17,PNK,Domestic,Sailing,1
2023-09-29,BUR,Domestic,Passenger,2
2023-11-06,MPG,Foreign,Tanker,1
2023-07-31,BLW,Foreign,Cargo,2
2023-03-07,BBM,Domestic,Passenger,1
2023-03-07,MSK,Domestic,Cargo,1
2023-06-17,SOQ,Domestic,Cargo,1
2023-11-08,SUB,Domestic,Tanker,1
2023-03-27,LTU,Domestic,Cargo,1
2023-09-16,MKQ,Domestic,Cargo,1
2023-11-14,IBP,Foreign,Tanker,1
2023-05-27,BLW,Foreign,Cargo,2
2023-11-05,LBO,Domestic,Passenger,2
2023-12-15,BOA,Domestic,Passenger,2
2023-01-30,GTO,Domestic,Cargo,1
2023-01-17,BIT,Domestic,Passenger,2
2023-11-09,BDJ,Domestic,Tanker,3
2023-01-02,AEA,Domestic,Cargo,1
2023-08-01,SUB,Domestic,Cargo,2
2023-06-29,BBM,Domestic,Tanker,2
2023-05-23,SXK,Domestic,Passenger,1
2023-12-05,SXK,Domestic,Passenger,2
2023-04-19,PKS,Domestic,Tanker,1
2023-05-27,BUR,Foreign,Sailing,1
2023-04-14,SMA,Domestic,Passenger,1
2023-11-13,SUB,Domestic,Cargo,2
2023-10-15,GRE,Domestic,Tanker,2
2023-09-16,BLW,Domestic,Cargo,1
2023-07-10,BPN,Domestic,Passenger,3
2023-08-08,PNK,Domestic,Cargo,3
2023-11-05,SUR,Domestic,Other,1
2023-04-06,BPN,Domestic,Pleasure Craft,2
2023-08-30,TPR,Domestic,Cargo,5
2023-04-10,BBM,Domestic,Tanker,1
2023-05-14,TPR,Domestic,Cargo,3
2023-10-20,TPR,Domestic,Cargo,6
2023-11-28,LMR,Domestic,Cargo,1
2023-01-07,TQP,Domestic,Passenger,1
2023-12-27,ARE,Domestic,Tanker,1
2023-07-20,GRE,Domestic,Cargo,2
2023-07-10,LMR,Domestic,Passenger,5
2023-06-16,BDJ,Domestic,Cargo,2
2023-07-28,LUW,Domestic,Passenger,1
2023-04-29,PNK,Domestic,Tanker,1
2023-03-25,IBP,Foreign,Tanker,1
2023-07-24,DUM,Domestic,Other,1
2023-04-03,SUB,Domestic,Cargo,2
2023-04-17,TJB,Foreign,Other,1
2023-09-17,SKJ,Foreign,Cargo,1
2023-08-26,IBP,Foreign,Passenger,1
2023-11-01,IBP,Domestic,Tanker,2
2023-07-15,TEI,Domestic,Passenger,3
2023-03-03,TLI,Domestic,Cargo,1
2023-08-26,BUR,Domestic,Passenger,1
