date,Port,status_country_domicile,vessel_type,count
2023-03-12,GRE,Foreign,Cargo,5
2023-06-28,IBP,Foreign,Other,1
2023-11-16,SRG,Foreign,Passenger,1
2023-10-22,BDJ,Foreign,Cargo,9
2023-08-03,TPR,Foreign,Cargo,8
2023-11-11,TPR,Foreign,Cargo,7
2023-11-30,SUR,Foreign,Cargo,2
2023-10-14,BUR,Foreign,Tanker,2
2023-08-14,PNJ,Foreign,Cargo,1
2023-10-23,BOA,Foreign,Fishing,1
2023-05-08,FKQ,Domestic,Passenger,2
2023-08-25,FKQ,Domestic,Passenger,1
2023-05-24,CXP,Domestic,Tanker,3
2023-10-18,GRE,Domestic,Cargo,12
2023-11-20,GRE,Domestic,Dredging,3
2023-06-26,BIK,Domestic,Passenger,1
2023-04-30,PNJ,Domestic,Passenger,3
2023-05-07,BMU,Domestic,Passenger,1
2023-07-10,LBO,Domestic,Passenger,2
2023-08-10,BOA,Domestic,Passenger,1
2023-09-12,MKW,Domestic,Passenger,3
2023-08-28,LBO,Domestic,Passenger,1
2023-09-19,TQP,Domestic,Passenger,2
2023-06-22,NBX,Domestic,Passenger,1
2023-10-04,LMR,Domestic,Passenger,14
2023-10-13,GRE,Domestic,Passenger,5
2023-06-19,BIT,Domestic,Tanker,1
2023-07-07,BUR,Domestic,Cargo,3
2023-05-11,GRE,Domestic,Cargo,9
2023-12-24,SXK,Domestic,Tanker,1
2023-05-16,TPR,Domestic,Cargo,11
2023-07-25,BPN,Domestic,Pleasure Craft,1
2023-12-03,LMR,Domestic,Passenger,12
2023-02-07,IBP,Domestic,Cargo,6
2023-06-29,PNJ,Domestic,Cargo,4
2023-02-25,IBP,Domestic,Tanker,7
2023-09-10,BPN,Domestic,Cargo,3
2023-05-29,SRG,Domestic,Cargo,2
2023-02-23,BUR,Domestic,Cargo,1
2023-03-19,BPN,Foreign,Other,1
2023-02-01,BPN,Domestic,Passenger,7
2023-07-21,MKW,Domestic,Passenger,2
2023-08-30,BUR,Domestic,Cargo,3
2023-06-17,SOQ,Domestic,Cargo,2
2023-08-18,SOQ,Domestic,Cargo,1
2023-01-02,AEA,Domestic,Cargo,1
2023-08-25,TPR,Domestic,Fishing,1
2023-09-17,PNK,Domestic,Sailing,1
2023-05-24,BDJ,Domestic,Other,1
2023-08-01,SUB,Domestic,Cargo,1
2023-10-09,TLI,Domestic,Cargo,1
2023-09-29,BUR,Domestic,Passenger,16
2023-12-13,IMW,Domestic,Cargo,1
2023-07-31,BDJ,Domestic,Cargo,3
2023-05-24,PNJ,Foreign,Passenger,1
2023-09-04,IBP,Foreign,Passenger,2
2023-12-15,BOA,Domestic,Passenger,2
2023-06-10,BGG,Domestic,Passenger,2
2023-08-11,SRG,Domestic,Tanker,1
2023-09-04,BOA,Domestic,Tanker,2
2023-09-12,GRE,Domestic,Tanker,5
2023-04-11,ING,Domestic,Tanker,2
2023-06-03,ING,Domestic,Tanker,3
2023-07-02,PNK,Domestic,Cargo,4
2023-03-27,LTU,Domestic,Cargo,1
2023-05-01,LTU,Domestic,Cargo,1
2023-09-16,MKQ,Domestic,Cargo,1
2023-07-03,TPR,Domestic,Cargo,6
2023-10-26,CXP,Domestic,Tanker,3
2023-06-29,BBM,Domestic,Tanker,2
2023-11-13,MKW,Domestic,Tanker,1
2023-01-17,BIT,Domestic,Passenger,2
2023-09-30,GRE,Domestic,Cargo,8
2023-11-14,SUR,Domestic,Cargo,1
2023-03-10,BUR,Domestic,Passenger,14
2023-12-14,SOQ,Domestic,Other,1
2023-01-08,TGP,Domestic,Sailing,1
2023-04-30,TGP,Domestic,Sailing,1
2023-12-22,TGP,Domestic,Sailing,1
2023-07-14,PNJ,Domestic,Tanker,2
2023-11-27,GRE,Foreign,Tanker,4
2023-02-04,MEQ,Foreign,Cargo,1
2023-07-31,BLW,Foreign,Cargo,3
2023-02-10,BUR,Foreign,Cargo,6
2023-03-12,ING,Foreign,Tanker,2
2023-06-14,BUR,Foreign,Passenger,18
2023-07-23,TNJ,Foreign,Passenger,2
2023-09-13,BUR,Foreign,Passenger,20
2023-06-20,BLW,Foreign,Tanker,1
2023-03-20,GRE,Foreign,Cargo,4
2023-05-27,BLW,Foreign,Cargo,3
2023-01-19,TJB,Foreign,Other,1
2023-02-08,BIT,Foreign,Tanker,1
2023-07-19,BUR,Foreign,Dredging,1
2023-07-06,TBY,Foreign,Tanker,2
2023-08-22,BUR,Foreign,Tanker,2
2023-08-20,BUR,Domestic,Cargo,4
2023-03-19,TPR,Foreign,Cargo,13
2023-12-20,IBP,Foreign,Tanker,3
2023-07-31,GRE,Foreign,Tanker,3
2023-06-17,SRG,Foreign,Cargo,3
2023-05-14,TPR,Domestic,Cargo,9
2023-10-20,TPR,Domestic,Cargo,11
2023-04-19,TBY,Foreign,Cargo,2
2023-10-22,BPN,Foreign,Cargo,1
2023-05-10,TPR,Foreign,Cargo,7
2023-11-25,GRE,Foreign,Cargo,6
2023-05-12,TPR,Foreign,Other,1
2023-03-10,BPN,Foreign,Cargo,1
2023-11-17,TPR,Foreign,Cargo,8
2023-10-24,BDJ,Foreign,Cargo,2
2023-03-25,IBP,Foreign,Tanker,5
2023-05-11,BOA,Foreign,Fishing,1
2023-03-23,TPR,Domestic,Tanker,2
2023-10-28,BUR,Domestic,Cargo,3
2023-03-17,REO,Domestic,Cargo,1
2023-02-02,FKQ,Domestic,Passenger,2
2023-03-23,FKQ,Domestic,Passenger,2
2023-08-31,FKQ,Domestic,Passenger,1
2023-02-09,IBP,Domestic,Passenger,88
2023-11-15,BDJ,Domestic,Cargo,6
2023-09-23,BDJ,Domestic,Cargo,8
2023-07-20,GRE,Domestic,Cargo,10
2023-09-14,GTO,Domestic,Passenger,2
2023-07-01,BIK,Domestic,Passenger,1
2023-12-31,AMQ,Domestic,Passenger,3
2023-11-11,BMU,Domestic,Passenger,1
2023-07-10,LMR,Domestic,Passenger,11
2023-11-04,BDJ,Domestic,Passenger,2
2023-03-22,BPN,Domestic,Cargo,2
2023-08-30,TPR,Domestic,Cargo,13
2023-05-16,IBP,Domestic,Tanker,6
2023-04-21,LTU,Domestic,Cargo,4
2023-08-27,BPN,Domestic,Tanker,4
2023-04-10,BOA,Domestic,Tanker,1
2023-02-03,CXP,Domestic,Tanker,4
2023-08-26,BUR,Domestic,Passenger,20
2023-12-29,BUR,Domestic,Passenger,22
2023-08-02,IBP,Domestic,Cargo,1
2023-11-03,TBY,Domestic,Tanker,1
2023-01-10,GTO,Domestic,Cargo,1
2023-07-28,KDI,Domestic,Cargo,1
