,mmsi,vessel_name,Port,dt_pos_utc,fc_vessel,OperatorCountryOfRegistration,OperatorCountryofDomicileName,vessel_type,ns_vessel,draught,diff_time_hours,diff_time_minutes
0,525004139,TRANSKO ARIES,REO,2023-01-05 02:25:10,Indonesia,Indonesia,Indonesia,Tanker,Moored,5.2,6.1,366.0
1,525004139,TRANSKO ARIES,REO,2023-01-25 06:26:52,Indonesia,Indonesia,Indonesia,Tanker,Underway Sailing,6.1,5.969722222222222,358.18333333333334
2,525004139,TRANSKO ARIES,REO,2023-02-06 09:15:42,Indonesia,Indonesia,Indonesia,Tanker,At Anchor,5.3,6.1575,369.45
3,525004139,TRANSKO ARIES,REO,2023-02-13 00:16:45,Indonesia,Indonesia,Indonesia,Tanker,Moored,6.4,9.200277777777778,552.0166666666667
4,525004139,TRANSKO ARIES,REO,2023-03-03 01:22:42,Indonesia,Indonesia,Indonesia,Tanker,At Anchor,5.7,7.599444444444444,455.96666666666664
5,525004139,TRANSKO ARIES,REO,2023-03-11 08:13:53,Indonesia,Indonesia,Indonesia,Tanker,Moored,5.3,6.05,363.0
6,525004139,TRANSKO ARIES,REO,2023-03-19 02:19:04,Indonesia,Indonesia,Indonesia,Tanker,Moored,4.9,9.201666666666666,552.1
7,525004139,TRANSKO ARIES,REO,2023-03-31 04:19:07,Indonesia,Indonesia,Indonesia,Tanker,Moored,6.2,2.548888888888889,152.93333333333334
8,525004139,TRANSKO ARIES,REO,2023-04-07 01:15:34,Indonesia,Indonesia,Indonesia,Tanker,Under Way Using Engine,5.5,7.551666666666667,453.1
9,525004139,TRANSKO ARIES,REO,2023-04-15 00:53:38,Indonesia,Indonesia,Indonesia,Tanker,At Anchor,5.8,12.050277777777778,723.0166666666667
10,525004139,TRANSKO ARIES,REO,2023-04-23 08:53:59,Indonesia,Indonesia,Indonesia,Tanker,Moored,6.5,1.0494444444444444,62.96666666666667
11,525004139,TRANSKO ARIES,REO,2023-05-04 00:28:06,Indonesia,Indonesia,Indonesia,Tanker,Under Way Using Engine,5.8,13.175555555555556,790.5333333333333
12,525004139,TRANSKO ARIES,REO,2023-06-02 02:41:09,Indonesia,Indonesia,Indonesia,Tanker,Moored,5.1,6.249722222222222,374.98333333333335
13,525004139,TRANSKO ARIES,REO,2023-07-02 10:03:59,Indonesia,Indonesia,Indonesia,Tanker,Moored,6.5,3.7494444444444444,224.96666666666667
14,525004139,TRANSKO ARIES,REO,2023-07-09 11:36:57,Indonesia,Indonesia,Indonesia,Tanker,Moored,5.2,3.8508333333333336,231.05
15,525004139,TRANSKO ARIES,REO,2023-07-19 23:58:38,Indonesia,Indonesia,Indonesia,Tanker,Under Way Using Engine,6.4,2.3833333333333333,143.0
16,525008003,MT MINAS / P.35,REO,2023-06-03 10:03:56,Indonesia,Indonesia,Indonesia,Tanker,Moored,3.8,3.748611111111111,224.91666666666666
17,525010062,MT.SERENA III,REO,2023-12-06 06:28:35,Indonesia,Indonesia,Indonesia,Tanker,At Anchor,5.3,2.0708333333333333,124.25
18,525025057,MERATUS SIBOLGA,REO,2023-02-10 02:57:15,Indonesia,Indonesia,Indonesia,Cargo,Moored,4.4,0.5505555555555556,33.03333333333333
19,525025057,MERATUS SIBOLGA,REO,2023-02-10 03:57:20,Indonesia,Indonesia,Indonesia,Cargo,Moored,4.4,0.09944444444444445,5.966666666666667
20,525025057,MERATUS SIBOLGA,REO,2023-02-11 03:55:16,Indonesia,Indonesia,Indonesia,Cargo,Moored,4.4,0.050833333333333335,3.05
21,525025057,MERATUS SIBOLGA,REO,2023-02-19 02:51:26,Indonesia,Indonesia,Indonesia,Cargo,Moored,4.6,0.14916666666666667,8.95
22,525025057,MERATUS SIBOLGA,REO,2023-02-19 03:15:24,Indonesia,Indonesia,Indonesia,Cargo,Moored,4.6,0.15083333333333335,9.05
23,525025057,MERATUS SIBOLGA,REO,2023-02-20 02:34:25,Indonesia,Indonesia,Indonesia,Cargo,Moored,4.6,0.050277777777777775,3.0166666666666666
24,525025057,MERATUS SIBOLGA,REO,2023-02-20 02:55:27,Indonesia,Indonesia,Indonesia,Cargo,Moored,4.6,0.04888888888888889,2.933333333333333
25,525117007,MT.FALCON19,REO,2023-11-28 00:42:21,Indonesia,Indonesia,Indonesia,Tanker,At Anchor,6.0,0.04777777777777778,2.8666666666666667
26,525119034,MT MAHOGANI BANDA,REO,2023-05-30 00:52:24,Indonesia,Indonesia,Indonesia,Tanker,At Anchor,0.0,0.7488888888888889,44.93333333333333
27,525501386,NTT SEJAHTERA,REO,2023-06-09 22:56:33,Indonesia,Vietnam,Vietnam,Cargo,Moored,6.1,159.41083333333333,9564.65
28,525501386,NTT SEJAHTERA,REO,2023-09-15 06:52:29,Indonesia,Vietnam,Vietnam,Cargo,Moored,6.1,43.56944444444444,2614.1666666666665
29,525501386,NTT SEJAHTERA,REO,2023-09-18 09:43:20,Indonesia,Vietnam,Vietnam,Cargo,Moored,6.1,47.581944444444446,2854.9166666666665
30,525501386,NTT SEJAHTERA,REO,2023-10-11 01:24:01,Indonesia,Vietnam,Vietnam,Cargo,Moored,6.1,128.35194444444446,7701.116666666667
31,525501386,NTT SEJAHTERA,REO,2023-11-21 23:28:56,Indonesia,Vietnam,Vietnam,Cargo,At Anchor,6.1,152.40944444444443,9144.566666666668
