dt_pos_utc,Port,status_country_domicile,vessel_type,count
2023-01-05,REO,Domestic,Tanker,1
2023-01-25,REO,Domestic,Tanker,1
2023-02-06,REO,Domestic,Tanker,1
2023-02-10,REO,Domestic,Cargo,1
2023-02-13,REO,Domestic,Tanker,1
2023-03-03,REO,Domestic,Tanker,1
2023-03-11,REO,Domestic,Tanker,1
2023-03-19,REO,Domestic,Tanker,1
2023-03-31,REO,Domestic,Tanker,1
2023-04-07,REO,Domestic,Tanker,1
2023-04-15,REO,Domestic,Tanker,1
2023-04-23,REO,Domestic,Tanker,1
2023-05-04,REO,Domestic,Tanker,1
2023-05-30,REO,Domestic,Tanker,1
2023-06-02,REO,Domestic,Tanker,1
2023-06-03,REO,Domestic,Tanker,1
2023-06-17,REO,Foreign,Cargo,1
2023-07-02,REO,Domestic,Tanker,1
2023-07-09,REO,Domestic,Tanker,1
2023-07-20,REO,Domestic,Tanker,1
2023-09-17,REO,Foreign,Cargo,1
2023-09-20,REO,Foreign,Cargo,1
2023-10-16,REO,Foreign,Cargo,1
2023-11-28,REO,Foreign,Cargo,1
2023-12-06,REO,Domestic,Tanker,1
