date;Port;status_country_domicile;vessel_type;count
01/01/2023;AMQ;Foreign;Tanker;1
01/01/2023;AMQ;Domestic;Tanker;2
01/01/2023;AMQ;Domestic;Cargo;2
01/01/2023;ARE;Domestic;Passenger;1
01/01/2023;BAD;Domestic;Cargo;1
01/01/2023;BBM;Domestic;Passenger;2
01/01/2023;BDJ;Foreign;Cargo;2
01/01/2023;BDJ;Domestic;Tanker;2
01/01/2023;BDJ;Domestic;Passenger;3
01/01/2023;BDJ;Domestic;Cargo;5
01/01/2023;BDJ;Foreign;Other;2
01/01/2023;BIK;Domestic;Passenger;1
01/01/2023;BIK;Domestic;Tanker;2
01/01/2023;BKS;Domestic;Tanker;2
01/01/2023;BLW;Domestic;Cargo;4
01/01/2023;BLW;Foreign;Cargo;3
01/01/2023;BLW;Domestic;Tanker;1
01/01/2023;BMU;Domestic;Passenger;1
01/01/2023;BOA;Domestic;Passenger;1
01/01/2023;BOA;Foreign;Fishing;1
01/01/2023;BOA;Foreign;Pleasure Craft;1
01/01/2023;BOA;Domestic;Tanker;1
01/01/2023;BPN;Domestic;Cargo;3
01/01/2023;BPN;Foreign;Tanker;1
01/01/2023;BPN;Domestic;Tanker;3
01/01/2023;BPN;Domestic;Passenger;23
01/01/2023;BUR;Domestic;Tanker;2
01/01/2023;BUR;Domestic;Passenger;14
01/01/2023;BUR;Foreign;Cargo;1
01/01/2023;BUR;Domestic;Cargo;3
01/01/2023;BUR;Foreign;Passenger;21
01/01/2023;BUR;Foreign;Tanker;3
01/01/2023;CXP;Domestic;Tanker;1
01/01/2023;DUM;Foreign;Tanker;5
01/01/2023;DUM;Foreign;Cargo;8
01/01/2023;DUM;Domestic;Passenger;2
01/01/2023;DUM;Domestic;Cargo;1
01/01/2023;DUM;Domestic;Tanker;5
01/01/2023;DUM;Domestic;Other;1
01/01/2023;GRE;Domestic;Cargo;14
01/01/2023;GRE;Domestic;Passenger;6
01/01/2023;GRE;Foreign;Cargo;13
01/01/2023;GRE;Domestic;Tanker;3
01/01/2023;GRE;Foreign;Passenger;1
01/01/2023;GRE;Domestic;Other;1
01/01/2023;GRE;Domestic;Sailing;1
01/01/2023;GTO;Domestic;Cargo;7
01/01/2023;IBP;Foreign;Cargo;4
01/01/2023;IBP;Foreign;Passenger;4
01/01/2023;IBP;Foreign;Tanker;7
01/01/2023;IBP;Domestic;Tanker;7
01/01/2023;IBP;Domestic;Passenger;81
01/01/2023;IBP;Domestic;Cargo;2
01/01/2023;IMW;Domestic;Tanker;1
01/01/2023;IMW;Domestic;Cargo;1
01/01/2023;ING;Domestic;Cargo;1
01/01/2023;IPI;Domestic;Tanker;1
01/01/2023;KDI;Domestic;Passenger;1
01/01/2023;KDI;Domestic;Tanker;1
01/01/2023;KUM;Domestic;Cargo;2
01/01/2023;KUM;Domestic;Other;1
01/01/2023;LBO;Domestic;Passenger;1
01/01/2023;LMR;Foreign;Passenger;1
01/01/2023;LMR;Domestic;Passenger;5
01/01/2023;LSW;Domestic;Other;1
01/01/2023;LTU;Domestic;Cargo;3
01/01/2023;LUW;Domestic;Cargo;1
01/01/2023;MAK;Domestic;Passenger;3
01/01/2023;MAK;Domestic;Cargo;2
01/01/2023;MAK;Foreign;Tanker;1
01/01/2023;MKW;Domestic;Passenger;3
01/01/2023;MLD;Domestic;Passenger;1
01/01/2023;MUO;Domestic;Tanker;2
01/01/2023;MUO;Domestic;Sailing;1
01/01/2023;MUO;Domestic;Cargo;1
01/01/2023;NAM;Domestic;Passenger;1
01/01/2023;PNJ;Foreign;Cargo;11
01/01/2023;PNJ;Domestic;Cargo;3
01/01/2023;PNJ;Domestic;Tanker;2
01/01/2023;PNK;Domestic;Passenger;1
01/01/2023;PNK;Domestic;Tanker;5
01/01/2023;PNK;Domestic;Cargo;5
01/01/2023;PPS;Domestic;Tanker;2
01/01/2023;PTM;Domestic;Tanker;2
01/01/2023;SKJ;Domestic;Tanker;1
01/01/2023;SMQ;Domestic;Tanker;3
01/01/2023;SMQ;Domestic;Cargo;1
01/01/2023;SRG;Foreign;Cargo;3
01/01/2023;SRG;Domestic;Cargo;1
01/01/2023;SRG;Domestic;Passenger;1
01/01/2023;SUB;Domestic;Cargo;7
01/01/2023;SUB;Domestic;Tanker;1
01/01/2023;SUB;Foreign;Cargo;6
01/01/2023;SUB;Domestic;Passenger;9
01/01/2023;SUB;Domestic;Other;1
01/01/2023;TBY;Domestic;Cargo;1
01/01/2023;TBY;Foreign;Tanker;1
01/01/2023;TEI;Domestic;Passenger;10
01/01/2023;TJB;Foreign;Tanker;1
01/01/2023;TJB;Domestic;Tanker;3
01/01/2023;TJB;Domestic;Passenger;2
01/01/2023;TNJ;Domestic;Passenger;2
01/01/2023;TNJ;Foreign;Passenger;1
01/01/2023;TPR;Domestic;Other;2
01/01/2023;TPR;Domestic;Cargo;15
01/01/2023;TPR;Foreign;Cargo;11
01/01/2023;TPR;Domestic;Passenger;2
01/01/2023;TPR;Foreign;Tanker;1
01/01/2023;TPR;Domestic;Tanker;2
01/01/2023;TRE;Domestic;Cargo;1
01/01/2023;WSR;Domestic;Passenger;1
02/01/2023;AMQ;Domestic;Passenger;2
02/01/2023;AMQ;Domestic;Tanker;2
02/01/2023;AMQ;Domestic;Cargo;1
02/01/2023;BBM;Domestic;Passenger;3
02/01/2023;BDJ;Domestic;Cargo;4
02/01/2023;BDJ;Domestic;Passenger;1
02/01/2023;BDJ;Domestic;Other;1
02/01/2023;BDJ;Foreign;Cargo;1
02/01/2023;BLW;Foreign;Cargo;2
02/01/2023;BLW;Foreign;Tanker;2
02/01/2023;BLW;Domestic;Other;1
02/01/2023;BLW;Domestic;Cargo;2
02/01/2023;BOA;Domestic;Dredging;1
02/01/2023;BPN;Foreign;Tanker;1
02/01/2023;BPN;Domestic;Tanker;3
02/01/2023;BPN;Domestic;Passenger;31
02/01/2023;BPN;Foreign;Other;1
02/01/2023;BPN;Domestic;Cargo;2
02/01/2023;BUR;Domestic;Other;1
02/01/2023;BUR;Foreign;Passenger;18
02/01/2023;BUR;Domestic;Cargo;2
02/01/2023;BUR;Domestic;Passenger;12
02/01/2023;BUR;Domestic;Tanker;2
02/01/2023;BUR;Foreign;Other;2
02/01/2023;BUR;Foreign;Cargo;3
02/01/2023;BUR;Foreign;Sailing;2
02/01/2023;BUR;Foreign;Tanker;3
02/01/2023;CXP;Domestic;Tanker;2
02/01/2023;CXP;Domestic;Cargo;1
02/01/2023;DUM;Domestic;Tanker;5
02/01/2023;DUM;Foreign;Tanker;4
02/01/2023;DUM;Domestic;Passenger;8
02/01/2023;DUM;Foreign;Cargo;11
02/01/2023;GRE;Domestic;Tanker;15
02/01/2023;GRE;Domestic;Passenger;11
02/01/2023;GRE;Domestic;Cargo;14
02/01/2023;GRE;Foreign;Cargo;20
02/01/2023;GRE;Foreign;Tanker;1
02/01/2023;GTO;Domestic;Cargo;1
02/01/2023;IBP;Foreign;Passenger;3
02/01/2023;IBP;Domestic;Passenger;81
02/01/2023;IBP;Foreign;Tanker;11
02/01/2023;IBP;Domestic;Cargo;4
02/01/2023;IBP;Domestic;Tanker;5
02/01/2023;IBP;Foreign;Cargo;1
02/01/2023;IMW;Domestic;Cargo;1
02/01/2023;KDI;Domestic;Cargo;1
02/01/2023;KDI;Domestic;Tanker;1
02/01/2023;KOL;Domestic;Passenger;2
02/01/2023;KUM;Domestic;Tanker;1
02/01/2023;LBO;Domestic;Cargo;1
02/01/2023;LMR;Domestic;Passenger;6
02/01/2023;LSW;Domestic;Tanker;1
02/01/2023;MAK;Domestic;Passenger;3
02/01/2023;MAK;Domestic;Cargo;5
02/01/2023;MAK;Foreign;Cargo;1
02/01/2023;MAK;Domestic;Tanker;2
02/01/2023;MUO;Domestic;Cargo;2
02/01/2023;MUO;Domestic;Sailing;1
02/01/2023;MUO;Domestic;Passenger;1
02/01/2023;NDA;Domestic;Passenger;1
02/01/2023;NGG;Foreign;Tanker;1
02/01/2023;PKS;Domestic;Tanker;1
02/01/2023;PNJ;Domestic;Cargo;3
02/01/2023;PNJ;Foreign;Cargo;13
02/01/2023;PNJ;Domestic;Tanker;1
02/01/2023;PNK;Domestic;Passenger;1
02/01/2023;PNK;Domestic;Tanker;2
02/01/2023;PNK;Domestic;Cargo;4
02/01/2023;PTL;Foreign;Cargo;1
02/01/2023;PTM;Domestic;Cargo;1
02/01/2023;SLG;Domestic;Passenger;1
02/01/2023;SMA;Domestic;Passenger;1
02/01/2023;SMQ;Domestic;Passenger;1
02/01/2023;SMQ;Domestic;Tanker;1
02/01/2023;SOQ;Domestic;Tanker;3
02/01/2023;SOQ;Domestic;Passenger;1
02/01/2023;SRG;Foreign;Cargo;1
02/01/2023;SRG;Domestic;Cargo;1
02/01/2023;SUB;Foreign;Cargo;6
02/01/2023;SUB;Domestic;Passenger;9
02/01/2023;SUB;Domestic;Cargo;5
02/01/2023;SUR;Domestic;Tanker;1
02/01/2023;TAG;Domestic;Tanker;1
02/01/2023;TBY;Foreign;Tanker;1
02/01/2023;TBY;Domestic;Cargo;1
02/01/2023;TEI;Domestic;Passenger;12
02/01/2023;TJB;Domestic;Passenger;4
02/01/2023;TJB;Domestic;Cargo;1
02/01/2023;TNJ;Domestic;Passenger;1
02/01/2023;TPR;Foreign;Cargo;7
02/01/2023;TPR;Domestic;Other;2
02/01/2023;TPR;Domestic;Cargo;12
02/01/2023;TPR;Domestic;Passenger;4
02/01/2023;TPR;Domestic;Tanker;2
02/01/2023;TUA;Domestic;Tanker;1
02/01/2023;TUA;Domestic;Passenger;2
02/01/2023;TUA;Domestic;Cargo;1
03/01/2023;AEA;Domestic;Cargo;1
03/01/2023;AMQ;Domestic;Passenger;3
03/01/2023;AMQ;Domestic;Tanker;1
03/01/2023;AMQ;Foreign;Tanker;1
03/01/2023;ARE;Domestic;Tanker;1
03/01/2023;BBM;Domestic;Passenger;2
03/01/2023;BDJ;Foreign;Cargo;4
03/01/2023;BDJ;Domestic;Tanker;4
03/01/2023;BDJ;Domestic;Cargo;2
03/01/2023;BDJ;Domestic;Passenger;5
03/01/2023;BDJ;Foreign;Sailing;1
03/01/2023;BKS;Domestic;Cargo;1
03/01/2023;BLW;Domestic;Tanker;1
03/01/2023;BLW;Foreign;Cargo;3
03/01/2023;BLW;Domestic;Cargo;1
03/01/2023;BLW;Foreign;Tanker;2
03/01/2023;BMU;Domestic;Passenger;1
03/01/2023;BMU;Domestic;Cargo;1
03/01/2023;BOA;Domestic;Dredging;1
03/01/2023;BOA;Domestic;Tanker;1
03/01/2023;BOA;Domestic;Other;1
03/01/2023;BPN;Domestic;Passenger;27
03/01/2023;BPN;Foreign;Cargo;2
03/01/2023;BPN;Domestic;Sailing;2
03/01/2023;BPN;Domestic;Tanker;5
03/01/2023;BPN;Domestic;Other;1
03/01/2023;BUR;Domestic;Passenger;20
03/01/2023;BUR;Domestic;Tanker;2
03/01/2023;BUR;Foreign;Other;1
03/01/2023;BUR;Foreign;Cargo;7
03/01/2023;BUR;Foreign;Pleasure Craft;1
03/01/2023;BUR;Domestic;Cargo;2
03/01/2023;BUR;Domestic;Other;2
03/01/2023;BUR;Foreign;Passenger;14
03/01/2023;BUR;Foreign;Tanker;1
03/01/2023;BUR;Foreign;Dredging;1
03/01/2023;CXP;Domestic;Cargo;1
03/01/2023;DJJ;Domestic;Tanker;1
03/01/2023;DUM;Foreign;Tanker;5
03/01/2023;DUM;Domestic;Passenger;7
03/01/2023;DUM;Domestic;Tanker;8
03/01/2023;DUM;Foreign;Cargo;6
03/01/2023;DUM;Domestic;Other;1
03/01/2023;FKQ;Domestic;Passenger;1
03/01/2023;GRE;Domestic;Cargo;7
03/01/2023;GRE;Foreign;Cargo;11
03/01/2023;GRE;Domestic;Tanker;12
03/01/2023;GRE;Foreign;Passenger;2
03/01/2023;GRE;Domestic;Passenger;9
03/01/2023;GRE;Domestic;Other;2
03/01/2023;IBP;Domestic;Tanker;6
03/01/2023;IBP;Domestic;Cargo;5
03/01/2023;IBP;Foreign;Tanker;7
03/01/2023;IBP;Domestic;Passenger;83
03/01/2023;IBP;Foreign;Passenger;1
03/01/2023;IBP;Foreign;Cargo;3
03/01/2023;IMW;Domestic;Cargo;2
03/01/2023;IMW;Domestic;Passenger;1
03/01/2023;ING;Domestic;Tanker;1
03/01/2023;ING;Foreign;Tanker;2
03/01/2023;ING;Domestic;Cargo;1
03/01/2023;KDI;Domestic;Cargo;1
03/01/2023;KDI;Domestic;Passenger;2
03/01/2023;KDI;Foreign;Tanker;1
03/01/2023;LMR;Domestic;Passenger;11
03/01/2023;LSW;Foreign;Tanker;1
03/01/2023;LUW;Domestic;Passenger;1
03/01/2023;MAK;Domestic;Tanker;2
03/01/2023;MAK;Domestic;Cargo;5
03/01/2023;MAK;Domestic;Pleasure Craft;1
03/01/2023;MKQ;Domestic;Tanker;1
03/01/2023;MKW;Domestic;Passenger;1
03/01/2023;MLD;Domestic;Other;1
03/01/2023;MLD;Domestic;Cargo;1
03/01/2023;MLH;Domestic;Cargo;1
03/01/2023;MUO;Domestic;Other;1
03/01/2023;MUO;Domestic;Tanker;1
03/01/2023;MUO;Domestic;Sailing;1
03/01/2023;MUO;Domestic;Passenger;1
03/01/2023;NAM;Domestic;Tanker;1
03/01/2023;NAM;Domestic;Passenger;1
03/01/2023;PGX;Domestic;Tanker;1
03/01/2023;PNJ;Domestic;Cargo;2
03/01/2023;PNJ;Foreign;Tanker;1
03/01/2023;PNJ;Foreign;Cargo;16
03/01/2023;PNJ;Domestic;Tanker;2
03/01/2023;PNK;Domestic;Passenger;1
03/01/2023;PNK;Domestic;Tanker;5
03/01/2023;PNK;Domestic;Cargo;3
03/01/2023;SKJ;Domestic;Cargo;1
03/01/2023;SLG;Domestic;Passenger;1
03/01/2023;SMA;Domestic;Tanker;1
03/01/2023;SMQ;Domestic;Tanker;3
03/01/2023;SOQ;Domestic;Tanker;2
03/01/2023;SOQ;Foreign;Other;1
03/01/2023;SOQ;Domestic;Cargo;1
03/01/2023;SOQ;Domestic;Passenger;1
03/01/2023;SRG;Domestic;Tanker;1
03/01/2023;SRG;Domestic;Cargo;1
03/01/2023;SRG;Foreign;Cargo;2
03/01/2023;SUB;Foreign;Passenger;1
03/01/2023;SUB;Foreign;Cargo;2
03/01/2023;SUB;Domestic;Passenger;10
03/01/2023;SUB;Domestic;Tanker;1
03/01/2023;SUB;Domestic;Other;1
03/01/2023;SUB;Domestic;Cargo;2
03/01/2023;SUR;Domestic;Tanker;1
03/01/2023;TBY;Domestic;Cargo;4
03/01/2023;TBY;Foreign;Cargo;1
03/01/2023;TBY;Domestic;Passenger;1
03/01/2023;TEI;Domestic;Passenger;10
03/01/2023;TJB;Domestic;Tanker;1
03/01/2023;TJB;Domestic;Cargo;3
03/01/2023;TJB;Foreign;Passenger;1
03/01/2023;TJB;Domestic;Passenger;3
03/01/2023;TJQ;Domestic;Passenger;1
03/01/2023;TNJ;Foreign;Passenger;1
03/01/2023;TNJ;Domestic;Passenger;1
03/01/2023;TPR;Foreign;Cargo;8
03/01/2023;TPR;Domestic;Tanker;5
03/01/2023;TPR;Domestic;Cargo;9
03/01/2023;TPR;Domestic;Passenger;5
03/01/2023;TPR;Foreign;Tanker;1
