date,Port,status_country_domicile,vessel_type,count
2023-09-28,PNJ,Foreign,Cargo,2
2023-05-27,BLW,Foreign,Cargo,2
2023-09-02,SRG,Foreign,Cargo,2
2023-06-22,SUB,Foreign,Cargo,2
2023-10-22,BDJ,Foreign,Cargo,1
2023-07-03,TPR,Domestic,Cargo,4
2023-08-30,BUR,Domestic,Cargo,2
2023-11-05,LBO,Domestic,Passenger,1
2023-12-15,BOA,Domestic,Passenger,1
2023-08-19,SRG,Domestic,Passenger,1
2023-05-01,LTU,Domestic,Cargo,1
2023-10-18,GRE,Domestic,Cargo,1
2023-08-11,SRG,Domestic,Tanker,2
2023-05-11,GRE,Domestic,Cargo,4
2023-02-25,IBP,Domestic,Tanker,1
2023-12-17,PTM,Domestic,Other,1
2023-02-02,BKS,Domestic,Tanker,1
2023-07-22,BKS,Domestic,Tanker,1
2023-05-29,SRG,Domestic,Cargo,3
2023-09-30,GRE,Domestic,Cargo,1
2023-09-12,GRE,Domestic,Tanker,6
2023-11-23,TBY,Domestic,Cargo,1
2023-01-12,MAK,Domestic,Other,1
2023-07-06,TPR,Domestic,Pleasure Craft,1
2023-04-15,LUW,Domestic,Passenger,1
2023-04-28,BGG,Domestic,Passenger,1
2023-05-13,LUW,Domestic,Passenger,1
2023-06-10,BGG,Domestic,Passenger,2
2023-07-02,KDI,Domestic,Passenger,1
2023-08-06,KAT,Domestic,Passenger,1
2023-07-14,PNJ,Domestic,Tanker,3
2023-02-07,IBP,Domestic,Cargo,2
2023-06-10,SUB,Domestic,Cargo,7
2023-10-15,TEI,Domestic,Tanker,2
2023-10-26,CXP,Domestic,Tanker,1
2023-03-09,MAK,Domestic,Tanker,2
2023-01-18,MAK,Foreign,Tanker,1
2023-06-21,SUB,Foreign,Tanker,4
2023-11-21,BPN,Domestic,Tanker,4
2023-06-23,SUB,Domestic,Cargo,3
2023-10-25,IMW,Domestic,Cargo,1
2023-11-03,IMW,Domestic,Cargo,1
2023-05-14,SUB,Foreign,Cargo,4
2023-03-16,SRG,Foreign,Cargo,1
2023-11-08,SUB,Domestic,Tanker,1
2023-07-07,BUR,Domestic,Cargo,1
2023-05-16,TPR,Domestic,Cargo,6
2023-03-05,BDJ,Domestic,Cargo,1
2023-08-01,SUB,Domestic,Cargo,4
2023-07-02,PNK,Domestic,Cargo,2
2023-03-07,TQP,Domestic,Cargo,1
2023-08-11,TQP,Domestic,Cargo,1
2023-05-31,TQP,Domestic,Tanker,1
2023-08-25,BLW,Domestic,Tanker,1
2023-12-10,DUM,Domestic,Tanker,1
2023-05-29,DUM,Domestic,Tanker,3
2023-12-13,AMQ,Domestic,Tanker,1
2023-03-06,CXP,Domestic,Tanker,1
2023-03-27,LTU,Domestic,Cargo,2
2023-01-09,MJU,Domestic,Passenger,1
2023-03-27,IBP,Domestic,Tanker,2
2023-10-12,TRE,Domestic,Cargo,17
2023-03-19,TPR,Foreign,Cargo,4
2023-12-20,IBP,Foreign,Tanker,3
2023-11-17,TPR,Foreign,Cargo,3
2023-06-23,IBP,Foreign,Cargo,1
2023-05-14,TPR,Domestic,Cargo,5
2023-10-17,BIK,Domestic,Other,1
