,mmsi,vessel_name,Port,dt_pos_utc,fc_vessel,OperatorCountryOfRegistration,OperatorCountryofDomicileName,vessel_type,ns_vessel,draught,diff_time,diff_time_hours,diff_time_minutes
0,525004139,TRANSKO ARIES,REO,2023-01-05,Indonesia,Indonesia,Indonesia,Tanker,Moored,5.2,6954,1.931666667,115.9
1,525004139,TRANSKO ARIES,REO,2023-01-25,Indonesia,Indonesia,Indonesia,Tanker,Moored,6.1,20853,5.7925,347.55
2,525004139,TRANSKO ARIES,REO,2023-02-06,Indonesia,Indonesia,Indonesia,Tanker,Under Way Using Engine,5.3,495,0.1375,8.25
3,525004139,TRANSKO ARIES,REO,2023-02-13,Indonesia,Indonesia,Indonesia,Tanker,Moored,6.4,5456,1.515555556,90.93333333
4,525004139,TRANSKO ARIES,REO,2023-03-03,Indonesia,Indonesia,Indonesia,Tanker,Moored,5.7,5061,1.405833333,84.35
5,525004139,TRANSKO ARIES,REO,2023-03-11,Indonesia,Indonesia,Indonesia,Tanker,Moored,5.3,2575,0.715277778,42.91666667
6,525004139,TRANSKO ARIES,REO,2023-03-19,Indonesia,Indonesia,Indonesia,Tanker,Moored,4.9,5979,1.660833333,99.65
7,525004139,TRANSKO ARIES,REO,2023-03-31,Indonesia,Indonesia,Indonesia,Tanker,Moored,6.2,25785,7.1625,429.75
8,525004139,TRANSKO ARIES,REO,2023-04-07,Indonesia,Indonesia,Indonesia,Tanker,Moored,5.5,3411,0.9475,56.85
9,525004139,TRANSKO ARIES,REO,2023-04-15,Indonesia,Indonesia,Indonesia,Tanker,Moored,5.8,6766,1.879444444,112.7666667
10,525004139,TRANSKO ARIES,REO,2023-04-23,Indonesia,Indonesia,Indonesia,Tanker,Moored,6.5,20515,5.698611111,341.9166667
11,525004139,TRANSKO ARIES,REO,2023-05-04,Indonesia,Indonesia,Indonesia,Tanker,Moored,5.8,6734,1.870555556,112.2333333
12,525004139,TRANSKO ARIES,REO,2023-06-02,Indonesia,Indonesia,Indonesia,Tanker,Moored,5.1,3757,1.043611111,62.61666667
13,525004139,TRANSKO ARIES,REO,2023-07-02,Indonesia,Indonesia,Indonesia,Tanker,Moored,6.5,9421,2.616944444,157.0166667
14,525004139,TRANSKO ARIES,REO,2023-07-09,Indonesia,Indonesia,Indonesia,Tanker,Moored,5.2,2211,0.614166667,36.85
15,525004139,TRANSKO ARIES,REO,2023-07-20,Indonesia,Indonesia,Indonesia,Tanker,Moored,6.4,24894,6.915,414.9
16,525008003,MT MINAS / P.35,REO,2023-06-03,Indonesia,Indonesia,Indonesia,Tanker,Moored,3.8,29021,8.061388889,483.6833333
17,525010062,MT.SERENA III,REO,2023-12-06,Indonesia,Indonesia,Indonesia,Tanker,At Anchor,5.3,14839,4.121944444,247.3166667
18,525025057,MERATUS SIBOLGA,REO,2023-02-10,Indonesia,Indonesia,Indonesia,Cargo,Moored,4.4,179,0.049722222,2.983333333
19,525025057,MERATUS SIBOLGA,REO,2023-02-10,Indonesia,Indonesia,Indonesia,Cargo,Moored,4.4,361,0.100277778,6.016666667
20,525025057,MERATUS SIBOLGA,REO,2023-02-11,Indonesia,Indonesia,Indonesia,Cargo,Moored,4.4,360,0.1,6
21,525025057,MERATUS SIBOLGA,REO,2023-02-19,Indonesia,Indonesia,Indonesia,Cargo,Moored,4.6,180,0.05,3
22,525025057,MERATUS SIBOLGA,REO,2023-02-19,Indonesia,Indonesia,Indonesia,Cargo,Moored,4.6,359,0.099722222,5.983333333
23,525025057,MERATUS SIBOLGA,REO,2023-02-20,Indonesia,Indonesia,Indonesia,Cargo,Moored,4.6,178,0.049444444,2.966666667
24,525025057,MERATUS SIBOLGA,REO,2023-02-20,Indonesia,Indonesia,Indonesia,Cargo,Moored,4.6,179,0.049722222,2.983333333
25,525117007,MT.FALCON19,REO,2023-11-28,Indonesia,Indonesia,Indonesia,Tanker,At Anchor,6,180,0.05,3
26,525119034,MT MAHOGANI BANDA,REO,2023-05-30,Indonesia,Indonesia,Indonesia,Tanker,At Anchor,0,56546,15.70722222,942.4333333
27,525501386,NTT SEJAHTERA,REO,2023-06-16,Indonesia,Vietnam,Vietnam,Cargo,Moored,6.1,44745,12.42916667,745.75
28,525501386,NTT SEJAHTERA,REO,2023-09-17,Indonesia,Vietnam,Vietnam,Cargo,Moored,6.1,539,0.149722222,8.983333333
29,525501386,NTT SEJAHTERA,REO,2023-09-20,Indonesia,Vietnam,Vietnam,Cargo,Moored,6.1,717,0.199166667,11.95
30,525501386,NTT SEJAHTERA,REO,2023-10-16,Indonesia,Vietnam,Vietnam,Cargo,Moored,6.1,5378,1.493888889,89.63333333
31,525501386,NTT SEJAHTERA,REO,2023-11-28,Indonesia,Vietnam,Vietnam,Cargo,Under Way Using Engine,6.1,180,0.05,3
