date,Port,status_country_domicile,vessel_type,count
12/03/2023,GRE,Foreign,Cargo,7
11/08/2023,SRG,Domestic,Tanker,2
01/10/2023,GRE,Domestic,Other,1
05/03/2023,BDJ,Domestic,Cargo,6
03/06/2023,ING,Domestic,Tanker,1
09/02/2023,SRG,Domestic,Cargo,1
23/06/2023,SUB,Domestic,Cargo,2
04/06/2023,TQP,Domestic,Tanker,1
16/05/2023,TPR,Domestic,Cargo,17
29/05/2023,SRG,Domestic,Cargo,3
31/07/2023,BDJ,Domestic,Cargo,12
30/05/2023,BDJ,Domestic,Pleasure Craft,1
06/07/2023,TPR,Domestic,Pleasure Craft,1
10/06/2023,SUB,Domestic,Cargo,1
18/10/2023,GRE,Domestic,Cargo,10
03/12/2023,BIT,Domestic,Cargo,1
14/06/2023,BUR,Foreign,Passenger,22
13/09/2023,BUR,Foreign,Passenger,32
29/09/2023,BUR,Domestic,Passenger,23
11/01/2023,LTU,Foreign,Tanker,1
17/04/2023,CBN,Foreign,Tanker,1
14/10/2023,BUR,Foreign,Tanker,4
20/07/2023,DUM,Foreign,Tanker,13
18/12/2023,PNJ,Foreign,Tanker,1
11/11/2023,TPR,Foreign,Cargo,11
08/05/2023,FKQ,Domestic,Passenger,2
25/08/2023,FKQ,Domestic,Passenger,1
01/02/2023,BPN,Domestic,Passenger,44
24/05/2023,CXP,Domestic,Tanker,2
07/05/2023,BMU,Domestic,Passenger,1
13/05/2023,LUW,Domestic,Passenger,2
10/07/2023,LBO,Domestic,Passenger,1
10/06/2023,TRE,Domestic,Cargo,1
10/09/2023,BPN,Domestic,Cargo,1
10/03/2023,BUR,Domestic,Passenger,24
03/12/2023,LMR,Domestic,Passenger,14
12/09/2023,GRE,Domestic,Tanker,2
15/12/2023,BOA,Domestic,Passenger,3
30/12/2023,IBP,Domestic,Cargo,8
07/09/2023,TJB,Domestic,Cargo,4
30/04/2023,GRE,Foreign,Tanker,1
28/09/2023,PNJ,Foreign,Cargo,5
03/08/2023,TPR,Foreign,Cargo,12
20/03/2023,GRE,Foreign,Cargo,7
07/04/2023,BIT,Foreign,Tanker,6
12/04/2023,TPR,Domestic,Other,3
16/06/2023,TPR,Domestic,Other,2
19/12/2023,TPR,Domestic,Other,1
19/04/2023,PKS,Domestic,Tanker,1
05/11/2023,BIT,Domestic,Tanker,3
07/07/2023,LMR,Domestic,Passenger,7
18/01/2023,MAK,Foreign,Tanker,1
04/09/2023,BOA,Domestic,Tanker,1
09/03/2023,AMQ,Domestic,Passenger,3
06/04/2023,NAM,Domestic,Passenger,1
27/04/2023,AMQ,Domestic,Passenger,4
03/09/2023,NAM,Domestic,Passenger,2
07/07/2023,BUR,Domestic,Cargo,7
30/11/2023,SUR,Foreign,Cargo,4
26/03/2023,TJB,Foreign,Passenger,2
23/02/2023,BUR,Domestic,Cargo,1
31/07/2023,BLW,Foreign,Cargo,2
30/04/2023,PNJ,Domestic,Passenger,3
13/10/2023,GRE,Domestic,Passenger,6
27/03/2023,IBP,Domestic,Tanker,9
12/10/2023,TBY,Domestic,Tanker,1
25/02/2023,IBP,Domestic,Tanker,6
30/09/2023,GRE,Domestic,Cargo,10
07/05/2023,BIT,Domestic,Tanker,3
28/04/2023,TNJ,Domestic,Passenger,4
19/02/2023,BPN,Foreign,Tanker,1
12/03/2023,ING,Foreign,Tanker,1
23/07/2023,TNJ,Foreign,Passenger,2
12/12/2023,CBN,Foreign,Tanker,1
29/07/2023,BLW,Foreign,Tanker,1
17/10/2023,NDA,Foreign,Pleasure Craft,1
02/08/2023,LTU,Domestic,Passenger,1
04/02/2023,TGP,Domestic,Passenger,1
22/08/2023,TJB,Domestic,Cargo,7
08/09/2023,TJB,Domestic,Cargo,4
05/03/2023,GTO,Domestic,Cargo,3
22/01/2023,AMQ,Domestic,Cargo,1
18/05/2023,BIT,Domestic,Cargo,1
31/08/2023,BIT,Domestic,Cargo,1
23/09/2023,TJB,Domestic,Tanker,4
10/12/2023,DUM,Domestic,Tanker,6
01/07/2023,TJB,Domestic,Passenger,7
24/07/2023,TJB,Domestic,Passenger,8
13/11/2023,TJB,Domestic,Passenger,10
05/08/2023,CBN,Domestic,Passenger,1
12/02/2023,IBP,Foreign,Passenger,1
04/09/2023,IBP,Foreign,Passenger,2
07/10/2023,MSK,Domestic,Passenger,4
06/11/2023,BIT,Domestic,Tanker,3
09/11/2023,BDJ,Domestic,Tanker,14
12/01/2023,MAK,Domestic,Other,1
31/10/2023,DJJ,Domestic,Passenger,2
11/05/2023,GRE,Domestic,Cargo,14
09/03/2023,MAK,Domestic,Tanker,2
15/10/2023,BUR,Domestic,Tanker,3
25/10/2023,IMW,Domestic,Cargo,3
03/11/2023,IMW,Domestic,Cargo,1
18/05/2023,MKW,Domestic,Passenger,3
05/12/2023,SXK,Domestic,Passenger,3
04/10/2023,TTK,Domestic,Passenger,1
24/10/2023,TTK,Domestic,Passenger,1
23/05/2023,SXK,Domestic,Passenger,1
02/08/2023,SKJ,Domestic,Passenger,2
11/02/2023,SUB,Domestic,Tanker,1
07/02/2023,IBP,Domestic,Cargo,7
29/06/2023,PNJ,Domestic,Cargo,4
02/12/2023,DJJ,Domestic,Passenger,1
14/11/2023,IBP,Foreign,Tanker,3
12/07/2023,BUR,Foreign,Cargo,8
27/05/2023,BUR,Foreign,Sailing,2
26/06/2023,BIK,Domestic,Passenger,3
07/03/2023,MSK,Domestic,Cargo,1
10/06/2023,BGG,Domestic,Passenger,2
27/03/2023,LTU,Domestic,Cargo,6
10/02/2023,BUR,Foreign,Cargo,13
27/05/2023,BLW,Foreign,Cargo,4
27/10/2023,TPR,Foreign,Other,1
04/10/2023,LMR,Domestic,Passenger,9
08/04/2023,DJJ,Domestic,Cargo,1
30/01/2023,DJJ,Domestic,Passenger,1
19/03/2023,TPR,Foreign,Cargo,14
24/10/2023,BDJ,Foreign,Cargo,5
09/02/2023,IBP,Domestic,Passenger,92
31/12/2023,AMQ,Domestic,Passenger,2
11/04/2023,KDI,Domestic,Passenger,2
02/02/2023,GRE,Domestic,Passenger,7
06/12/2023,GRE,Domestic,Passenger,11
01/11/2023,IBP,Domestic,Tanker,13
21/03/2023,SLG,Domestic,Cargo,1
29/12/2023,KDI,Domestic,Cargo,2
17/12/2023,SUB,Domestic,Cargo,4
20/07/2023,GRE,Domestic,Cargo,12
