date,Port,status_country_domicile,vessel_type,count
2023-01-11,LTU,Foreign,Tanker,1
2023-04-17,CBN,Foreign,Tanker,1
2023-11-11,TPR,Foreign,Cargo,10
2023-05-08,FKQ,Domestic,Passenger,2
2023-08-25,FKQ,Domestic,Passenger,1
2023-02-01,BPN,Domestic,Passenger,20
2023-05-24,CXP,Domestic,Tanker,2
2023-05-07,BMU,Domestic,Passenger,1
2023-05-13,LUW,Domestic,Passenger,2
2023-06-10,TRE,Domestic,Cargo,1
2023-09-10,BPN,Domestic,Cargo,1
2023-07-31,BDJ,Domestic,Cargo,6
2023-03-19,BPN,Foreign,Other,1
2023-03-10,BUR,Domestic,Passenger,18
2023-09-29,BUR,Domestic,Passenger,18
2023-10-04,LMR,Domestic,Passenger,8
2023-12-03,LMR,Domestic,Passenger,13
2023-09-12,GRE,Domestic,Tanker,3
2023-05-16,TPR,Domestic,Cargo,10
2023-04-30,GRE,Foreign,Tanker,1
2023-08-11,SRG,Domestic,Tanker,2
2023-08-05,CBN,Domestic,Passenger,1
2023-02-12,IBP,Foreign,Passenger,1
2023-09-04,IBP,Foreign,Passenger,2
2023-06-04,TQP,Domestic,Tanker,1
2023-11-06,BIT,Domestic,Tanker,2
2023-11-09,BDJ,Domestic,Tanker,8
2023-05-29,SRG,Domestic,Cargo,3
2023-05-11,GRE,Domestic,Cargo,14
2023-07-01,TJB,Domestic,Passenger,1
2023-03-09,MAK,Domestic,Tanker,1
2023-10-25,IMW,Domestic,Cargo,3
2023-11-03,IMW,Domestic,Cargo,1
2023-06-14,BUR,Foreign,Passenger,19
2023-09-13,BUR,Foreign,Passenger,26
2023-02-10,BUR,Foreign,Cargo,11
2023-07-20,DUM,Foreign,Tanker,7
2023-03-16,SRG,Foreign,Cargo,1
2023-10-18,GRE,Domestic,Cargo,10
2023-10-21,TPR,Domestic,Passenger,2
2023-08-27,SUR,Domestic,Tanker,1
2023-07-21,MKW,Domestic,Passenger,1
2023-11-14,WSR,Domestic,Passenger,1
2023-11-16,WSR,Domestic,Passenger,1
2023-11-29,NBX,Domestic,Passenger,1
2023-09-01,SOQ,Domestic,Tanker,1
2023-01-26,TLI,Domestic,Passenger,1
2023-09-13,TLI,Domestic,Passenger,1
2023-12-30,TJB,Domestic,Cargo,1
2023-08-22,TJB,Domestic,Cargo,3
2023-09-28,PNJ,Foreign,Cargo,3
2023-05-14,SUB,Foreign,Cargo,1
2023-08-03,TPR,Foreign,Cargo,12
2023-08-17,KDI,Foreign,Tanker,1
2023-10-04,TTK,Domestic,Passenger,1
2023-10-24,TTK,Domestic,Passenger,1
2023-07-03,TPR,Domestic,Cargo,7
2023-02-11,SUB,Domestic,Tanker,1
2023-02-07,IBP,Domestic,Cargo,6
