dt_pos_utc,Port,OperatorCountryofDomicileName,vessel_type,count
2023-01-01,AEA,"China, People's Republic Of",Tanker,1
2023-01-01,AMQ,Indonesia,Passenger,1
2023-01-01,AMQ,Indonesia,Tanker,4
2023-01-01,BBM,Indonesia,Passenger,1
2023-01-01,BBM,Indonesia,Tanker,1
2023-01-01,BDJ,Indonesia,Cargo,4
2023-01-01,BDJ,Indonesia,Passenger,2
2023-01-01,BDJ,Netherlands,Cargo,1
2023-01-01,BIK,Indonesia,Passenger,1
2023-01-01,BIT,Indonesia,Cargo,1
2023-01-01,BIT,Indonesia,Tanker,2
2023-01-01,BLW,"Hong Kong, China",Tanker,1
2023-01-01,BLW,Indonesia,Cargo,4
2023-01-01,BLW,Indonesia,Other,1
2023-01-01,BLW,Singapore,Cargo,1
2023-01-01,BLW,Singapore,Tanker,1
2023-01-01,BLW,St Kitts & Nevis,Cargo,1
2023-01-01,BMU,Indonesia,Passenger,1
2023-01-01,BOA,Indonesia,Passenger,1
2023-01-01,BOA,Indonesia,Tanker,3
2023-01-01,BOA,Japan,Fishing,1
2023-01-01,BOA,Singapore,Cargo,2
2023-01-01,BPN,Greece,Cargo,1
2023-01-01,BPN,Indonesia,Cargo,2
2023-01-01,BPN,Indonesia,Other,1
2023-01-01,BPN,Indonesia,Passenger,13
2023-01-01,BPN,Indonesia,Tanker,6
2023-01-01,BPN,Japan,Cargo,1
2023-01-01,BPN,Japan,Tanker,1
2023-01-01,BUR,Indonesia,Cargo,2
2023-01-01,BUR,Indonesia,Other,7
2023-01-01,BUR,Indonesia,Passenger,19
2023-01-01,BUR,Indonesia,Tanker,3
2023-01-01,BUR,Netherlands,Cargo,1
2023-01-01,BUR,Saudi Arabia,Passenger,8
2023-01-01,BUR,Singapore,Cargo,2
2023-01-01,BUR,Singapore,Passenger,14
2023-01-01,BUR,Singapore,Tanker,1
2023-01-01,CXP,Indonesia,Cargo,2
2023-01-01,CXP,Singapore,Tanker,1
2023-01-01,DUM,Denmark,Tanker,1
2023-01-01,DUM,"Hong Kong, China",Tanker,1
2023-01-01,DUM,Indonesia,Passenger,1
2023-01-01,DUM,Indonesia,Pleasure Craft,1
2023-01-01,DUM,Indonesia,Tanker,5
2023-01-01,DUM,Japan,Cargo,3
