,ShipName,mmsi,avg_lat,avg_lng,flag_country,vessel_type,mode_nav_status,obs_time,time_lower,time_upper,imo,RegisteredOwnerCountryofDomicile,RegisteredOwnerCountryOfRegistration
35160,TREASURE,636016742,1.2874447165040648,103.97538383487803,Liberia,Cargo,At Anchor,2023-03-12 05:09:18,9,9,9184859,Liberia,Liberia
35161,MERATUS KAHAYAN,525025101,-6.102253406544118,106.88800245080881,Indonesia,Cargo,Moored,2023-03-12 05:16:57,26,25,9760330,Indonesia,Indonesia
35162,MUMTAZ,525120028,-5.893336801986301,106.1069079680822,Indonesia,Cargo,At Anchor,2023-03-12 05:18:17,9,9,9423487,Indonesia,Indonesia
35163,HY CHAMPION,566382000,1.291632085,104.011233251,Singapore,Tanker,At Anchor,2023-03-12 05:22:24,49,3,9627655,Singapore,Singapore
35164,WILMA II,352002401,1.1090763124731184,103.6115344982258,Panama,Tanker,At Anchor,2023-03-12 05:25:34,25,24,9247431,Panama,Panama
35165,NORD BRAVE,373701000,-5.920206457916667,105.99578649333334,Panama,Cargo,Moored,2023-03-12 05:30:23,12,12,9473690,Japan,Panama
35166,SULTAN MAHMUD BADARUDDIN II,525018008,-7.14629316882716,112.6598763065432,Indonesia,Tanker,Moored,2023-03-12 05:31:33,36,32,8303240,Indonesia,Indonesia
35167,RONG JIN ZHI LU,563105600,-5.8669507308333335,106.08199875208334,Singapore,Tanker,At Anchor,2023-03-12 05:34:54,3,3,9560986,Singapore,Singapore
35168,YONG JI LI,354863000,-6.0086059653480834,105.95850332811655,Panama,Cargo,Moored,2023-03-12 05:35:44,126,122,9119995,"China, People's Republic Of","Hong Kong, China"
35169,MUHARRIK,525120026,-5.885006666545455,106.11289939454548,Indonesia,Cargo,At Anchor,2023-03-12 05:36:50,17,16,9317494,Indonesia,Indonesia
35170,YM RESPECT,538010192,-5.5064583350000005,105.28312499750001,Marshall Islands,Cargo,At Anchor,2023-03-12 05:37:11,1,1,9937218,Japan,Panama
35171,CHRISTOS K,235102468,-3.919343258656716,115.75322032328359,UK,Cargo,At Anchor,2023-03-12 05:42:00,14,14,9700081,Marshall Islands,Marshall Islands
35172,MERATUS KATINGAN,525025102,-6.100825243314606,106.88804893207866,Indonesia,Cargo,At Anchor,2023-03-12 05:45:13,36,35,9760342,Indonesia,Indonesia
35173,RU YI II,563137200,-1.253440697936118,116.81211561646194,Singapore,Cargo,Moored,2023-03-12 05:50:55,25,24,9359947,Singapore,Singapore
35174,AGIOS IOANNIS,209927000,-3.9316378721985816,115.73999744666665,Cyprus,Cargo,At Anchor,2023-03-12 05:51:41,25,24,9244233,Cyprus,Cyprus
35175,TRIAKSA 17,525119025,3.7902087744117647,98.70926254794118,Indonesia,Tanker,Moored,2023-03-12 05:54:53,29,27,9785665,Indonesia,Indonesia
35176,HARMONY,477847600,-3.907128265833333,115.80395737291668,Hong Kong,Cargo,At Anchor,2023-03-12 05:55:05,6,6,9492737,"Hong Kong, China","Hong Kong, China"
35177,TRANSKO TAURUS,525104016,3.2392489581249997,117.695977709375,Indonesia,Tanker,At Anchor,2023-03-12 05:55:34,12,6,9556739,Indonesia,Indonesia
35178,INTAN DAYA 4,525010070,-7.205316428351648,112.72354725000001,Indonesia,Cargo,Moored,2023-03-12 05:57:43,9,5,9628958,Indonesia,Indonesia
35179,PANCARAN NUSANTARA,525401069,-5.943941996610169,106.13329585706214,Indonesia,Tanker,At Anchor,2023-03-12 06:00:43,478,471,9354492,Indonesia,Indonesia
35180,SAWASDEE SIRIUS,538010061,-6.1035053634574465,106.89246729611702,Marshall Islands,Cargo,Moored,2023-03-12 06:03:13,37,37,9943774,Marshall Islands,Marshall Islands
35181,MERATUS MALINO,525025089,-6.103698946456457,106.88699224477475,Indonesia,Cargo,Moored,2023-03-12 06:06:30,44,20,9106625,Indonesia,Indonesia
35182,SUNGAI GERONG,525008073,-5.992394069767442,106.91741038697673,Indonesia,Tanker,At Anchor,2023-03-12 06:08:24,9,8,9509906,Indonesia,Indonesia
35183,GASLOG SHANGHAI,310644000,1.4220391504081635,125.1479298289796,Bermuda,Cargo,At Anchor,2023-03-12 06:09:57,3,3,9600528,"Hong Kong, China","Hong Kong, China"
35184,SEA BEIJING,538004438,1.2694188732394367,103.95125647901408,Marshall Islands,Cargo,At Anchor,2023-03-12 06:22:11,14,14,9575448,Marshall Islands,Marshall Islands
35185,CL MONA,636021660,-3.9490191820754723,115.761699465283,Liberia,Cargo,At Anchor,2023-03-12 06:24:16,10,10,9639567,"China, People's Republic Of","China, People's Republic Of"
35186,BERGPRAI,567041400,1.715,101.46177778066667,Thailand,Tanker,At Anchor,2023-03-12 06:24:42,3,2,9065089,Thailand,Thailand
35187,ELISABETH P.,538009388,-7.196846013999999,112.70849706908332,Marshall Islands,Cargo,Moored,2023-03-12 06:26:41,24,24,9320142,Marshall Islands,Marshall Islands
35188,PARIGI P1030,525108006,-3.677195468617887,128.15273166262193,Indonesia,Tanker,At Anchor,2023-03-12 06:27:11,28,28,9755634,Indonesia,Indonesia
35189,BBG LAIBIN,636020830,-5.553368791063828,105.29943262297873,Liberia,Cargo,At Anchor,2023-03-12 06:27:34,3,3,9929041,"China, People's Republic Of","China, People's Republic Of"
35190,AS MARINE DUA,525021323,-7.189812785410628,112.72101918671497,Indonesia,Tanker,At Anchor,2023-03-12 06:33:57,41,40,9736482,Indonesia,Indonesia
35191,FORTRESS,257507000,1.1611463092436491,103.9654047050173,Norway,Cargo,At Anchor,2023-03-12 06:34:34,473,473,9126455,Netherlands,Belgium
35192,EVER BEST,564526000,1.2938079175000001,104.08815444499999,Singapore,Tanker,Moored,2023-03-12 06:35:34,20,2,9704893,Singapore,Singapore
35193,YU TONG,413291020,0.03940215282178218,117.52764077603959,China,Tanker,Moored,2023-03-12 06:35:51,32,32,9931185,"China, People's Republic Of","China, People's Republic Of"
35194,HAMMADA,525120022,-3.919967479756097,115.73983451219512,Indonesia,Cargo,At Anchor,2023-03-12 06:45:21,12,11,9267625,Indonesia,Indonesia
35195,THEA,511100924,1.2811063320087335,103.97725880633189,Palau,Tanker,At Anchor,2023-03-12 06:46:15,38,37,9231468,"Hong Kong, China","Hong Kong, China"
35196,MERLION 28,563848000,1.2937530648589342,103.97395375489027,Singapore,Tanker,At Anchor,2023-03-12 06:46:25,82,25,9537238,Singapore,Singapore
35197,HS GLORY,370857000,-5.110149214216245,119.37263282758404,Panama,Cargo,At Anchor,2023-03-12 06:49:27,129,129,9397250,"Korea, South","Korea, South"
35198,BELLINA COLOSSUS,566923000,-3.930549042127659,115.77126195042551,Singapore,Cargo,At Anchor,2023-03-12 06:49:35,10,9,9552977,Singapore,Singapore
35199,HONG RUN 6,636019187,-3.906059445666666,115.79034722166666,Liberia,Cargo,At Anchor,2023-03-12 06:51:12,7,6,9233583,"China, People's Republic Of","Hong Kong, China"
35200,GENCO PREDATOR,538002113,-3.908555747931035,115.76271551724135,Marshall Islands,Cargo,At Anchor,2023-03-12 06:55:04,7,7,9316165,United States Of America,Marshall Islands
35201,BULK ORIANNA,352001589,-3.8969320563829783,115.72591262382979,Panama,Cargo,At Anchor,2023-03-12 07:00:10,11,11,9500039,Vietnam,Vietnam
35202,ANL KOKODA,248756000,-6.105706175234901,106.89144240731542,Malta,Cargo,Moored,2023-03-12 07:10:50,9,9,9516765,Singapore,Singapore
35203,XIN DONG GUAN 12,414379000,-3.9331916669230766,115.75585512769233,China,Cargo,At Anchor,2023-03-12 07:17:58,6,5,9229415,"China, People's Republic Of","China, People's Republic Of"
35204,PROMETHEUS,538004707,-3.919833443409669,115.68588099229007,Marshall Islands,Cargo,At Anchor,2023-03-12 07:19:34,121,120,9513854,Marshall Islands,Marshall Islands
35205,CETUS TIGER,355655000,-3.729040128461539,114.49371397615386,Panama,Cargo,At Anchor,2023-03-12 07:19:52,84,78,9606003,Marshall Islands,Marshall Islands
35206,CEMTRANS,525023247,-3.302222688860245,114.56720119626864,Indonesia,Cargo,Moored,2023-03-12 07:20:33,295,126,7911571,Indonesia,Indonesia
35207,MSC KILIMANJARO IV,636013001,-7.196068995068494,112.70450363027396,Liberia,Cargo,Moored,2023-03-12 07:20:49,14,14,9318175,Liberia,Liberia
35208,DAIWAN MIRACLE,636018638,1.2931287152083335,103.99995402770833,Liberia,Cargo,At Anchor,2023-03-12 07:27:30,9,9,9796547,Chinese Taipei,Panama
35209,WHITE FIN,256608000,3.2381356401282044,117.60029737217948,Malta,Cargo,At Anchor,2023-03-12 07:30:30,7,7,9607291,Malta,Malta
35210,VOSCO UNITY,574682000,-3.9040266646153845,115.70301128061537,Vietnam,Cargo,At Anchor,2023-03-12 07:32:57,5,5,9290983,Vietnam,Vietnam
35211,YM RESPECT,538010192,-5.5051515154545445,105.28371211863636,Marshall Islands,Cargo,At Anchor,2023-03-12 07:34:09,1,1,9937218,Japan,Panama
35212,AURORA CHRISTINE,525100510,-5.874315147058823,106.11356529382353,Indonesia,Cargo,At Anchor,2023-03-12 07:36:22,11,10,9214862,Indonesia,Indonesia
35213,CAPE ADVANCE,636015917,1.291242988275862,104.0532227589655,Liberia,Cargo,At Anchor,2023-03-12 07:38:18,12,11,9621314,Japan,Japan
35214,HAI SOON 16,566754000,1.25225144,103.90703038045454,Singapore,Tanker,Moored,2023-03-12 07:40:29,7,6,9666338,Singapore,Singapore
35215,DECORUM,566449000,1.2917396603738318,103.96013755457945,Singapore,Tanker,At Anchor,2023-03-12 07:47:23,50,12,9635078,Singapore,Singapore
35216,PRIMA DHARMA,311000303,-5.967132546535343,105.98196118339517,Bahamas,Tanker,At Anchor,2023-03-12 07:47:24,74,63,9254953,Indonesia,Indonesia
35217,HIMIKO,525100681,-3.97579861,122.61147638916667,Indonesia,Tanker,Moored,2023-03-12 07:47:46,13,3,8965335,Indonesia,Indonesia
35218,EASTERN CAMELLIA,477435300,-3.9358275759595953,115.68809882121211,Hong Kong,Cargo,At Anchor,2023-03-12 07:48:39,21,21,9617480,"China, People's Republic Of","China, People's Republic Of"
35219,NATURE SPIRIT,636022213,1.2814827963677127,103.94578559838564,Liberia,Tanker,At Anchor,2023-03-12 07:53:07,19,18,9223722,"Hong Kong, China","Hong Kong, China"
35220,MANDRAGUNA,525119060,-6.026626272010869,106.93090869195653,Indonesia,Cargo,At Anchor,2023-03-12 07:53:16,19,19,8710168,Indonesia,Indonesia
35221,HE FAN,352986195,-3.9317449200000008,115.78432325380953,Panama,Cargo,At Anchor,2023-03-12 07:54:09,5,4,9225201,Marshall Islands,Marshall Islands
35222,TANTO LANCAR,525013040,-6.102062532828947,106.87604997855264,Indonesia,Cargo,Moored,2023-03-12 07:54:46,31,31,9786592,Indonesia,Indonesia
35223,MARE MAS,525019510,-3.6781927142857147,128.1443276667143,Indonesia,Cargo,At Anchor,2023-03-12 07:56:33,15,14,9564061,Indonesia,Indonesia
35224,AM OCEAN STAR,538009436,-7.1385416971513616,112.65681056753404,Marshall Islands,Cargo,Moored,2023-03-12 07:59:32,137,136,9336385,Panama,Panama
35225,GT FREEDOM,351616000,1.0814093652380952,104.20967761923811,Panama,Tanker,Moored,2023-03-12 07:59:51,23,22,9254927,Vietnam,Vietnam
35226,EAGLE ASIA 12,351243000,-5.960002527666666,105.99644672233333,Panama,Tanker,Moored,2023-03-12 08:01:13,12,12,9819997,Singapore,Panama
35227,YUAN LIAN WAN,412418000,1.2817211025471695,103.99601522797168,China,Tanker,At Anchor,2023-03-12 08:03:24,18,17,9845960,"China, People's Republic Of","China, People's Republic Of"
35228,MARS,565121000,1.292189525357143,103.99988035678572,Singapore,Tanker,Moored,2023-03-12 08:07:39,5,5,9661443,Singapore,Singapore
35229,MALALA VII,525301161,-3.9738073684210526,122.6323183331579,Indonesia,Tanker,At Anchor,2023-03-12 08:11:04,7,3,9303297,Indonesia,Indonesia
35230,ALMERA,477861100,-5.527703703777778,105.3120740757778,Hong Kong,Cargo,At Anchor,2023-03-12 08:11:35,3,3,9492206,Germany,Germany
35231,DOUBLE HAPPINESS,566946000,1.2925213723529412,103.98419401941176,Singapore,Tanker,Moored,2023-03-12 08:12:28,4,3,9655779,Singapore,Singapore
35232,CSSC LIAO NING,477528700,1.2773224602797204,103.98221533993006,Hong Kong,Tanker,At Anchor,2023-03-12 08:13:38,10,9,9875783,Singapore,"Hong Kong, China"
35233,GB VENTURE,565458000,-1.0429437298507462,100.34225034955224,Singapore,Tanker,At Anchor,2023-03-12 08:14:21,5,4,9539016,Singapore,Singapore
35234,OCEAN PHOENIX,564310000,-3.902296348483146,115.67751797747192,Singapore,Cargo,At Anchor,2023-03-12 08:14:27,53,52,9175638,Indonesia,Indonesia
35235,NARIVA,525021383,-1.3605141974074078,116.92328271592591,Indonesia,Tanker,At Anchor,2023-03-12 08:15:11,140,6,9172715,Indonesia,Indonesia
35236,FM BREEZE,567069800,-0.9976590339252336,100.38044797504672,Thailand,Tanker,Moored,2023-03-12 08:17:09,21,20,9479761,Malaysia,Malaysia
35237,INTEGRITY,566975000,1.2915612752941177,104.05264078470589,Singapore,Tanker,Moored,2023-03-12 08:17:53,4,3,9677753,Singapore,Singapore
35238,ENTHRAL,563451000,1.2926247635714285,103.98371749857144,Singapore,Tanker,Moored,2023-03-12 08:19:11,2,2,9671888,Singapore,Singapore
