imo,H3_int_index_8,message_type,mmsi,dt_insert_utc,longitude,latitude,vessel_name,callsign,vessel_type,vessel_type_code,vessel_type_cargo,vessel_class,length,width,flag_country,flag_code,destination,eta,draught,sog,cog,rot,heading,nav_status,nav_status_code,source,dt_pos_utc,dt_static_utc,vessel_type_main,vessel_type_sub,eeid,source_filename,H3index_0,H3_int_index_0,H3_int_index_1,H3_int_index_2,H3_int_index_3,H3_int_index_4,H3_int_index_5,H3_int_index_6,H3_int_index_7,H3_int_index_9,H3_int_index_10,H3_int_index_11,H3_int_index_12,H3_int_index_13,H3_int_index_14,H3_int_index_15,imo_ihs,StatCode5,AlterationsDescriptiveNarrative,PropulsionTypeCode,ShipName,ExName,mmsi_ihs,RegisteredOwnerCode,RegisteredOwnerCountryOfRegistration,RegisteredOwnerCountryofDomicile,ShipManagerCompanyCode,ShipManagerCountryOfRegistration,ShipManagerCountryofDomicileName,GroupBeneficialOwnerCompanyCode,GroupBeneficialOwnerCountryOfRegistration,GroupBeneficialOwnerCountryofDomicile,OperatorCompanyCode,OperatorCountryOfRegistration,OperatorCountryofDomicileName,FlagCode,PortofRegistryCode,Tonnagesystem69convention,GrossTonnage,Deadweight,LengthOverallLOA,LengthBetweenPerpendicularsLBP,LengthRegistered,DateOfBuild,ShipbuilderCompanyCode,YardNumber,NumberofDecks,HoldsDescriptiveNarrative,TanksDescriptiveNarrative,NumberofHatches,NumberofHolds,NumberofTanks,InsulatedCapacity,TEU,NumberofMainEngines,Powerbhpihpshpmax,Powerkwmax,MainEngineBuilderCode,MainEngineDesigner,MainEngineModel,Speed,Speedmax,Speedservice,FuelConsumptionTotal,callsign_dup1,OfficialNumber,HullMaterialCode,DeathDate,DateBreakingCommenced,CompensatedGrossTonnageCGT,HullTypeCode,MARPOL13GPhaseoutCategory,PermanentBallastCapacity,SegregatedBallastTanks,HeatingCoilsinCargoTanks,FlashPointOver60c,FlashPointUnder60c,ShipStatusCode,ShipStatusEffectiveDate,ClassificationSocietyCode,AuxiliaryEnginesNarrative,BreadthExtreme,BreadthMoulded,ClassNarrative,ClassificationSociety,ConstructionDescriptiveNarrative,ConsumptionSpeed1,ConsumptionSpeed2,ConsumptionValue1,ConsumptionValue2,Depth,Displacement,SummerDraught,FlagName,FuelType1Capacity,FuelType1First,FuelType2Capacity,FuelType2Second,IceCapabilityDescriptiveNarrative,LightDisplacementTonnage,MainEngineRPM,MainEngineStrokeType,MainEngineType,NetTonnage,NumberOfAllEngines,NumberOfAuxiliaryEngines,NumberofGenerators,NumberOfPropulsionUnits,NumberofThrusters,Powerbhpihpshpservice,Powerkwservice,PrimeMoverDescriptiveNarrative,PropellerType,PropulsionType,ShipStatus,ShiptypeLevel5,TotalBunkerCapacity,TotalHorsepowerofAuxiliaryGenerators,TotalHorsepowerofMainEngines,TotalHorsepowerofMainGenerators,TotalKilowattsofMainEngines,TotalPowerOfAllEngines,TotalPowerOfAuxiliaryEngines,matchBy,previous_freq,previous_h3,freq,status_country_domicile,status_country_register,status_country_flag,boundary_h3
9504750,614267366670335999,27,305857000,2023-02-01 04:33:04,99.535,4.25,BBC EMERALD,V2FZ2,Cargo,70,,A,154.0,24.0,Antigua and Barbuda,305,MY PKG,2010400,9.1,15.0,121.0,0.0,0.0,Under Way Using Engine,0,S-AIS,2023-02-01 04:32:51,2023-01-29 18:40:49,General Cargo Ship,,5035084934155010536,s3a://ungp-ais-data-historical-backup/exact-earth-data/prod/year=2023/month=02/day=01/20230201043413.csv.gz,8065fffffffffff,578255155279953919,582745560767791103,587245861860278271,591749392768172031,596252975215673343,600756170042376191,605259769535528959,609763767051354111,618770568362590207,623274167989895167,627777767617253375,632281367244622847,636784966871993151,641288566499363639,645792166126734130,9504750,A31A2GX,,DD,BBC EMERALD,North Sea Favour,305857000,6029428,Germany,Germany,6025045,Germany,Germany,1183357,Germany,Germany,6383831,Germany,Germany,ABB,7778,I,12838,14371,153.48,145.5,0.0,201306,CHR241090,JZ1030,1,"2 Steel (Unspecified) Centre Or Only Dry Cargo Hold(s),2 Steel (Unspecified) Centre Or Only Tween Deck(s)",,2,2,,0,987,1,8810,6480,KRS525600,MAN-B&W,6S46MC-C8,17.5,0.0,17.5,0.0,V2FZ2,,ST,,,0,,,,,Unknown,,,S,20130606,NV,"Design: Man-B&W, Engine Builder: Man-B&W 2 x 6L23/30H, Mcr: 800 kW Design: Man-B&W, Engine Builder: Man-B&W 1 x 8L23/30H, Mcr: 1050 kW",23.45,23.2,"Det Norske Veritas (2013-06-00) NV: Special Survey Date: 2023-05-05 Class Notation: +/ 100 A5 E3 Multi-purpose dry cargo ship BWM Equipped for carriage of containers DBC SOLAS-II-2,Reg.19 IW Strengthened for heavy cargo",Det Norske Veritas 2013-06,Statcode5:A31A2GX; Hull Material:Steel; Strengthened for heavy cargoes; Hull Connections:Welded; Decks:1 dk; Bulbous bow,18.5,,37.0,,12.8,22989,9.1,Antigua & Barbuda,303.0,Distillate Fuel,1349.0,Residual Fuel,FS Ice Class 1A,8618,115,2,Oil,5968,4,3,,1,1,0,0,"1 oil engine driving 1 FP propeller  at 115 rpm Total Power:  Mcr 6,480kW (8,810hp)Service Speed: 17.50kts Speed & Consumption: 18.50 knots on 37.00 tonnes per day",Fixed Pitch,"Oil Engine(s), Direct Drive",In Service/Commission,General Cargo Ship,1652.0,3285,8810,,6480,9130,2650,imo,2023-02-01 04:26:49,609763369129345023,0.10055555555555555,Foreign,Foreign,Foreign,
9504750,614268779070750719,27,305857000,2023-02-02 12:58:17,102.16166667,1.97666667,BBC EMERALD,V2FZ2,Cargo,70,,A,154.0,24.0,Antigua and Barbuda,305,KR ONS,2120100,9.0,15.0,132.0,0.0,0.0,Under Way Using Engine,0,S-AIS,2023-02-02 12:57:58,2023-02-02 12:39:08,General Cargo Ship,,5035084934155010536,s3a://ungp-ais-data-historical-backup/exact-earth-data/prod/year=2023/month=02/day=02/20230202130013.csv.gz,8065fffffffffff,578255155279953919,582745560767791103,587247511127719935,591750835877183487,596254383964946431,600757980371091455,605261579864244223,609765179458060287,618772378697859071,623275978325164031,627779577952514047,632283177579884031,636786777207254399,641290376834624847,645793976461995337,9504750,A31A2GX,,DD,BBC EMERALD,North Sea Favour,305857000,6029428,Germany,Germany,6025045,Germany,Germany,1183357,Germany,Germany,6383831,Germany,Germany,ABB,7778,I,12838,14371,153.48,145.5,0.0,201306,CHR241090,JZ1030,1,"2 Steel (Unspecified) Centre Or Only Dry Cargo Hold(s),2 Steel (Unspecified) Centre Or Only Tween Deck(s)",,2,2,,0,987,1,8810,6480,KRS525600,MAN-B&W,6S46MC-C8,17.5,0.0,17.5,0.0,V2FZ2,,ST,,,0,,,,,Unknown,,,S,20130606,NV,"Design: Man-B&W, Engine Builder: Man-B&W 2 x 6L23/30H, Mcr: 800 kW Design: Man-B&W, Engine Builder: Man-B&W 1 x 8L23/30H, Mcr: 1050 kW",23.45,23.2,"Det Norske Veritas (2013-06-00) NV: Special Survey Date: 2023-05-05 Class Notation: +/ 100 A5 E3 Multi-purpose dry cargo ship BWM Equipped for carriage of containers DBC SOLAS-II-2,Reg.19 IW Strengthened for heavy cargo",Det Norske Veritas 2013-06,Statcode5:A31A2GX; Hull Material:Steel; Strengthened for heavy cargoes; Hull Connections:Welded; Decks:1 dk; Bulbous bow,18.5,,37.0,,12.8,22989,9.1,Antigua & Barbuda,303.0,Distillate Fuel,1349.0,Residual Fuel,FS Ice Class 1A,8618,115,2,Oil,5968,4,3,,1,1,0,0,"1 oil engine driving 1 FP propeller  at 115 rpm Total Power:  Mcr 6,480kW (8,810hp)Service Speed: 17.50kts Speed & Consumption: 18.50 knots on 37.00 tonnes per day",Fixed Pitch,"Oil Engine(s), Direct Drive",In Service/Commission,General Cargo Ship,1652.0,3285,8810,,6480,9130,2650,imo,2023-02-02 12:54:59,609765179458060287,0.04972222222222222,Foreign,Foreign,Foreign,
9504750,614348991368265727,27,305857000,2023-02-03 18:05:09,106.445,4.83833333,BBC EMERALD,V2FZ2,Cargo,70,,A,154.0,24.0,Antigua and Barbuda,305,KR ONS,2120100,9.0,14.0,33.0,0.0,0.0,Under Way Using Engine,0,S-AIS,2023-02-03 18:04:50,2023-02-03 01:21:37,General Cargo Ship,,5035084934155010536,s3a://ungp-ais-data-historical-backup/exact-earth-data/prod/year=2023/month=02/day=03/20230203180613.csv.gz,8065fffffffffff,578255155279953919,582824725604990975,587327775476547583,591831031506534399,596334596774166527,600838193180311551,605341792136593407,609845391747186687,618852590995374079,623356190622515199,627859790249873407,632363389877241343,636866989504611647,641370589131982103,645874188759536201,9504750,A31A2GX,,DD,BBC EMERALD,North Sea Favour,305857000,6029428,Germany,Germany,6025045,Germany,Germany,1183357,Germany,Germany,6383831,Germany,Germany,ABB,7778,I,12838,14371,153.48,145.5,0.0,201306,CHR241090,JZ1030,1,"2 Steel (Unspecified) Centre Or Only Dry Cargo Hold(s),2 Steel (Unspecified) Centre Or Only Tween Deck(s)",,2,2,,0,987,1,8810,6480,KRS525600,MAN-B&W,6S46MC-C8,17.5,0.0,17.5,0.0,V2FZ2,,ST,,,0,,,,,Unknown,,,S,20130606,NV,"Design: Man-B&W, Engine Builder: Man-B&W 2 x 6L23/30H, Mcr: 800 kW Design: Man-B&W, Engine Builder: Man-B&W 1 x 8L23/30H, Mcr: 1050 kW",23.45,23.2,"Det Norske Veritas (2013-06-00) NV: Special Survey Date: 2023-05-05 Class Notation: +/ 100 A5 E3 Multi-purpose dry cargo ship BWM Equipped for carriage of containers DBC SOLAS-II-2,Reg.19 IW Strengthened for heavy cargo",Det Norske Veritas 2013-06,Statcode5:A31A2GX; Hull Material:Steel; Strengthened for heavy cargoes; Hull Connections:Welded; Decks:1 dk; Bulbous bow,18.5,,37.0,,12.8,22989,9.1,Antigua & Barbuda,303.0,Distillate Fuel,1349.0,Residual Fuel,FS Ice Class 1A,8618,115,2,Oil,5968,4,3,,1,1,0,0,"1 oil engine driving 1 FP propeller  at 115 rpm Total Power:  Mcr 6,480kW (8,810hp)Service Speed: 17.50kts Speed & Consumption: 18.50 knots on 37.00 tonnes per day",Fixed Pitch,"Oil Engine(s), Direct Drive",In Service/Commission,General Cargo Ship,1652.0,3285,8810,,6480,9130,2650,imo,2023-02-03 18:01:49,609845379751477247,0.050277777777777775,Foreign,Foreign,Foreign,
9504750,614269540846534655,27,305857000,2023-02-02 10:19:09,101.63833333,2.4,BBC EMERALD,V2FZ2,Cargo,70,,A,154.0,24.0,Antigua and Barbuda,305,KR ONS,2120100,9.0,15.0,133.0,0.0,0.0,Under Way Using Engine,0,S-AIS,2023-02-02 10:18:49,2023-02-02 10:09:05,General Cargo Ship,,5035084934155010536,s3a://ungp-ais-data-historical-backup/exact-earth-data/prod/year=2023/month=02/day=02/20230202102013.csv.gz,8065fffffffffff,578255155279953919,582745560767791103,587245312104464383,591748774292881407,596252348150448127,600755941335367679,605262341684068351,609765941227552767,618773140472594431,623276740099735551,627780339727278079,632283939354645503,636787538982015871,641291138609386319,645794738236756811,9504750,A31A2GX,,DD,BBC EMERALD,North Sea Favour,305857000,6029428,Germany,Germany,6025045,Germany,Germany,1183357,Germany,Germany,6383831,Germany,Germany,ABB,7778,I,12838,14371,153.48,145.5,0.0,201306,CHR241090,JZ1030,1,"2 Steel (Unspecified) Centre Or Only Dry Cargo Hold(s),2 Steel (Unspecified) Centre Or Only Tween Deck(s)",,2,2,,0,987,1,8810,6480,KRS525600,MAN-B&W,6S46MC-C8,17.5,0.0,17.5,0.0,V2FZ2,,ST,,,0,,,,,Unknown,,,S,20130606,NV,"Design: Man-B&W, Engine Builder: Man-B&W 2 x 6L23/30H, Mcr: 800 kW Design: Man-B&W, Engine Builder: Man-B&W 1 x 8L23/30H, Mcr: 1050 kW",23.45,23.2,"Det Norske Veritas (2013-06-00) NV: Special Survey Date: 2023-05-05 Class Notation: +/ 100 A5 E3 Multi-purpose dry cargo ship BWM Equipped for carriage of containers DBC SOLAS-II-2,Reg.19 IW Strengthened for heavy cargo",Det Norske Veritas 2013-06,Statcode5:A31A2GX; Hull Material:Steel; Strengthened for heavy cargoes; Hull Connections:Welded; Decks:1 dk; Bulbous bow,18.5,,37.0,,12.8,22989,9.1,Antigua & Barbuda,303.0,Distillate Fuel,1349.0,Residual Fuel,FS Ice Class 1A,8618,115,2,Oil,5968,4,3,,1,1,0,0,"1 oil engine driving 1 FP propeller  at 115 rpm Total Power:  Mcr 6,480kW (8,810hp)Service Speed: 17.50kts Speed & Consumption: 18.50 knots on 37.00 tonnes per day",Fixed Pitch,"Oil Engine(s), Direct Drive",In Service/Commission,General Cargo Ship,1652.0,3285,8810,,6480,9130,2650,imo,2023-02-02 10:13:12,609763140271341567,0.09361111111111112,Foreign,Foreign,Foreign,
9504750,614268777254617087,3,305857000,2023-02-02 11:14:30,101.82027,2.24221,BBC EMERALD,V2FZ2,Cargo,70,,A,154.0,24.0,Antigua and Barbuda,305,KR ONS,2120100,9.0,15.4,130.2,1.11600721,131.0,Under Way Using Engine,0,T-AIS,2023-02-02 11:14:24,2023-02-02 11:09:11,General Cargo Ship,,5035084934155010536,s3a://ungp-ais-data-historical-backup/exact-earth-data/prod/year=2023/month=02/day=02/20230202111613.csv.gz,8065fffffffffff,578255155279953919,582745560767791103,587247511127719935,591750835877183487,596254383964946431,600757979297349631,605261578119413759,609765177629343743,618772376880152575,623275976507424767,627779576134778879,632283175762146303,636786775389516415,641290375016886887,645793974644257382,9504750,A31A2GX,,DD,BBC EMERALD,North Sea Favour,305857000,6029428,Germany,Germany,6025045,Germany,Germany,1183357,Germany,Germany,6383831,Germany,Germany,ABB,7778,I,12838,14371,153.48,145.5,0.0,201306,CHR241090,JZ1030,1,"2 Steel (Unspecified) Centre Or Only Dry Cargo Hold(s),2 Steel (Unspecified) Centre Or Only Tween Deck(s)",,2,2,,0,987,1,8810,6480,KRS525600,MAN-B&W,6S46MC-C8,17.5,0.0,17.5,0.0,V2FZ2,,ST,,,0,,,,,Unknown,,,S,20130606,NV,"Design: Man-B&W, Engine Builder: Man-B&W 2 x 6L23/30H, Mcr: 800 kW Design: Man-B&W, Engine Builder: Man-B&W 1 x 8L23/30H, Mcr: 1050 kW",23.45,23.2,"Det Norske Veritas (2013-06-00) NV: Special Survey Date: 2023-05-05 Class Notation: +/ 100 A5 E3 Multi-purpose dry cargo ship BWM Equipped for carriage of containers DBC SOLAS-II-2,Reg.19 IW Strengthened for heavy cargo",Det Norske Veritas 2013-06,Statcode5:A31A2GX; Hull Material:Steel; Strengthened for heavy cargoes; Hull Connections:Welded; Decks:1 dk; Bulbous bow,18.5,,37.0,,12.8,22989,9.1,Antigua & Barbuda,303.0,Distillate Fuel,1349.0,Residual Fuel,FS Ice Class 1A,8618,115,2,Oil,5968,4,3,,1,1,0,0,"1 oil engine driving 1 FP propeller  at 115 rpm Total Power:  Mcr 6,480kW (8,810hp)Service Speed: 17.50kts Speed & Consumption: 18.50 knots on 37.00 tonnes per day",Fixed Pitch,"Oil Engine(s), Direct Drive",In Service/Commission,General Cargo Ship,1652.0,3285,8810,,6480,9130,2650,imo,2023-02-02 11:13:48,609765177629343743,0.01,Foreign,Foreign,Foreign,
9504750,614269014784344063,3,305857000,2023-02-02 23:27:01,104.13811,1.25067833,BBC EMERALD,V2FZ2,Cargo,70,,A,154.0,24.0,Antigua and Barbuda,305,KR ONS,2120100,9.0,12.8,89.1,-2.18737413,93.0,Under Way Using Engine,0,T-AIS,2023-02-02 23:26:56,2023-02-02 23:15:34,General Cargo Ship,,5035084934155010536,s3a://ungp-ais-data-historical-backup/exact-earth-data/prod/year=2023/month=02/day=02/20230202232813.csv.gz,808dfffffffffff,578958842721730559,582745560767791103,587247511127719935,591751042035613695,596254624483115007,600758216594292735,605261815550574591,609765415161167871,618772614409879551,623276214037053439,627779813664415743,632283413291783167,636787012919153535,641290612546523983,645794212173894477,9504750,A31A2GX,,DD,BBC EMERALD,North Sea Favour,305857000,6029428,Germany,Germany,6025045,Germany,Germany,1183357,Germany,Germany,6383831,Germany,Germany,ABB,7778,I,12838,14371,153.48,145.5,0.0,201306,CHR241090,JZ1030,1,"2 Steel (Unspecified) Centre Or Only Dry Cargo Hold(s),2 Steel (Unspecified) Centre Or Only Tween Deck(s)",,2,2,,0,987,1,8810,6480,KRS525600,MAN-B&W,6S46MC-C8,17.5,0.0,17.5,0.0,V2FZ2,,ST,,,0,,,,,Unknown,,,S,20130606,NV,"Design: Man-B&W, Engine Builder: Man-B&W 2 x 6L23/30H, Mcr: 800 kW Design: Man-B&W, Engine Builder: Man-B&W 1 x 8L23/30H, Mcr: 1050 kW",23.45,23.2,"Det Norske Veritas (2013-06-00) NV: Special Survey Date: 2023-05-05 Class Notation: +/ 100 A5 E3 Multi-purpose dry cargo ship BWM Equipped for carriage of containers DBC SOLAS-II-2,Reg.19 IW Strengthened for heavy cargo",Det Norske Veritas 2013-06,Statcode5:A31A2GX; Hull Material:Steel; Strengthened for heavy cargoes; Hull Connections:Welded; Decks:1 dk; Bulbous bow,18.5,,37.0,,12.8,22989,9.1,Antigua & Barbuda,303.0,Distillate Fuel,1349.0,Residual Fuel,FS Ice Class 1A,8618,115,2,Oil,5968,4,3,,1,1,0,0,"1 oil engine driving 1 FP propeller  at 115 rpm Total Power:  Mcr 6,480kW (8,810hp)Service Speed: 17.50kts Speed & Consumption: 18.50 knots on 37.00 tonnes per day",Fixed Pitch,"Oil Engine(s), Direct Drive",In Service/Commission,General Cargo Ship,1652.0,3285,8810,,6480,9130,2650,imo,2023-02-02 23:25:15,609765415060504575,0.028055555555555556,Foreign,Foreign,Foreign,
9504750,614269024573849599,27,305857000,2023-02-03 01:56:09,104.59666667,1.54166667,BBC EMERALD,V2FZ2,Cargo,70,,A,154.0,24.0,Antigua and Barbuda,305,KR ONS,2120100,9.0,14.0,33.0,0.0,0.0,Under Way Using Engine,0,S-AIS,2023-02-03 01:55:24,2023-02-03 01:21:37,General Cargo Ship,,5035084934155010536,s3a://ungp-ais-data-historical-backup/exact-earth-data/prod/year=2023/month=02/day=03/20230203015613.csv.gz,808dfffffffffff,578958842721730559,582745560767791103,587247511127719935,591751042035613695,596254633073049599,600758226257969151,605261825348468735,609765424959062015,618772624200695807,623276223827869695,627779823455231999,632283423082599935,636787022709970303,641290622337340775,645794221964711267,9504750,A31A2GX,,DD,BBC EMERALD,North Sea Favour,305857000,6029428,Germany,Germany,6025045,Germany,Germany,1183357,Germany,Germany,6383831,Germany,Germany,ABB,7778,I,12838,14371,153.48,145.5,0.0,201306,CHR241090,JZ1030,1,"2 Steel (Unspecified) Centre Or Only Dry Cargo Hold(s),2 Steel (Unspecified) Centre Or Only Tween Deck(s)",,2,2,,0,987,1,8810,6480,KRS525600,MAN-B&W,6S46MC-C8,17.5,0.0,17.5,0.0,V2FZ2,,ST,,,0,,,,,Unknown,,,S,20130606,NV,"Design: Man-B&W, Engine Builder: Man-B&W 2 x 6L23/30H, Mcr: 800 kW Design: Man-B&W, Engine Builder: Man-B&W 1 x 8L23/30H, Mcr: 1050 kW",23.45,23.2,"Det Norske Veritas (2013-06-00) NV: Special Survey Date: 2023-05-05 Class Notation: +/ 100 A5 E3 Multi-purpose dry cargo ship BWM Equipped for carriage of containers DBC SOLAS-II-2,Reg.19 IW Strengthened for heavy cargo",Det Norske Veritas 2013-06,Statcode5:A31A2GX; Hull Material:Steel; Strengthened for heavy cargoes; Hull Connections:Welded; Decks:1 dk; Bulbous bow,18.5,,37.0,,12.8,22989,9.1,Antigua & Barbuda,303.0,Distillate Fuel,1349.0,Residual Fuel,FS Ice Class 1A,8618,115,2,Oil,5968,4,3,,1,1,0,0,"1 oil engine driving 1 FP propeller  at 115 rpm Total Power:  Mcr 6,480kW (8,810hp)Service Speed: 17.50kts Speed & Consumption: 18.50 knots on 37.00 tonnes per day",Fixed Pitch,"Oil Engine(s), Direct Drive",In Service/Commission,General Cargo Ship,1652.0,3285,8810,,6480,9130,2650,imo,2023-02-03 01:52:18,609765424858398719,0.051666666666666666,Foreign,Foreign,Foreign,
9504750,614270117735301119,27,305857000,2023-02-03 12:32:01,105.74833333,3.77333333,BBC EMERALD,V2FZ2,Cargo,70,,A,154.0,24.0,Antigua and Barbuda,305,KR ONS,2120100,9.0,14.0,34.0,0.0,0.0,Under Way Using Engine,0,S-AIS,2023-02-03 12:31:44,2023-02-03 01:21:37,General Cargo Ship,,5035084934155010536,s3a://ungp-ais-data-historical-backup/exact-earth-data/prod/year=2023/month=02/day=03/20230203123213.csv.gz,8065fffffffffff,578255155279953919,582745560767791103,587248610639347711,591752141547241471,596255723994742783,600759319327145983,605262918551863295,609766518112124927,618773717361623039,623277316988796927,627780916616151039,632284516243518975,636788115870889279,641291715498259719,645795315125630214,9504750,A31A2GX,,DD,BBC EMERALD,North Sea Favour,305857000,6029428,Germany,Germany,6025045,Germany,Germany,1183357,Germany,Germany,6383831,Germany,Germany,ABB,7778,I,12838,14371,153.48,145.5,0.0,201306,CHR241090,JZ1030,1,"2 Steel (Unspecified) Centre Or Only Dry Cargo Hold(s),2 Steel (Unspecified) Centre Or Only Tween Deck(s)",,2,2,,0,987,1,8810,6480,KRS525600,MAN-B&W,6S46MC-C8,17.5,0.0,17.5,0.0,V2FZ2,,ST,,,0,,,,,Unknown,,,S,20130606,NV,"Design: Man-B&W, Engine Builder: Man-B&W 2 x 6L23/30H, Mcr: 800 kW Design: Man-B&W, Engine Builder: Man-B&W 1 x 8L23/30H, Mcr: 1050 kW",23.45,23.2,"Det Norske Veritas (2013-06-00) NV: Special Survey Date: 2023-05-05 Class Notation: +/ 100 A5 E3 Multi-purpose dry cargo ship BWM Equipped for carriage of containers DBC SOLAS-II-2,Reg.19 IW Strengthened for heavy cargo",Det Norske Veritas 2013-06,Statcode5:A31A2GX; Hull Material:Steel; Strengthened for heavy cargoes; Hull Connections:Welded; Decks:1 dk; Bulbous bow,18.5,,37.0,,12.8,22989,9.1,Antigua & Barbuda,303.0,Distillate Fuel,1349.0,Residual Fuel,FS Ice Class 1A,8618,115,2,Oil,5968,4,3,,1,1,0,0,"1 oil engine driving 1 FP propeller  at 115 rpm Total Power:  Mcr 6,480kW (8,810hp)Service Speed: 17.50kts Speed & Consumption: 18.50 knots on 37.00 tonnes per day",Fixed Pitch,"Oil Engine(s), Direct Drive",In Service/Commission,General Cargo Ship,1652.0,3285,8810,,6480,9130,2650,imo,2023-02-03 12:28:41,609766518296674303,0.050833333333333335,Foreign,Foreign,Foreign,
9504750,614270043085078527,27,305857000,2023-02-03 05:34:48,104.99833333,2.33333333,BBC EMERALD,V2FZ2,Cargo,70,,A,154.0,24.0,Antigua and Barbuda,305,KR ONS,2120100,9.0,15.0,19.0,0.0,0.0,Under Way Using Engine,0,S-AIS,2023-02-03 05:34:28,2023-02-03 01:21:37,General Cargo Ship,,5035084934155010536,s3a://ungp-ais-data-historical-backup/exact-earth-data/prod/year=2023/month=02/day=03/20230203053613.csv.gz,8065fffffffffff,578255155279953919,582745560767791103,587248610639347711,591752072827764735,596255646685331455,600759245238960127,605262843926806527,609766443487068159,618773642738401279,623277242338181119,627780841992962047,632284441620330495,636788041247700671,641291640875071159,645795240502441649,9504750,A31A2GX,,DD,BBC EMERALD,North Sea Favour,305857000,6029428,Germany,Germany,6025045,Germany,Germany,1183357,Germany,Germany,6383831,Germany,Germany,ABB,7778,I,12838,14371,153.48,145.5,0.0,201306,CHR241090,JZ1030,1,"2 Steel (Unspecified) Centre Or Only Dry Cargo Hold(s),2 Steel (Unspecified) Centre Or Only Tween Deck(s)",,2,2,,0,987,1,8810,6480,KRS525600,MAN-B&W,6S46MC-C8,17.5,0.0,17.5,0.0,V2FZ2,,ST,,,0,,,,,Unknown,,,S,20130606,NV,"Design: Man-B&W, Engine Builder: Man-B&W 2 x 6L23/30H, Mcr: 800 kW Design: Man-B&W, Engine Builder: Man-B&W 1 x 8L23/30H, Mcr: 1050 kW",23.45,23.2,"Det Norske Veritas (2013-06-00) NV: Special Survey Date: 2023-05-05 Class Notation: +/ 100 A5 E3 Multi-purpose dry cargo ship BWM Equipped for carriage of containers DBC SOLAS-II-2,Reg.19 IW Strengthened for heavy cargo",Det Norske Veritas 2013-06,Statcode5:A31A2GX; Hull Material:Steel; Strengthened for heavy cargoes; Hull Connections:Welded; Decks:1 dk; Bulbous bow,18.5,,37.0,,12.8,22989,9.1,Antigua & Barbuda,303.0,Distillate Fuel,1349.0,Residual Fuel,FS Ice Class 1A,8618,115,2,Oil,5968,4,3,,1,1,0,0,"1 oil engine driving 1 FP propeller  at 115 rpm Total Power:  Mcr 6,480kW (8,810hp)Service Speed: 17.50kts Speed & Consumption: 18.50 knots on 37.00 tonnes per day",Fixed Pitch,"Oil Engine(s), Direct Drive",In Service/Commission,General Cargo Ship,1652.0,3285,8810,,6480,9130,2650,imo,2023-02-03 05:25:32,609766443453513727,0.14888888888888888,Foreign,Foreign,Foreign,
9504750,614266438196133887,27,305857000,2023-02-01 08:30:19,100.35833333,3.73,BBC EMERALD,V2FZ2,Cargo,70,,A,154.0,24.0,Antigua and Barbuda,305,MY PKG,2010400,9.1,15.0,123.0,0.0,0.0,Under Way Using Engine,0,S-AIS,2023-02-01 08:29:56,2023-01-29 18:40:49,General Cargo Ship,,5035084934155010536,s3a://ungp-ais-data-historical-backup/exact-earth-data/prod/year=2023/month=02/day=01/20230201083213.csv.gz,8065fffffffffff,578255155279953919,582745560767791103,587245861860278271,591748499414974463,596252047502737407,600755639613915135,605259238972850175,609762838583443455,618770037822193663,623273637448876031,627777237076226047,632280836703594495,636784436330964543,641288035958334999,645791635585705488,9504750,A31A2GX,,DD,BBC EMERALD,North Sea Favour,305857000,6029428,Germany,Germany,6025045,Germany,Germany,1183357,Germany,Germany,6383831,Germany,Germany,ABB,7778,I,12838,14371,153.48,145.5,0.0,201306,CHR241090,JZ1030,1,"2 Steel (Unspecified) Centre Or Only Dry Cargo Hold(s),2 Steel (Unspecified) Centre Or Only Tween Deck(s)",,2,2,,0,987,1,8810,6480,KRS525600,MAN-B&W,6S46MC-C8,17.5,0.0,17.5,0.0,V2FZ2,,ST,,,0,,,,,Unknown,,,S,20130606,NV,"Design: Man-B&W, Engine Builder: Man-B&W 2 x 6L23/30H, Mcr: 800 kW Design: Man-B&W, Engine Builder: Man-B&W 1 x 8L23/30H, Mcr: 1050 kW",23.45,23.2,"Det Norske Veritas (2013-06-00) NV: Special Survey Date: 2023-05-05 Class Notation: +/ 100 A5 E3 Multi-purpose dry cargo ship BWM Equipped for carriage of containers DBC SOLAS-II-2,Reg.19 IW Strengthened for heavy cargo",Det Norske Veritas 2013-06,Statcode5:A31A2GX; Hull Material:Steel; Strengthened for heavy cargoes; Hull Connections:Welded; Decks:1 dk; Bulbous bow,18.5,,37.0,,12.8,22989,9.1,Antigua & Barbuda,303.0,Distillate Fuel,1349.0,Residual Fuel,FS Ice Class 1A,8618,115,2,Oil,5968,4,3,,1,1,0,0,"1 oil engine driving 1 FP propeller  at 115 rpm Total Power:  Mcr 6,480kW (8,810hp)Service Speed: 17.50kts Speed & Consumption: 18.50 knots on 37.00 tonnes per day",Fixed Pitch,"Oil Engine(s), Direct Drive",In Service/Commission,General Cargo Ship,1652.0,3285,8810,,6480,9130,2650,imo,2023-02-01 08:26:53,609762838516334591,0.050833333333333335,Foreign,Foreign,Foreign,
