mmsi,vessel_name,Prov_ID,Port,Hirarki_1,dt_pos_utc,fc_vessel,OperatorCountryOfRegistration,OperatorCountryofDomicileName,vessel_type,ns_vessel,draught,position,latitude,longitude
525300666,MEX DE OCEAN 9,21.0,BUR,1.0,2023-01-02 21:34:11,Indonesia,Indonesia,Indonesia,Tanker,Underway Sailing,3.0,in,1.09907,103.89729833
525300666,MEX DE OCEAN 9,,,,2023-01-02 21:44:22,Indonesia,Indonesia,Indonesia,Tanker,Underway Sailing,3.0,out,1.10399167,103.88769833
525300666,MEX DE OCEAN 9,,,,2023-01-02 21:54:31,Indonesia,Indonesia,Indonesia,Tanker,Underway Sailing,3.0,out,1.111005,103.892245
525300666,MEX DE OCEAN 9,21.0,BUR,1.0,2023-01-02 22:04:41,Indonesia,Indonesia,Indonesia,Tanker,Underway Sailing,3.0,in,1.11778833,103.89704833
525300666,MEX DE OCEAN 9,21.0,BUR,1.0,2023-01-02 22:14:51,Indonesia,Indonesia,Indonesia,Tanker,Underway Sailing,3.0,in,1.12428,103.90284667
525300666,MEX DE OCEAN 9,21.0,BUR,1.0,2023-01-02 22:27:01,Indonesia,Indonesia,Indonesia,Tanker,Underway Sailing,3.0,in,1.135205,103.9061
525300666,MEX DE OCEAN 9,,,,2023-01-02 22:37:02,Indonesia,Indonesia,Indonesia,Tanker,Underway Sailing,3.0,out,1.14366167,103.90687667
525300666,MEX DE OCEAN 9,,,,2023-01-02 22:47:11,Indonesia,Indonesia,Indonesia,Tanker,Underway Sailing,3.0,out,1.14999,103.90972667
525300666,MEX DE OCEAN 9,21.0,BUR,1.0,2023-01-02 22:57:30,Indonesia,Indonesia,Indonesia,Tanker,Underway Sailing,3.0,in,1.15419667,103.91769667
525300666,MEX DE OCEAN 9,21.0,BUR,1.0,2023-01-02 23:08:11,Indonesia,Indonesia,Indonesia,Tanker,Underway Sailing,3.0,in,1.156955,103.92831667
525300666,MEX DE OCEAN 9,21.0,BUR,1.0,2023-01-02 23:18:22,Indonesia,Indonesia,Indonesia,Tanker,Underway Sailing,3.0,in,1.15812833,103.93984667
525300666,MEX DE OCEAN 9,21.0,BUR,1.0,2023-01-02 23:28:32,Indonesia,Indonesia,Indonesia,Tanker,Underway Sailing,3.0,in,1.15673,103.952645
525300666,MEX DE OCEAN 9,21.0,BUR,1.0,2023-01-02 23:38:50,Indonesia,Indonesia,Indonesia,Tanker,Underway Sailing,3.0,in,1.15648333,103.96623833
525300666,MEX DE OCEAN 9,21.0,BUR,1.0,2023-01-03 05:11:31,Indonesia,Indonesia,Indonesia,Tanker,Underway Sailing,3.0,in,1.16316667,103.96529
525300666,MEX DE OCEAN 9,21.0,BUR,1.0,2023-01-03 05:21:41,Indonesia,Indonesia,Indonesia,Tanker,Underway Sailing,3.0,in,1.16621333,103.955415
525300666,MEX DE OCEAN 9,21.0,BUR,1.0,2023-01-03 05:31:50,Indonesia,Indonesia,Indonesia,Tanker,Underway Sailing,3.0,in,1.161785,103.94490333
525300666,MEX DE OCEAN 9,21.0,BUR,1.0,2023-01-03 05:42:11,Indonesia,Indonesia,Indonesia,Tanker,Underway Sailing,3.0,in,1.15817167,103.93402667
525300666,MEX DE OCEAN 9,21.0,BUR,1.0,2023-01-03 05:52:21,Indonesia,Indonesia,Indonesia,Tanker,Underway Sailing,3.0,in,1.15679833,103.92414333
525300666,MEX DE OCEAN 9,21.0,BUR,1.0,2023-01-03 06:03:21,Indonesia,Indonesia,Indonesia,Tanker,Underway Sailing,3.0,in,1.15246333,103.91360833
525300666,MEX DE OCEAN 9,,,,2023-01-03 06:13:41,Indonesia,Indonesia,Indonesia,Tanker,Underway Sailing,3.0,out,1.14520667,103.907925
525300666,MEX DE OCEAN 9,21.0,BUR,1.0,2023-01-03 06:25:21,Indonesia,Indonesia,Indonesia,Tanker,Underway Sailing,3.0,in,1.13269333,103.90512333
525300666,MEX DE OCEAN 9,21.0,BUR,1.0,2023-01-03 06:35:20,Indonesia,Indonesia,Indonesia,Tanker,Underway Sailing,3.0,in,1.12353,103.89969833
525300666,MEX DE OCEAN 9,21.0,BUR,1.0,2023-01-03 06:45:21,Indonesia,Indonesia,Indonesia,Tanker,Underway Sailing,3.0,in,1.11358167,103.895615
525300666,MEX DE OCEAN 9,,,,2023-01-03 06:56:20,Indonesia,Indonesia,Indonesia,Tanker,Underway Sailing,3.0,out,1.103395,103.88892333
525300666,MEX DE OCEAN 9,21.0,BUR,1.0,2023-01-03 07:06:30,Indonesia,Indonesia,Indonesia,Tanker,Underway Sailing,3.0,in,1.09807667,103.89971
525300666,MEX DE OCEAN 9,,,,2023-01-09 21:29:11,Indonesia,Indonesia,Indonesia,Tanker,Underway Sailing,3.0,out,1.09680333,103.90616833
525300666,MEX DE OCEAN 9,21.0,BUR,1.0,2023-01-10 13:53:42,Indonesia,Indonesia,Indonesia,Tanker,Underway Sailing,3.0,in,1.09726667,103.90388667
525300666,MEX DE OCEAN 9,21.0,BUR,1.0,2023-01-10 14:18:10,Indonesia,Indonesia,Indonesia,Tanker,Underway Sailing,3.0,in,1.09695333,103.904635
525300666,MEX DE OCEAN 9,21.0,BUR,1.0,2023-01-11 23:11:12,Indonesia,Indonesia,Indonesia,Tanker,Underway Sailing,3.0,in,1.09914167,103.89742167
525300666,MEX DE OCEAN 9,,,,2023-01-11 23:22:56,Indonesia,Indonesia,Indonesia,Tanker,Underway Sailing,3.0,out,1.10647167,103.88953167
525300666,MEX DE OCEAN 9,21.0,BUR,1.0,2023-01-11 23:33:08,Indonesia,Indonesia,Indonesia,Tanker,Underway Sailing,3.0,in,1.11438833,103.89441833
525300666,MEX DE OCEAN 9,21.0,BUR,1.0,2023-01-11 23:44:51,Indonesia,Indonesia,Indonesia,Tanker,Underway Sailing,3.0,in,1.12228333,103.90038167
525300666,MEX DE OCEAN 9,21.0,BUR,1.0,2023-01-11 23:57:24,Indonesia,Indonesia,Indonesia,Tanker,Underway Sailing,3.0,in,1.13273167,103.90498833
525300666,MEX DE OCEAN 9,,,,2023-01-12 00:07:38,Indonesia,Indonesia,Indonesia,Tanker,Underway Sailing,3.0,out,1.14302833,103.90693
525300666,MEX DE OCEAN 9,21.0,BUR,1.0,2023-01-12 00:19:29,Indonesia,Indonesia,Indonesia,Tanker,Underway Sailing,3.0,in,1.15017333,103.91005667
525300666,MEX DE OCEAN 9,21.0,BUR,1.0,2023-01-12 00:29:33,Indonesia,Indonesia,Indonesia,Tanker,Underway Sailing,3.0,in,1.15397333,103.91747167
525300666,MEX DE OCEAN 9,21.0,BUR,1.0,2023-01-12 00:39:36,Indonesia,Indonesia,Indonesia,Tanker,Underway Sailing,3.0,in,1.15751333,103.92478667
525300666,MEX DE OCEAN 9,21.0,BUR,1.0,2023-01-12 00:50:06,Indonesia,Indonesia,Indonesia,Tanker,Underway Sailing,3.0,in,1.15964,103.93372
525300666,MEX DE OCEAN 9,21.0,BUR,1.0,2023-01-12 01:00:23,Indonesia,Indonesia,Indonesia,Tanker,Underway Sailing,3.0,in,1.16088167,103.94273333
525300666,MEX DE OCEAN 9,21.0,BUR,1.0,2023-01-12 01:10:31,Indonesia,Indonesia,Indonesia,Tanker,Underway Sailing,3.0,in,1.160925,103.95142
525300666,MEX DE OCEAN 9,21.0,BUR,1.0,2023-01-12 01:20:34,Indonesia,Indonesia,Indonesia,Tanker,Underway Sailing,3.0,in,1.15863333,103.96110833
525300666,MEX DE OCEAN 9,21.0,BUR,1.0,2023-01-12 01:30:37,Indonesia,Indonesia,Indonesia,Tanker,Underway Sailing,3.0,in,1.15761167,103.96993333
525300666,MEX DE OCEAN 9,21.0,BUR,1.0,2023-01-12 04:39:42,Indonesia,Indonesia,Indonesia,Tanker,Underway Sailing,3.0,in,1.15940667,103.97200667
525300666,MEX DE OCEAN 9,21.0,BUR,1.0,2023-01-12 04:49:43,Indonesia,Indonesia,Indonesia,Tanker,Underway Sailing,3.0,in,1.157435,103.95969167
525300666,MEX DE OCEAN 9,21.0,BUR,1.0,2023-01-12 04:59:45,Indonesia,Indonesia,Indonesia,Tanker,Underway Sailing,3.0,in,1.15608,103.946565
525300666,MEX DE OCEAN 9,21.0,BUR,1.0,2023-01-12 05:10:08,Indonesia,Indonesia,Indonesia,Tanker,Underway Sailing,3.0,in,1.15576667,103.93283
525300666,MEX DE OCEAN 9,21.0,BUR,1.0,2023-01-12 05:20:31,Indonesia,Indonesia,Indonesia,Tanker,Underway Sailing,3.0,in,1.15417167,103.91897833
525300666,MEX DE OCEAN 9,,,,2023-01-12 05:30:33,Indonesia,Indonesia,Indonesia,Tanker,Underway Sailing,3.0,out,1.14642333,103.90715167
525300666,MEX DE OCEAN 9,21.0,BUR,1.0,2023-01-12 05:40:55,Indonesia,Indonesia,Indonesia,Tanker,Underway Sailing,3.0,in,1.13195833,103.905875
525300666,MEX DE OCEAN 9,21.0,BUR,1.0,2023-01-12 05:51:59,Indonesia,Indonesia,Indonesia,Tanker,Underway Sailing,3.0,in,1.11824833,103.89995
525300666,MEX DE OCEAN 9,,,,2023-01-12 06:02:01,Indonesia,Indonesia,Indonesia,Tanker,Underway Sailing,3.0,out,1.107705,103.89208833
525300666,MEX DE OCEAN 9,21.0,BUR,1.0,2023-01-12 06:11:33,Indonesia,Indonesia,Indonesia,Tanker,Underway Sailing,3.0,in,1.09973667,103.89147667
525300666,MEX DE OCEAN 9,21.0,BUR,1.0,2023-01-12 06:22:17,Indonesia,Indonesia,Indonesia,Tanker,Underway Sailing,3.0,in,1.09721167,103.90251333
525300666,MEX DE OCEAN 9,21.0,BUR,1.0,2023-01-13 00:47:51,Indonesia,Indonesia,Indonesia,Tanker,Underway Sailing,3.0,in,1.09828167,103.89958333
525300666,MEX DE OCEAN 9,,,,2023-01-13 00:58:01,Indonesia,Indonesia,Indonesia,Tanker,Underway Sailing,3.0,out,1.10192,103.88879167
525300666,MEX DE OCEAN 9,,,,2023-01-13 01:10:50,Indonesia,Indonesia,Indonesia,Tanker,Underway Sailing,3.0,out,1.090195,103.88857833
525300666,MEX DE OCEAN 9,,,,2023-01-13 01:22:12,Indonesia,Indonesia,Indonesia,Tanker,Underway Sailing,3.0,out,1.07940667,103.89136333
525300666,MEX DE OCEAN 9,,,,2023-01-13 01:33:51,Indonesia,Indonesia,Indonesia,Tanker,Underway Sailing,3.0,out,1.07580167,103.89554833
525300666,MEX DE OCEAN 9,,,,2023-01-13 06:13:41,Indonesia,Indonesia,Indonesia,Tanker,Underway Sailing,3.0,out,1.07600167,103.89319
525300666,MEX DE OCEAN 9,,,,2023-01-13 06:24:21,Indonesia,Indonesia,Indonesia,Tanker,Underway Sailing,3.0,out,1.08691333,103.88926667
525300666,MEX DE OCEAN 9,,,,2023-01-13 06:35:30,Indonesia,Indonesia,Indonesia,Tanker,Underway Sailing,3.0,out,1.09958167,103.88724667
525300666,MEX DE OCEAN 9,21.0,BUR,1.0,2023-01-13 06:47:12,Indonesia,Indonesia,Indonesia,Tanker,Underway Sailing,3.0,in,1.10744167,103.896005
525300666,MEX DE OCEAN 9,21.0,BUR,1.0,2023-01-16 11:35:52,Indonesia,Indonesia,Indonesia,Tanker,Underway Sailing,3.0,in,1.09779167,103.901315
525300666,MEX DE OCEAN 9,21.0,BUR,1.0,2023-01-16 11:36:52,Indonesia,Indonesia,Indonesia,Tanker,Underway Sailing,3.0,in,1.09738667,103.90203833
525300666,MEX DE OCEAN 9,21.0,BUR,1.0,2023-01-16 15:42:51,Indonesia,Indonesia,Indonesia,Tanker,Underway Sailing,3.0,in,1.09922833,103.89530167
525300666,MEX DE OCEAN 9,,,,2023-01-16 15:53:11,Indonesia,Indonesia,Indonesia,Tanker,Underway Sailing,3.0,out,1.10528667,103.88920167
525300666,MEX DE OCEAN 9,21.0,BUR,1.0,2023-01-16 16:03:22,Indonesia,Indonesia,Indonesia,Tanker,Underway Sailing,3.0,in,1.110395,103.89636667
525300666,MEX DE OCEAN 9,21.0,BUR,1.0,2023-01-16 16:53:17,Indonesia,Indonesia,Indonesia,Tanker,At Anchor,3.0,in,1.11008,103.89625
525300666,MEX DE OCEAN 9,21.0,BUR,1.0,2023-01-16 17:05:18,Indonesia,Indonesia,Indonesia,Tanker,At Anchor,3.0,in,1.11002833,103.89628833
525300666,MEX DE OCEAN 9,21.0,BUR,1.0,2023-01-16 17:29:19,Indonesia,Indonesia,Indonesia,Tanker,At Anchor,3.0,in,1.11003833,103.89631667
525300666,MEX DE OCEAN 9,21.0,BUR,1.0,2023-01-16 17:44:17,Indonesia,Indonesia,Indonesia,Tanker,At Anchor,3.0,in,1.110035,103.89630833
525300666,MEX DE OCEAN 9,21.0,BUR,1.0,2023-01-16 17:59:18,Indonesia,Indonesia,Indonesia,Tanker,At Anchor,3.0,in,1.110045,103.89629667
525300666,MEX DE OCEAN 9,21.0,BUR,1.0,2023-01-16 18:14:18,Indonesia,Indonesia,Indonesia,Tanker,At Anchor,3.0,in,1.110045,103.89629667
525300666,MEX DE OCEAN 9,21.0,BUR,1.0,2023-01-16 18:26:18,Indonesia,Indonesia,Indonesia,Tanker,At Anchor,3.0,in,1.11005667,103.89628
525300666,MEX DE OCEAN 9,21.0,BUR,1.0,2023-01-16 18:38:18,Indonesia,Indonesia,Indonesia,Tanker,At Anchor,3.0,in,1.11007833,103.89626167
525300666,MEX DE OCEAN 9,21.0,BUR,1.0,2023-01-16 18:53:18,Indonesia,Indonesia,Indonesia,Tanker,At Anchor,3.0,in,1.11009833,103.896235
525300666,MEX DE OCEAN 9,21.0,BUR,1.0,2023-01-16 19:05:18,Indonesia,Indonesia,Indonesia,Tanker,At Anchor,3.0,in,1.11009333,103.89624667
525300666,MEX DE OCEAN 9,21.0,BUR,1.0,2023-01-16 19:17:17,Indonesia,Indonesia,Indonesia,Tanker,At Anchor,3.0,in,1.11006167,103.89624833
