,h3_index_int,mmsi,imo,length,width,vessel_type,vessel_type_main,obs_time,flag_country,source,destination,time_lower,time_upper,unix_trigger,avg_unix,unix_disarm,sd_lat,sd_lng,trigger_lat,trigger_lng,avg_lat,avg_lng,disarm_lat,disarm_lng,mode_nav_status,obs_nav_status,state_initial,state_final,obs_count,is_valid,geom_wkt,wkt_avg_pt,imo_ihs,ShipName,mmsi_ihs,RegisteredOwnerCountryOfRegistration,RegisteredOwnerCountryofDomicile,Tonnagesystem69convention,GrossTonnage,Deadweight,ShiptypeLevel5,shipSource,Hirarki_1,Prov_ID,Kode
17462,624129268459077631,525401357,9972062,85.0,16.0,Passenger,,2023-07-06 05:16:11,Indonesia,S-AIS,LEMBAR - PADANG BAI,19.366666666666667,19.316666666666666,1688620571,1688648392,1688690159,0.0005279871615673689,0.0009321226561515679,-8.74666667,116.05,-8.746482336,116.04931633199999,-8.74555,116.05031333,Underway Sailing,5,2,2,5,valid,"LINESTRING (116.05 -8.74666667, 116.04931633199999 -8.746482336,116.05031333 -8.74555)",POINT (116.04931633199999 -8.746482336),9972062,NAWASENA,525401357.0,Indonesia,Indonesia,I,1875,1335,Passenger/Ro-Ro Ship (Vehicles),imo match,2,52,LMR
23809,623986077539991551,525100334,8908789,131.0,20.0,Passenger,Ro Ro Cargo Ship,2023-07-06 05:18:04,Indonesia,T-AIS,ID.SURABAYA,3.4,2.6,1688620684,1688625364,1688630045,1.1483861226964872e-05,9.141694720024112e-06,-7.19677333,112.73018667,-7.196758929285714,112.73018607142856,-7.196765,112.73017167,Moored,14,2,2,14,valid,"LINESTRING (112.73018667 -7.19677333, 112.73018607142856 -7.196758929285714,112.73017167 -7.196765)",POINT (112.73018607142856 -7.196758929285714),8908789,NIKI SEJAHTERA,525100334.0,Indonesia,Indonesia,F,9982,2726,Ro-Ro Cargo Ship,imo match,1,35,SUB
7634,623960961471709183,525002063,7118789,144.0,19.0,Passenger,Passenger Ship,2023-07-06 05:23:09,Indonesia,S-AIS,MERAK,1.3333333333333333,1.1666666666666667,1688620989,1688623992,1688625189,0.0014742718177459925,0.0016826247925814583,-5.925,105.99166667,-5.924695,105.99109999999999,-5.92263667,105.98952,Underway Sailing,4,2,2,4,valid,"LINESTRING (105.99166667 -5.925, 105.99109999999999 -5.924695,105.98952 -5.92263667)",POINT (105.99109999999999 -5.924695),7118789,MITRA NUSANTARA,525002063.0,Indonesia,Indonesia,I,5813,1500,Passenger/Ro-Ro Ship (Vehicles),imo match,1,36,IBP
27451,623341426668797951,525101124,9848041,70.0,14.0,Passenger,,2023-07-06 05:33:23,Indonesia,S-AIS,BANGGAI,5.15,4.6,1688621603,1688630633,1688638165,0.0002289347311163437,1.434684685408575e-14,-1.59,123.49666667,-1.5916352233962259,123.49666667000001,-1.59166667,123.49666667,Moored,52,2,2,53,valid,"LINESTRING (123.49666667 -1.59, 123.49666667000001 -1.5916352233962259,123.49666667 -1.59166667)",POINT (123.49666667000001 -1.5916352233962259),9848041,SABUK NUSANTARA 83,525101124.0,Indonesia,Indonesia,I,2086,722,General Cargo/Passenger Ship,imo match,2,72,BGG
5462,623986077539729407,525101123,9848065,68.0,14.0,Passenger,,2023-07-06 05:50:47,Indonesia,T-AIS,SURABAYA,5.15,3.6666666666666665,1688622647,1688629282,1688635911,1.9205316138682835e-05,1.5929535956871724e-05,-7.19631833,112.73312,-7.196320289565218,112.73312572391305,-7.19628833,112.73311,At Anchor,23,2,2,23,valid,"LINESTRING (112.73312 -7.19631833, 112.73312572391305 -7.196320289565218,112.73311 -7.19628833)",POINT (112.73312572391305 -7.196320289565218),9848065,SABUK NUSANTARA 91,525101123.0,Indonesia,Indonesia,I,2086,722,General Cargo/Passenger Ship,imo match,1,35,SUB
16120,623960961475575807,525300391,9875812,120.0,23.0,Passenger,,2023-07-06 06:14:42,Indonesia,S-AIS,MERAK,1.6166666666666667,1.55,1688624082,1688628160,1688629673,0.0012110855675249454,0.0007626798100133089,-5.92333333,105.99166667,-5.922185,105.990845,-5.92072667,105.990435,Under Way Using Engine,4,2,2,4,valid,"LINESTRING (105.99166667 -5.92333333, 105.990845 -5.922185,105.990435 -5.92072667)",POINT (105.990845 -5.922185),9875812,WIRA BERLIAN,525300391.0,Indonesia,Indonesia,I,8428,3959,Passenger/Ro-Ro Ship (Vehicles),imo match,1,36,IBP
4423,624118019000565759,525005002,9032147,146.0,24.0,Passenger,Passenger Ship,2023-07-06 06:29:25,Indonesia,T-AIS,MAKASSAR,3.75,3.6333333333333333,1688624965,1688631246,1688638054,0.0003659846480782207,0.000565856581842021,-5.12214833,119.40704667,-5.1218671402173905,119.4067275384783,-5.12166667,119.40333333,Moored,44,2,2,46,valid,"LINESTRING (119.40704667 -5.12214833, 119.4067275384783 -5.1218671402173905,119.40333333 -5.12166667)",POINT (119.4067275384783 -5.1218671402173905),9032147,DOBONSOLO,525005002.0,Indonesia,Indonesia,F,14581,3500,Passenger Ship,imo match,1,73,MAK
13873,623276214398156799,564297000,9149603,28.0,6.0,Passenger,Passenger Ship,2023-07-06 06:52:16,Singapore,S-AIS,BTC HFC RTRN,20.866666666666667,18.216666666666665,1688626336,1688641600,1688691950,0.0018002047208692932,0.0008050780960552183,1.13333333,104.05333333,1.132499998,104.053833331,1.135,104.05333333,Moored,10,2,2,10,valid,"LINESTRING (104.05333333 1.13333333, 104.053833331 1.132499998,104.05333333 1.135)",POINT (104.053833331 1.132499998),9149603,JET FLYTE I,564297000.0,Singapore,Singapore,I,124,0,Passenger Ship,imo match,1,21,BUR
6161,623276218647085055,525200211,9859492,0.0,0.0,Passenger,,2023-07-06 07:16:47,Indonesia,S-AIS,TPI BATAM RETURN,1.95,0.1,1688627807,1688627987,1688628168,0.0,0.0,1.04,104.13666667,1.04,104.13666667,1.04,104.13666667,Under Way Using Engine,2,2,2,2,valid,"LINESTRING (104.13666667 1.04, 104.13666667 1.04,104.13666667 1.04)",POINT (104.13666667 1.04),9859492,OCEAN DRAGON 6,525200211.0,Indonesia,Indonesia,I,152,0,Passenger Ship,imo match,1,21,BUR
14337,623337134760230911,525019418,8873570,45.0,11.0,Passenger,Other,2023-07-06 08:14:40,Indonesia,T-AIS,KARIANGAU-PANAJAM,1.0,0.0,1688631280,1688631280,1688631280,0.0,0.0,-1.23763667,116.77813167,-1.23763667,116.77813167,-1.23763667,116.77813167,Under Way Using Engine,1,2,2,1,invalid,POINT (116.77813167 -1.23763667),POINT (116.77813167 -1.23763667),8873570,PONCAN MOALE,525019418.0,Indonesia,Indonesia,I,621,0,Passenger Ship,imo match,1,64,BPN
