,h3_index_int,mmsi,imo,length,width,vessel_type,vessel_type_main,obs_time,flag_country,source,destination,time_lower,time_upper,unix_trigger,avg_unix,unix_disarm,sd_lat,sd_lng,trigger_lat,trigger_lng,avg_lat,avg_lng,disarm_lat,disarm_lng,mode_nav_status,obs_nav_status,state_initial,state_final,obs_count,is_valid,geom_wkt,wkt_avg_pt,imo_ihs,ShipName,mmsi_ihs,RegisteredOwnerCountryOfRegistration,RegisteredOwnerCountryofDomicile,Tonnagesystem69convention,GrossTonnage,Deadweight,ShiptypeLevel5,shipSource,Hirarki_1,Prov_ID,Kode
27926,623960961959526399,525002061,6725523,94.0,16.0,Passenger,Passenger Ship,2023-01-01 00:00:21,Indonesia,S-AIS,MERAK-BAKAUHENI PP,242.45,242.35,1672531221,1672984285,1673403705,0.0008379790758247563,0.0002744434276064089,-5.96166667,105.985,-5.960725514873025,105.98511168362583,-5.96166667,105.98166667,At Anchor,3542,1,2,3544,valid,"LINESTRING (105.985 -5.96166667, 105.98511168362583 -5.960725514873025,105.98166667 -5.96166667)",POINT (105.98511168362583 -5.960725514873025),6725523,TITIAN MURNI,525002061.0,Indonesia,Indonesia,F,3614,1101,Passenger/Ro-Ro Ship (Vehicles/Rail),imo match,1,36,IBP
27593,623276057200459775,525101124,9848041,70.0,14.0,Passenger,,2023-01-01 00:00:47,Indonesia,T-AIS,TG_PINANG,48.86666666666667,48.21666666666667,1672531247,1672620371,1672704841,0.0001650350165565093,2.4317116907557258e-05,0.93200833,104.465045,0.9317728922378716,104.46501396181536,0.93166667,104.465,Moored,639,1,2,639,valid,"LINESTRING (104.465045 0.93200833, 104.46501396181536 0.9317728922378716,104.465 0.93166667)",POINT (104.46501396181536 0.9317728922378716),9848041,SABUK NUSANTARA 83,525101124.0,Indonesia,Indonesia,I,2086,722,General Cargo/Passenger Ship,imo match,2,21,TNJ
15576,623986077539631103,525005002,9032147,146.0,24.0,Passenger,Passenger Ship,2023-01-01 00:01:03,Indonesia,S-AIS,MAKASSAR,5.266666666666667,5.2,1672531263,1672540876,1672550014,0.0005507582950906281,0.0006772712540855712,-7.195,112.73166667,-7.195356237857142,112.73209471671427,-7.19575667,112.73181667,Moored,69,1,2,70,valid,"LINESTRING (112.73166667 -7.195, 112.73209471671427 -7.195356237857142,112.73181667 -7.19575667)",POINT (112.73209471671427 -7.195356237857142),9032147,DOBONSOLO,525005002.0,Indonesia,Indonesia,F,14581,3500,Passenger Ship,imo match,1,35,SUB
2857,624122491521433599,525200049,9821146,68.0,12.0,Passenger,,2023-01-01 00:02:47,Indonesia,S-AIS,TEHORU,143.75,143.15,1672531367,1672783634,1673046692,0.0006700505082137186,0.000403736976251472,-3.64333333,128.20166667,-3.64307400320907,128.20187778888547,-3.64166667,128.20166667,At Anchor,2602,1,2,2602,valid,"LINESTRING (128.20166667 -3.64333333, 128.20187778888547 -3.64307400320907,128.20166667 -3.64166667)",POINT (128.20187778888547 -3.64307400320907),9821146,SABUK NUSANTARA 107,525200049.0,Indonesia,Indonesia,I,1258,800,General Cargo/Passenger Ship,imo match,1,81,AMQ
3523,623512175427026943,525101077,9813773,70.0,20.0,Passenger,,2023-01-01 00:02:54,Indonesia,S-AIS,TUAL,30.0,29.65,1672531374,1672584926,1672638117,8.231047047758588e-05,0.0,-5.63333333,132.74,-5.63332926497561,132.74,-5.63166667,132.74,Moored,410,1,2,410,valid,"LINESTRING (132.74 -5.63333333, 132.74 -5.63332926497561,132.74 -5.63166667)",POINT (132.74 -5.63332926497561),9813773,SABUK NUSANTARA 103,525101077.0,Indonesia,Indonesia,I,1259,505,General Cargo/Passenger Ship,imo match,2,81,TUA
22628,623960961368948735,525019408,8324074,126.0,20.0,Passenger,Passenger Ship,2023-01-01 00:03:50,Indonesia,T-AIS,MERAK/BAKAUHENI,313.9,313.8,1672531430,1673147626,1673661104,0.0007405481044344874,0.0004900822056642635,-5.93178667,105.97872167,-5.931728777527151,105.97826379414369,-5.93296167,105.975715,At Anchor,1196,1,2,1197,valid,"LINESTRING (105.97872167 -5.93178667, 105.97826379414369 -5.931728777527151,105.975715 -5.93296167)",POINT (105.97826379414369 -5.931728777527151),8324074,JAGANTARA,525019408.0,Indonesia,Indonesia,F,9956,2857,Passenger/Ro-Ro Ship (Vehicles),imo match,1,36,IBP
4433,623986077576429567,525101106,9840439,62.0,12.0,Passenger,,2023-01-01 00:05:03,Indonesia,T-AIS,SBY,155.15,155.08333333333334,1672531503,1672810296,1673089817,0.00023544631247034153,0.0004243754858116147,-7.17676,112.73350667,-7.17702241639792,112.73340202423928,-7.17854,112.733,At Anchor,767,1,2,769,valid,"LINESTRING (112.73350667 -7.17676, 112.73340202423928 -7.17702241639792,112.733 -7.17854)",POINT (112.73340202423928 -7.17702241639792),9840439,SABUK NUSANTARA 92,525101106.0,Indonesia,Indonesia,I,1259,470,General Cargo/Passenger Ship,imo match,1,35,SUB
18230,624122491019952127,525101102,9840427,63.0,14.0,Passenger,,2023-01-01 00:05:53,Indonesia,T-AIS,AMBON,217.55,216.75,1672531553,1672921117,1673311840,0.0002536743720231595,0.00030379760076603004,-3.64481667,128.2069,-3.6447450853767442,128.20750398456744,-3.64451667,128.20755,At Anchor,1075,1,2,1075,valid,"LINESTRING (128.2069 -3.64481667, 128.20750398456744 -3.6447450853767442,128.20755 -3.64451667)",POINT (128.20750398456744 -3.6447450853767442),9840427,SABUK NUSANTARA 72,525101102.0,Indonesia,Indonesia,I,2094,600,General Cargo/Passenger Ship,imo match,1,81,AMQ
22715,623986077590814719,525200073,9854961,60.0,12.0,Passenger,,2023-01-01 00:06:09,Indonesia,T-AIS,SBY,769.6,769.4333333333333,1672531569,1673343287,1675301536,0.00021796879402307038,0.0007462744255589195,-7.187915,112.714805,-7.188056876573425,112.71579543734266,-7.18912667,112.712325,At Anchor,285,1,2,286,valid,"LINESTRING (112.714805 -7.187915, 112.71579543734266 -7.188056876573425,112.712325 -7.18912667)",POINT (112.71579543734266 -7.188056876573425),9854961,SABUK NUSANTARA 115,525200073.0,Indonesia,Indonesia,I,1145,799,General Cargo/Passenger Ship,imo match,1,35,SUB
13371,623276214398189567,525023055,8623858,30.0,6.0,Passenger,Passenger Ship,2023-01-01 00:07:06,Indonesia,S-AIS,SEKUPANG,25.75,25.7,1672531626,1672554896,1672624176,0.000851528087145143,0.0008047871794435552,1.13333333,104.055,1.1333922877777776,104.05402612636365,1.13166667,104.055,Moored,99,1,2,99,valid,"LINESTRING (104.055 1.13333333, 104.05402612636365 1.1333922877777776,104.055 1.13166667)",POINT (104.05402612636365 1.1333922877777776),8623858,SEA RAIDER II,,Indonesia,Indonesia,I,142,0,Passenger Ship,imo match,1,21,BUR
