namobj;kode;fcode;srs_id;alamat;prov;kabkot;kd_prov;kd_kabkot;hirarki_p;kode_hirarki
Calang  ;CLG;CB01050400;WGS1984;Jl. Pelabuhan No. 9 Calang Kab Aceh Java Nanggroe Aceh Darussalam 23654 Telp.0654-2210219, Fax. 0654-7000890 Email : upp.calang@gmail.com / uppcalang@dephub.go.id;Aceh;Aceh Jaya ;11;11,14;Pelabuhan Pengumpan;PP
Kuala Langsa  ;KUA;CB01050400;WGS1984;Jl. Pelabuhan No. 04 Kuala Langsa NAD 24451 TelPulau 0641-23459, Fax. 0641-21663 Email : ad_klgs@yahoo.com / ksopkualalangsa@dephub.go.id;Aceh;Langsa  ;11;11,74;Pelabuhan Pengumpan;PP
Lhokseumawe/Kreung Geukeh ;LSW;CB01050400;WGS1984;Jl. Pelabuhan No. 1 Lhoksumawe 24315 Telp/Fax. 0645-43485 Email : adpel_lsm3@yahoo.co.id / ksoplhokseumawe@dephub.go.id;Aceh;Aceh Utara ;11;11,08;Pelabuhan Pengumpan;PP
Malahayati  ;MLH;CB01050400;WGS1984;Jl. Patimura No. 89 Kel. Sukaramai Blower, Banda Aceh Telp/Fax. 0651-48555 Email : adpelmalahayati@yahoo.com / ksopmalahayati@dephub.go.id;Aceh;Banda Aceh ;11;11,71;Pelabuhan Pengumpan;PP
Meulaboh  ;MEQ;CB01050400;WGS1984;Jl. T. Chik Ditiro No. 17 Meulaboh, Aceh Barat NAD 23611 Telp/Fax. 0655- 7551443 Email : adpelmeulaboh@yahoo.com / ksopmeulaboh@dephub.go.id;Aceh;Aceh Barat ;11;11,05;Pelabuhan Pengumpan;PP
Sabang   ;SBG;CB01050400;WGS1984;Jl. Malahayati No. 82 Sabang NAD 23512 TelPulau 0652-21016, Fax. 0652-21017 Email : adpelsabang@yahoo.co.id / ksopsabang@dephub.go.id;Aceh;Sabang  ;11;11,72;Pelabuhan Utama;PU
Singkil  ;SNL;CB01050400;WGS1984;Jl. Utama No. 20 Pulo Sarok Singkil, Kab. Aceh Singkil 24785;Aceh;Aceh Singkil ;11;11,1;Pelabuhan Pengumpan;PP
Belawan   ;BLW;CB01050400;WGS1984;JL. Suar No. 1 Pelabuhan Belawan Medan, Sumut - 20411;Sumatera Utara;Medan  ;12;12,71;Pelabuhan Utama;PU
Gunung Sitoli ;GNS;CB01050400;WGS1984;Jl. Yos Sudarso No. 194 Km. 2 Pelabuhan Angin Gunung Sitoli Sumatera Utara 22812;Sumatera Utara;GunungSitoli ;12;12,78;Pelabuhan Pengumpan;PP
Kuala Tanjung  ;KTJ;CB01050400;WGS1984;Jl. Pelabuhan Kuala Tanjung Kec. Sei Suka Kab. Batu Bara Sumatera Utara 21257;Sumatera Utara;Batu bara  ;12;12,19;Pelabuhan Utama;PU
